300420 五洋停车 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/02/17	1.35	1.63	1.35	1.63	23900	282025.00
2015/02/25	1.80	1.80	1.80	1.80	3100	40610.00
2015/02/26	1.99	1.99	1.99	1.99	3600	51876.00
2015/02/27	2.20	2.20	2.20	2.20	9800	155330.00
2015/03/02	2.42	2.42	2.42	2.42	16900	294736.00
2015/03/03	2.67	2.67	2.67	2.67	98866	1896249.88
2015/03/04	2.95	2.95	2.95	2.95	173687	3664795.75
2015/03/05	3.25	3.25	3.25	3.25	120700	2801447.00
2015/03/06	3.58	3.58	3.58	3.58	184300	4705179.00
2015/03/09	3.65	3.93	3.58	3.74	13840617	373438400.00
2015/03/10	3.50	3.77	3.36	3.72	9674527	242601808.00
2015/03/11	3.62	4.06	3.58	3.77	9390022	256991856.00
2015/03/12	3.77	3.93	3.51	3.64	6917526	182424448.00
2015/03/13	3.63	3.76	3.58	3.67	4029331	105357544.00
2015/03/16	3.74	3.98	3.72	3.85	5895252	161010336.00
2015/03/17	3.88	4.19	3.80	4.05	9172846	262611008.00
2015/03/18	3.95	4.14	3.92	4.09	5740589	164194352.00
2015/03/19	4.09	4.26	4.03	4.20	5233078	153851584.00
2015/03/20	4.18	4.28	4.10	4.24	5286526	157253488.00
2015/03/23	4.26	4.43	4.23	4.42	5519856	169793264.00
2015/03/24	4.33	4.39	4.06	4.26	5404174	163322288.00
2015/03/25	4.26	4.39	4.20	4.33	3576328	109223112.00
2015/03/26	4.29	4.31	4.14	4.20	3209260	96171440.00
2015/03/27	4.20	4.23	4.05	4.12	2863716	84180800.00
2015/03/30	4.06	4.11	4.01	4.07	2929866	84391368.00
2015/03/31	4.08	4.12	4.03	4.04	2354630	68153632.00
2015/04/01	4.05	4.19	4.04	4.18	3356369	98464360.00
2015/04/02	4.16	4.28	4.15	4.23	2931316	87710416.00
2015/04/03	4.19	4.35	4.18	4.33	3859684	117180792.00
2015/04/07	4.35	4.50	4.30	4.48	4360310	136420560.00
2015/04/08	4.52	4.54	4.26	4.33	3981993	123957704.00
2015/04/09	4.33	4.37	4.17	4.33	2858266	86665880.00
2015/04/10	4.30	4.60	4.27	4.56	4951127	157102208.00
2015/04/13	4.58	4.73	4.46	4.68	5237287	171691520.00
2015/04/14	4.67	4.84	4.58	4.67	4116408	137960416.00
2015/04/15	4.63	4.63	4.37	4.46	3239473	103097040.00
2015/04/16	4.45	4.58	4.37	4.49	1860452	59328696.00
2015/04/17	4.55	4.59	4.43	4.44	2213098	70592360.00
2015/04/20	4.42	4.42	4.24	4.27	2068264	63940636.00
2015/04/21	4.25	4.43	4.25	4.42	1502063	46747632.00
2015/04/22	4.43	4.55	4.42	4.52	1949412	62236248.00
2015/04/23	4.52	4.57	4.45	4.53	2054726	65925372.00
2015/04/24	4.45	4.99	4.43	4.99	7136899	240191392.00
2015/04/27	5.30	5.48	5.15	5.28	8090606	304868288.00
2015/04/28	5.12	5.26	4.99	5.10	5016366	182730016.00
2015/04/29	5.09	5.30	4.79	5.16	4166695	151590016.00
2015/04/30	5.25	5.27	5.08	5.08	3091331	113257808.00
2015/05/04	5.08	5.16	4.80	5.06	2137199	75701848.00
2015/05/05	5.02	5.39	4.98	5.14	3066703	113292832.00
2015/05/06	5.07	5.38	5.02	5.14	2940886	109029152.00
2015/05/07	5.09	5.11	4.76	4.83	2331126	81099112.00
2015/05/08	4.87	5.03	4.83	5.03	2293703	80621920.00
2015/05/11	5.06	5.49	5.01	5.42	4151603	155457136.00
2015/08/11	5.97	5.97	5.66	5.97	1539966	64768064.00
2015/08/12	6.45	6.57	6.24	6.57	2052924	93741032.00
2015/08/13	7.15	7.23	6.23	6.40	7990764	376845856.00
2015/08/14	6.24	6.52	6.07	6.23	5555337	244759440.00
2015/08/17	6.03	6.09	5.61	5.66	4565044	187464240.00
2015/08/18	5.61	5.95	5.09	5.09	3751100	147844000.00
2015/08/19	4.95	5.38	4.78	5.28	3147573	113978512.00
2015/08/20	5.19	5.24	4.85	4.93	2179635	78282320.00
2015/08/21	4.81	4.94	4.44	4.44	1893401	62803296.00
2015/08/24	4.24	4.29	3.99	3.99	1526456	43806888.00
2015/08/25	3.66	4.09	3.58	3.59	3578055	94488336.00
2015/08/26	3.66	3.95	3.60	3.79	4918231	135474992.00
2015/08/27	3.91	4.08	3.80	4.02	4484447	124087872.00
2015/08/28	4.02	4.39	3.95	4.38	3305054	96078424.00
2015/08/31	4.32	4.79	4.14	4.69	2878115	89645792.00
2015/09/01	4.81	4.98	4.22	4.22	4581243	153610912.00
2015/09/02	3.79	4.22	3.79	4.08	3974389	109596408.00
2015/09/07	3.95	4.36	3.95	4.36	2635349	78315152.00
2015/09/08	4.24	4.70	4.12	4.66	1583846	49424220.00
2015/09/09	4.64	5.09	4.52	4.97	2754254	93366688.00
2015/09/10	4.85	5.47	4.85	5.47	3448787	127826216.00
2015/09/11	5.44	6.02	5.23	5.88	3614581	142176480.00
2015/09/14	5.77	6.02	5.29	5.66	2622009	104460104.00
2015/09/15	5.39	5.73	5.15	5.50	2380510	91178200.00
2015/09/16	5.47	6.04	5.32	6.04	2388366	95724904.00
2015/09/17	5.93	6.30	5.68	5.68	2114130	88134520.00
2015/09/18	5.74	5.75	5.11	5.11	3252069	120958728.00
2015/09/21	4.61	5.08	4.60	5.05	2513549	86290360.00
2015/09/22	5.05	5.33	5.05	5.14	2195305	80679104.00
2015/09/23	4.95	5.21	4.66	5.09	2190179	76378592.00
2015/09/24	5.11	5.32	4.93	5.11	2052554	74442792.00
2015/09/25	5.07	5.22	4.66	4.98	1770950	61885584.00
2015/09/28	4.90	5.16	4.74	5.15	1098349	38924904.00
2015/09/29	5.05	5.67	4.95	5.67	2846793	110281328.00
2015/09/30	5.81	5.83	5.41	5.45	2234852	88751744.00
2015/10/08	5.52	5.89	5.39	5.70	1994864	81000264.00
2015/10/09	5.72	6.06	5.64	6.00	2047533	85026696.00
2015/10/12	5.96	6.21	5.92	6.10	3774556	161033184.00
2015/10/13	5.95	6.16	5.84	5.95	2784965	118185296.00
2015/10/14	5.71	6.12	5.67	5.73	1595683	66168292.00
2015/10/15	5.62	6.16	5.62	6.08	2148191	90856344.00
2015/10/16	6.08	6.40	6.08	6.29	2121682	93660816.00
2015/10/19	6.31	6.78	6.10	6.70	2383813	107642016.00
2015/10/20	6.71	7.38	6.50	7.38	1928045	96411808.00
2015/10/21	7.56	8.12	6.95	7.04	5928890	322122080.00
2015/10/22	6.95	7.66	6.83	7.50	3253905	166726800.00
2015/10/23	7.38	8.26	7.23	8.26	3851972	213308432.00
2015/10/26	8.40	8.40	7.43	7.43	2369355	128857760.00
2015/11/03	6.84	7.43	6.68	6.92	2088840	104028752.00
2015/11/04	6.84	7.19	6.81	7.05	2241530	110888152.00
2015/11/05	6.95	7.33	6.81	7.05	1287070	64160660.00
2015/11/06	7.04	7.76	7.01	7.76	3242975	167857024.00
2015/11/09	7.79	8.54	7.73	8.54	2908263	169360880.00
2015/11/10	8.57	8.89	8.18	8.64	2566963	154985616.00
2015/11/11	8.54	9.51	8.24	9.51	2265053	143161040.00
2015/11/12	9.79	10.17	9.19	9.56	2757386	185964000.00
2015/11/13	9.24	9.52	8.60	8.60	2635327	167033376.00
2015/11/16	8.38	9.43	8.38	9.43	1815393	114478448.00
2015/11/17	9.81	10.09	8.78	8.93	1872286	124288888.00
2015/11/18	8.79	9.06	8.24	8.28	1818104	109368320.00
2015/11/19	8.28	8.73	8.25	8.64	1556216	92831712.00
2015/11/20	8.64	8.95	8.38	8.62	1196676	72297760.00
2015/11/23	8.45	8.94	8.42	8.51	1589979	96849784.00
2015/11/24	8.52	9.15	8.52	9.15	1725454	107437088.00
2015/11/25	9.17	9.70	9.09	9.28	1399161	91858296.00
2015/11/26	9.16	9.59	8.55	8.74	1703461	107948992.00
2015/11/27	8.42	8.87	7.86	7.86	1949468	113206048.00
2015/11/30	7.89	8.36	7.10	8.18	2291533	127697664.00
2015/12/01	8.25	8.59	7.81	8.09	1981828	116688248.00
2015/12/02	7.98	8.09	7.28	7.95	1633609	89070472.00
2015/12/03	8.04	8.53	7.74	8.45	1300224	74758464.00
2015/12/04	8.33	8.91	8.32	8.68	1477669	90106200.00
2015/12/07	8.68	8.87	8.38	8.67	1679371	102385112.00
2015/12/08	8.58	8.69	8.38	8.51	703145	42286732.00
2015/12/09	8.44	8.62	7.95	8.07	828457	48022072.00
2015/12/10	8.07	8.88	8.07	8.65	2801941	171450192.00
2015/12/11	8.32	9.17	8.10	8.49	1934379	119204976.00
2015/12/14	8.24	8.87	8.08	8.56	1466804	86281192.00
2015/12/15	8.59	9.06	8.45	8.89	1297741	80758016.00
2015/12/16	9.06	9.68	8.89	9.65	1856629	122153896.00
2015/12/17	9.55	10.62	9.55	10.62	2341127	171435952.00
2015/12/18	10.75	10.75	10.01	10.12	1558090	112243144.00
2015/12/21	10.16	10.34	9.79	10.06	904191	63597792.00
2015/12/22	9.95	10.32	9.66	10.24	921421	64875500.00
2015/12/23	10.12	10.34	9.82	9.88	608811	42979212.00
2015/12/24	9.88	10.23	9.68	10.10	861843	60428844.00
2015/12/25	10.10	10.22	9.10	9.70	871040	60682484.00
2015/12/28	9.52	9.61	8.94	8.94	1908275	122860504.00
2015/12/29	8.94	8.94	8.60	8.93	1254984	77313696.00
2015/12/30	9.09	9.23	8.82	9.14	772153	48968940.00
2015/12/31	9.06	9.16	8.52	8.77	710798	43950852.00
2016/01/04	8.73	8.92	7.89	7.89	910400	53253528.00
2016/01/05	7.16	8.26	7.16	8.16	1489300	81029488.00
2016/01/06	8.09	8.52	7.95	8.52	1560301	90976960.00
2016/01/07	8.24	9.06	7.67	7.76	309311	17932048.00
2016/01/08	8.14	8.36	7.09	8.36	1959327	108324664.00
2016/01/11	7.95	8.19	7.52	7.52	1848465	99899480.00
2016/01/12	7.28	7.52	6.98	6.98	1151700	58607152.00
2016/01/13	7.02	7.21	6.38	6.65	1501700	72553960.00
2016/01/14	6.38	6.95	6.09	6.78	1036100	48351668.00
2016/01/15	6.79	6.91	6.10	6.10	1864104	82462320.00
2016/01/18	6.16	6.50	5.81	6.29	1099465	48357388.00
2016/01/19	6.21	6.60	6.12	6.57	1770800	79880032.00
2016/01/20	6.51	6.94	6.48	6.71	2048455	97624432.00
