300428 四通新材 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/03/19	4.28	5.26	4.28	5.26	19632	414219.75
2015/03/20	5.85	5.85	5.85	5.85	5700	132810.00
2015/03/23	6.50	6.50	6.50	6.50	5200	133276.00
2015/03/24	7.21	7.21	7.21	7.21	10768	303549.91
2015/03/25	7.99	7.99	7.99	7.99	25300	784553.00
2015/03/26	8.85	8.85	8.85	8.85	69150	2358706.50
2015/03/27	9.80	9.80	9.38	9.80	6513555	242458928.00
2015/03/30	10.37	10.84	10.25	10.49	12179720	490901184.00
2015/03/31	9.81	10.34	9.77	10.34	7190594	276361696.00
2015/04/01	10.22	10.73	10.16	10.37	5196312	206229008.00
2015/04/02	10.24	11.21	10.23	10.75	6459089	262031392.00
2015/04/03	10.47	11.48	10.41	11.24	6665862	274311456.00
2015/04/07	11.18	11.79	11.07	11.30	5220766	225500000.00
2015/04/08	11.30	11.34	10.49	10.91	3987481	165816096.00
2015/04/09	10.84	11.26	10.35	11.06	3958581	162502208.00
2015/04/10	10.98	11.75	10.94	11.52	4696946	203898752.00
2015/04/13	11.53	12.01	11.38	11.74	3823496	170030336.00
2015/04/14	11.74	12.03	11.26	11.49	3575530	157228784.00
2015/04/15	11.30	11.30	10.63	10.63	2820651	116881760.00
2015/04/16	10.57	11.08	10.36	10.73	2429490	100123760.00
2015/04/17	10.79	10.87	10.57	10.63	2224469	90954328.00
2015/04/20	10.53	10.63	10.17	10.22	2420708	96269784.00
2015/04/21	10.13	10.71	10.13	10.67	1663088	66616976.00
2015/04/22	10.77	10.95	10.77	10.80	2268512	93526408.00
2015/04/23	10.86	11.25	10.72	11.14	3600120	150477584.00
2015/04/24	10.94	11.87	10.86	11.52	3951269	171683344.00
2015/04/27	11.91	12.04	11.38	11.52	3653319	161491936.00
2015/04/28	11.46	11.60	10.70	10.85	2692071	113212528.00
2015/04/29	10.81	11.88	10.77	11.75	3484360	151279552.00
2015/04/30	11.88	12.10	11.54	11.60	3663770	164126576.00
2015/05/04	11.53	12.42	11.18	12.30	3380826	150898976.00
2015/05/05	12.14	12.81	11.85	12.37	4527940	211186544.00
2015/05/06	12.43	13.15	11.60	11.89	4353345	208700832.00
2015/05/07	11.49	11.87	11.38	11.41	2421741	106031568.00
2015/05/08	11.66	12.46	11.55	12.39	3166167	143177120.00
2015/05/11	12.56	13.54	12.44	13.34	4834092	238305488.00
2015/05/12	13.33	14.49	12.99	14.32	5780410	299454176.00
2015/05/13	13.54	14.60	13.29	13.91	3842802	201161392.00
2015/05/14	13.76	15.36	13.60	15.36	4143800	228193408.00
2015/05/15	15.36	16.88	14.53	16.24	4630682	269931392.00
2015/05/18	16.04	17.93	15.77	17.93	3610030	232660032.00
2015/05/19	18.70	19.24	16.88	18.04	4740645	314650016.00
2015/05/20	17.68	18.82	17.49	18.53	3980011	271350016.00
2015/05/21	18.41	18.81	17.71	18.35	3450292	234110064.00
2015/05/22	18.82	19.02	17.17	17.85	3503768	234623904.00
2015/05/25	17.28	18.95	17.16	18.41	3267450	221441328.00
2015/05/26	18.41	20.32	18.41	20.32	2525720	185375344.00
2015/05/27	21.04	22.41	20.95	22.41	4989238	402071936.00
2015/05/28	23.27	24.71	21.18	21.18	6104012	543501952.00
2015/05/29	20.24	22.43	19.00	20.54	4585098	349538016.00
2015/06/01	20.77	20.85	19.18	20.15	3235403	240409856.00
2015/06/02	19.93	20.48	19.38	20.06	2957974	218666736.00
2015/06/03	20.14	20.77	19.56	20.31	2404735	181560096.00
2015/06/04	20.48	20.48	18.22	18.41	3134469	218728448.00
2015/06/05	18.82	18.96	17.68	18.16	3430137	232716640.00
2015/06/08	18.02	18.02	16.59	16.91	3044422	194239552.00
2015/06/09	16.89	17.68	16.71	17.29	2056960	132306744.00
2015/06/10	17.16	18.62	16.54	18.07	3050003	203957168.00
2015/06/11	18.09	18.90	17.93	18.83	2782823	191592304.00
2015/06/12	19.11	20.33	18.28	18.41	3371473	242116688.00
2015/06/15	17.99	18.13	16.50	16.51	3026407	194629248.00
2015/06/16	15.77	17.06	15.36	16.53	2259732	136312032.00
2015/06/17	16.38	17.28	16.08	17.13	2040721	127625368.00
2015/06/18	16.96	17.06	15.63	15.76	1786649	110096192.00
2015/06/19	15.21	16.29	14.93	15.34	1588398	93324264.00
2015/06/23	15.59	16.74	15.21	16.72	2115419	126525968.00
2015/06/24	17.07	17.16	16.49	17.01	2498686	157215424.00
2015/06/25	16.94	17.16	15.91	15.96	1579424	97716016.00
2015/06/26	15.27	16.04	14.30	14.37	2407390	134930064.00
2015/06/29	14.93	15.15	12.87	12.87	1964687	100291848.00
2015/06/30	12.87	13.92	11.52	13.74	2465885	116675232.00
2015/07/01	13.15	14.32	12.41	12.61	2254809	116088192.00
2015/07/02	12.43	13.23	11.60	11.84	1536890	72161768.00
2015/07/03	11.82	12.54	10.77	11.41	1510919	66487852.00
2015/07/06	12.62	12.62	10.26	11.16	2181917	95687288.00
2015/07/07	10.57	10.77	9.98	9.98	973791	38151852.00
2015/07/08	8.92	9.34	8.92	8.94	2304580	79444704.00
2015/07/09	8.54	9.89	8.54	9.89	1577825	57811956.00
2015/07/10	10.49	10.94	10.09	10.94	873322	35945376.00
2015/07/13	12.10	12.10	11.61	12.10	2045842	93155424.00
2015/07/14	12.49	13.24	12.10	12.66	3948184	188739424.00
2015/07/15	12.16	12.31	11.33	11.33	1911771	84566112.00
2015/07/16	10.21	12.00	10.16	11.64	2067471	88953216.00
2015/07/17	11.64	12.74	11.60	12.45	2189728	101061672.00
2015/07/20	12.46	12.81	12.11	12.36	2144748	101267816.00
2015/07/21	12.12	12.71	11.74	12.55	1854307	86238080.00
2015/07/22	12.43	12.85	12.16	12.73	1935980	92405568.00
2015/07/23	12.71	13.96	12.60	13.90	2971861	149798032.00
2015/07/24	13.78	14.38	13.27	13.33	3408431	177640992.00
2015/07/27	12.73	13.41	11.93	11.93	2507723	120196912.00
2015/07/28	11.21	12.04	10.77	11.27	1776475	76639520.00
2015/07/29	11.60	12.46	11.27	12.46	1931990	86474960.00
2015/07/30	12.70	13.43	12.43	12.61	2637014	129156152.00
2015/07/31	11.46	12.85	11.32	12.00	3228902	145318928.00
2015/08/03	11.60	11.96	10.79	11.04	1839630	79106688.00
2015/08/04	11.26	11.92	11.05	11.92	1863247	81577240.00
2015/08/05	11.76	12.88	11.74	12.57	2889945	134891968.00
2015/08/06	12.19	12.68	12.16	12.38	1743769	81896848.00
2015/08/07	12.52	13.20	12.52	13.04	2608914	127088096.00
2015/08/10	13.08	13.92	12.99	13.83	2836305	142975968.00
2015/08/11	13.68	14.24	13.42	13.99	2771338	143371264.00
2015/08/12	14.38	15.45	14.28	15.45	7315792	417613440.00
2015/08/13	15.41	17.06	14.93	17.06	7836592	463543232.00
2015/08/14	17.29	18.43	16.55	17.43	4813994	308600192.00
2015/08/17	16.60	16.88	15.63	15.63	3639338	215803984.00
2015/08/18	15.21	15.78	14.00	14.00	4204157	234438368.00
2015/08/19	13.29	14.31	12.58	14.05	3301914	168095568.00
2015/08/20	13.82	14.43	13.34	13.34	2244134	116440048.00
2015/08/21	12.85	13.13	11.94	11.94	2273956	107150640.00
2015/08/24	11.04	11.16	10.69	10.69	1870400	76354392.00
2015/08/25	9.56	10.14	9.56	9.56	3381075	124575728.00
2015/08/26	9.66	10.34	9.21	9.68	3608464	135743712.00
2015/08/27	10.09	10.35	9.38	10.14	2513101	96155256.00
2015/08/28	10.34	11.04	9.98	10.84	3091024	121920872.00
2015/08/31	10.62	10.62	9.74	9.74	1923680	75373928.00
2015/09/01	9.66	9.66	8.70	8.70	2011150	69967944.00
2015/09/02	7.99	9.17	7.99	8.24	1673709	55374108.00
2015/09/07	8.43	9.01	8.41	8.68	1389055	46692560.00
2015/09/08	8.61	9.52	8.51	9.48	1530910	53133412.00
2015/09/09	9.61	10.08	9.49	10.00	2113023	79654080.00
2015/09/10	9.71	9.95	9.52	9.57	1639656	60960796.00
2015/09/11	9.54	9.82	9.46	9.78	1067825	39597804.00
2015/09/14	9.78	9.86	8.74	8.74	1542523	54247220.00
2015/09/15	8.27	8.50	7.85	7.86	1247488	39472932.00
2015/09/16	7.91	8.71	7.91	8.71	1519663	48469416.00
2015/09/17	8.71	9.09	8.47	8.49	1732348	58955952.00
2015/09/18	8.52	8.79	8.41	8.68	1048348	34827968.00
2015/09/21	8.54	9.29	8.43	9.25	1376846	47864624.00
2015/09/22	9.37	9.87	9.31	9.52	2003016	73789608.00
2015/09/23	9.37	9.85	9.26	9.71	1998950	73527000.00
2015/09/24	9.75	10.04	9.73	9.84	1570022	59312692.00
2015/09/25	9.83	9.88	8.97	9.08	1635637	58573028.00
2015/09/28	9.21	9.66	9.09	9.66	1175215	42380184.00
2015/09/29	9.41	9.59	9.32	9.56	1182425	42860732.00
2015/09/30	9.56	9.84	9.41	9.67	1226855	45463972.00
2015/10/08	10.06	10.36	9.96	10.13	1568650	60908600.00
2015/10/09	10.03	10.43	10.03	10.37	1547918	60757136.00
2015/10/12	10.49	11.03	10.43	10.88	1877752	77256000.00
2015/10/13	10.77	10.91	10.65	10.85	1435998	58878112.00
2015/10/14	10.78	10.94	10.52	10.59	1476146	60355176.00
2015/10/15	10.58	11.71	10.58	11.71	2363552	100492960.00
