300429 强力新材 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/03/24	6.41	7.03	6.41	7.03	9300	211834.00
2015/03/25	7.76	7.76	7.76	7.76	4621	116310.57
2015/03/26	8.58	8.58	8.58	8.58	3900	107991.00
2015/03/27	9.47	9.47	9.47	9.47	18800	572648.00
2015/03/30	10.45	10.45	10.45	10.45	51050	1710685.50
2015/03/31	11.54	11.54	11.54	11.54	92895	3424109.75
2015/04/01	12.73	12.73	12.73	12.73	151740	6153057.00
2015/04/02	14.04	14.04	14.04	14.04	121797	5433364.00
2015/04/03	15.47	15.47	15.47	15.47	783847	38463372.00
2015/04/07	17.06	17.06	17.06	17.06	518182	27971464.00
2015/04/08	18.80	18.80	18.39	18.80	4669138	276867040.00
2015/04/09	19.06	20.72	18.48	20.72	11212426	689784064.00
2015/04/10	19.86	20.54	19.33	19.99	6314535	396505312.00
2015/04/13	19.66	20.29	19.34	19.89	4467390	279305760.00
2015/04/14	20.06	21.84	20.06	21.71	6044892	398948704.00
2015/04/15	20.97	21.22	19.50	19.50	4270015	268902688.00
2015/04/16	19.32	19.90	18.57	18.71	3027628	182940640.00
2015/04/17	19.16	19.65	18.85	18.95	2097273	126564200.00
2015/04/20	18.96	19.35	17.45	17.69	3083469	179907728.00
2015/04/21	17.99	18.60	17.75	18.48	2030280	117174632.00
2015/04/22	18.52	19.48	18.52	19.25	2455232	148137456.00
2015/04/23	19.27	19.65	18.87	19.61	2434119	147686080.00
2015/04/24	19.11	20.74	18.96	20.39	3128073	196152400.00
2015/04/27	20.61	21.15	20.18	20.39	3526736	228353152.00
2015/04/28	20.36	20.41	19.29	19.34	2158934	134597568.00
2015/04/29	19.29	20.60	19.26	20.52	2037850	129418160.00
2015/04/30	20.78	21.86	20.74	20.74	3525170	235458384.00
2015/05/04	20.39	21.08	19.97	20.71	1853859	119790712.00
2015/05/05	20.61	21.13	20.35	20.74	2292598	149946032.00
2015/05/06	20.65	22.27	20.65	21.34	3134615	213154928.00
2015/05/07	21.19	21.77	19.97	20.24	2124413	140043632.00
2015/05/08	20.61	22.30	20.61	22.30	3138588	213916880.00
2015/05/11	23.12	24.57	23.10	24.45	4916585	369083584.00
2015/05/12	25.95	26.93	25.29	26.93	5430127	453368320.00
2015/05/13	25.78	29.28	25.45	27.44	3456552	294483232.00
2015/05/14	26.74	28.67	26.45	28.35	2771357	241326192.00
2015/05/15	27.48	31.22	26.74	31.22	2954565	271518080.00
2015/05/18	31.58	34.38	31.58	34.38	2031858	213369520.00
2015/05/19	35.45	37.06	31.90	33.52	3200679	340581504.00
2015/05/20	32.96	35.94	31.90	33.52	2419237	257126304.00
2015/05/21	32.55	35.10	32.43	32.54	1809849	186769936.00
2015/05/22	33.03	33.45	30.45	31.91	2534682	253556352.00
2015/05/25	31.21	35.06	30.61	33.63	2183635	225822896.00
2015/05/26	33.51	37.03	33.45	37.03	1671864	188203648.00
2015/05/27	38.67	40.77	37.48	40.77	1540042	191995472.00
2015/05/28	42.45	44.88	40.61	41.32	2790326	380309312.00
2015/05/29	40.45	43.73	37.15	39.01	2611465	325044928.00
2015/06/01	38.65	39.97	36.39	38.04	1788478	210914464.00
2015/06/02	38.07	40.29	36.74	39.82	1464968	175712432.00
2015/06/03	39.83	40.43	36.74	37.46	1294011	154322432.00
2015/06/04	37.38	38.68	33.69	38.52	2970064	325834688.00
2015/06/05	38.52	39.18	35.41	36.42	2598523	305750880.00
2015/06/08	35.13	35.13	32.76	32.83	2135428	224783008.00
2015/06/09	32.69	34.76	31.18	33.19	1324742	138179680.00
2015/06/10	33.28	34.86	32.31	34.28	1192925	126957048.00
2015/06/11	34.73	37.47	34.73	37.13	1690882	192391952.00
2015/06/12	37.15	37.85	34.63	35.08	1260111	142026288.00
2015/06/15	34.98	34.98	31.55	31.83	1498077	152833120.00
2015/06/16	31.28	31.28	28.86	30.70	1463137	136557712.00
2015/06/17	29.75	33.79	29.75	33.79	1412114	141295392.00
2015/06/18	33.79	35.49	32.53	32.95	1561606	166653920.00
2015/06/19	31.99	34.57	31.21	32.63	891129	92656904.00
2015/06/23	33.41	35.92	30.70	35.92	1682185	177685296.00
2015/06/24	36.87	37.72	34.25	35.79	1256543	142037184.00
2015/06/25	36.12	37.25	33.60	34.79	970922	108777664.00
2015/06/26	32.97	38.28	31.66	34.85	2100870	230653408.00
2015/06/29	37.02	38.19	33.63	37.79	2669312	305572032.00
2015/06/30	36.33	40.55	33.98	39.09	2857571	328058272.00
2015/07/01	37.79	42.20	37.18	39.80	2570422	323241376.00
2015/10/26	35.80	35.80	35.80	35.80	36100	4036341.00
2015/10/27	32.19	33.60	32.19	32.19	3886312	391813600.00
2015/10/28	32.63	35.21	32.32	34.25	5353952	557697728.00
2015/10/29	33.60	34.55	31.99	33.22	1699120	176307248.00
2015/10/30	32.95	35.86	32.57	34.86	1364460	145502704.00
2015/11/02	33.66	38.38	33.34	37.75	1742347	204823520.00
2015/11/03	37.24	40.62	37.15	39.70	2081951	255040400.00
2015/11/04	40.78	41.49	39.39	40.73	1459297	184250928.00
2015/11/05	40.53	43.27	39.89	41.50	1269057	164231888.00
2015/11/06	41.47	43.43	40.74	42.91	1510981	199691552.00
2015/11/09	42.92	42.96	40.37	41.76	1950011	253989056.00
2015/11/10	41.06	42.63	40.01	40.37	1820227	232467440.00
2015/11/11	40.37	44.44	39.41	44.44	2830546	367960800.00
2015/11/12	43.99	44.72	42.64	43.44	2001011	271807200.00
2015/11/13	42.79	42.79	39.07	39.08	2354825	294239808.00
2015/11/16	38.11	40.34	37.69	39.53	930100	114484016.00
2015/11/17	40.14	40.56	35.92	36.33	1559813	186330864.00
2015/11/18	36.39	36.79	35.37	35.60	970198	108564360.00
2015/11/19	35.84	38.05	35.84	37.68	1210796	139163920.00
2015/11/20	38.05	38.44	36.83	38.05	1159295	137426752.00
2015/11/23	38.44	40.05	37.05	39.34	1575873	188147808.00
2015/11/24	38.84	43.30	38.13	43.30	1624336	213626848.00
2015/11/25	46.83	46.83	42.63	45.05	2653794	366074112.00
2015/11/26	43.92	46.50	43.34	43.73	1564761	218062576.00
2015/11/27	43.12	46.34	41.72	42.66	1777723	245583920.00
2015/11/30	42.73	46.50	42.05	46.04	2303445	318303552.00
2015/12/01	45.15	47.73	41.41	44.66	2228944	312210560.00
2015/12/02	42.81	43.97	40.70	43.31	1054434	140530096.00
2015/12/03	43.02	44.56	42.18	44.05	956100	130497224.00
2015/12/04	43.89	48.44	43.30	46.99	2475665	360041792.00
2015/12/07	46.50	48.28	45.70	47.21	1356305	197299696.00
2015/12/08	47.11	51.73	45.89	50.05	1974048	303633472.00
2015/12/09	49.40	52.25	47.83	49.02	1779057	276622112.00
2015/12/10	48.30	49.08	45.54	46.66	1213627	178369104.00
2015/12/11	45.54	47.68	45.54	46.50	717764	103890656.00
2015/12/14	45.59	46.50	43.45	45.73	939519	131558344.00
2015/12/15	45.73	46.50	44.59	45.66	702137	99675288.00
2015/12/16	46.12	47.99	45.74	46.45	791501	116153304.00
2015/12/17	46.38	48.02	46.38	47.91	1061712	155984336.00
2015/12/18	47.66	49.41	47.15	48.28	871738	130670136.00
2015/12/21	48.22	49.25	47.16	48.30	864118	129189376.00
2015/12/22	48.30	48.44	46.89	46.99	665856	98373848.00
2015/12/23	47.03	47.41	44.74	46.93	1235191	177045920.00
2015/12/24	46.18	47.95	45.63	47.43	666755	97314720.00
2015/12/25	47.54	47.62	46.10	46.12	526336	76914072.00
2015/12/28	46.12	46.36	44.12	44.26	941277	131649264.00
2015/12/29	44.25	44.85	42.45	44.31	761459	103119384.00
2015/12/30	44.25	46.32	43.65	46.21	828705	116929264.00
2015/12/31	45.85	46.47	44.47	44.57	831043	117329360.00
2016/01/04	44.31	44.31	40.08	40.08	662996	85624560.00
2016/01/05	36.18	39.06	36.18	37.76	1172339	137516432.00
2016/01/06	37.79	38.72	35.79	37.79	831257	96828552.00
2016/01/07	36.73	36.73	33.99	33.99	257100	27876732.00
2016/01/08	34.76	34.89	31.99	33.92	762137	80349536.00
2016/01/11	32.95	32.95	30.50	30.51	1039422	102051040.00
2016/01/12	30.37	31.89	30.09	30.78	601350	58388408.00
2016/01/13	30.70	31.53	28.05	28.28	606349	55930236.00
2016/01/14	28.05	30.73	26.34	30.47	644840	59255828.00
2016/01/15	30.38	31.34	29.34	29.82	750829	70774432.00
2016/01/18	29.41	31.25	28.76	30.79	414061	39310680.00
2016/01/19	30.15	31.94	30.15	31.89	517491	50823028.00
2016/01/20	32.05	33.42	31.44	32.16	509141	51770760.00
2016/01/21	31.34	33.36	31.02	31.24	469928	47366452.00
2016/01/22	31.73	32.31	30.99	32.05	441297	43812420.00
2016/01/25	32.94	32.94	30.32	30.66	614520	60307252.00
2016/01/26	30.24	30.40	27.56	27.56	626440	55991284.00
2016/01/27	26.68	27.86	25.27	27.86	590916	49713588.00
2016/01/28	27.15	28.80	26.99	28.40	673845	59254956.00
2016/01/29	28.12	29.92	27.58	29.41	490934	44986520.00
2016/02/01	29.44	29.89	28.76	29.70	373273	34368012.00
2016/02/02	29.41	30.92	29.41	30.85	397105	38054932.00
2016/02/03	30.52	30.84	29.64	30.37	369604	34908512.00
2016/02/04	30.63	31.99	30.54	31.02	462300	45207928.00
2016/02/05	31.34	31.80	30.70	30.73	430352	41838776.00
2016/02/15	29.66	30.74	28.80	30.62	353176	32952516.00
2016/02/16	31.18	32.62	30.37	32.39	555627	55574400.00
2016/02/17	32.03	32.79	30.66	31.60	862593	85013696.00
2016/02/18	31.96	31.96	30.56	30.83	736787	71406024.00
2016/02/26	28.12	29.30	27.72	27.72	800927	70494400.00
2016/02/29	26.92	26.92	24.92	24.92	404000	31925960.00
2016/03/01	24.25	25.08	22.47	24.88	1142245	84115648.00
2016/03/02	24.88	25.85	23.60	25.67	1888678	146721136.00
2016/03/03	25.20	25.69	24.46	24.46	1652845	129542736.00
2016/03/04	23.60	23.91	21.99	21.99	1382269	98588072.00
2016/03/07	22.63	23.46	22.05	22.82	993229	71260392.00
2016/03/08	22.82	22.93	21.02	22.81	789767	54928688.00
2016/03/09	22.92	25.10	22.31	24.86	1447255	109380784.00
2016/03/10	24.34	24.52	23.30	23.31	1006834	75340736.00
2016/03/11	22.95	23.50	22.05	22.70	513646	36643452.00
2016/03/14	22.88	24.39	22.88	24.05	881700	66399292.00
2016/03/15	23.95	24.18	23.41	24.02	685475	51264468.00
2016/03/16	24.28	24.89	22.99	23.28	544951	40648336.00
2016/03/17	23.33	24.41	22.96	24.41	1174794	87655680.00
2016/03/18	24.46	25.53	24.13	25.19	1632999	127741368.00
2016/03/21	25.55	26.60	25.28	26.41	1483190	120511944.00
2016/03/22	26.18	26.36	25.70	25.92	902599	73503112.00
2016/03/23	25.73	26.79	25.54	26.27	911750	74941144.00
2016/03/24	25.57	26.40	25.21	25.49	1269834	102312264.00
2016/03/25	25.34	25.82	25.22	25.73	591587	47281336.00
2016/03/28	25.85	26.31	24.73	24.83	798823	64017660.00
2016/03/29	25.34	25.54	24.59	25.04	813022	64031204.00
2016/03/30	25.15	26.21	25.12	26.21	954048	76427160.00
2016/03/31	26.45	27.43	26.44	26.75	1464692	123263280.00
2016/04/01	26.70	26.70	25.47	25.98	1155667	93641272.00
2016/04/05	26.06	26.88	25.56	26.86	1220954	100673984.00
2016/04/06	26.61	27.75	26.49	27.41	1340479	114430152.00
2016/04/07	26.88	27.21	26.06	26.41	1654115	137477056.00
2016/04/08	26.00	26.59	25.65	26.49	1533364	125489408.00
2016/04/11	27.10	29.17	26.83	28.41	1981197	174407168.00
2016/04/12	28.76	30.54	28.38	30.26	2710344	247909744.00
2016/04/13	30.25	33.27	29.57	31.55	2756731	269712320.00
2016/04/14	31.99	31.99	30.26	30.71	2950392	283263456.00
2016/04/15	30.56	31.01	30.21	30.52	1309253	125313688.00
2016/04/22	28.12	30.40	27.79	29.94	2257003	205480448.00
2016/04/25	29.08	29.73	27.83	28.57	1607950	144478176.00
2016/04/26	28.70	28.73	27.88	27.89	1151657	101493544.00
2016/04/27	28.28	30.37	27.93	30.13	2830751	258441680.00
2016/04/28	30.20	31.02	29.73	30.26	2062710	195945584.00
2016/04/29	29.25	29.79	28.40	29.30	2161395	197650736.00
2016/05/03	29.45	30.25	29.09	30.05	1658953	154570944.00
2016/05/04	29.76	30.92	29.62	30.05	1449016	137171024.00
2016/05/05	29.92	30.34	29.41	30.31	1420625	133731704.00
2016/05/06	30.31	30.69	29.01	29.05	1839786	171394992.00
2016/05/09	28.47	29.02	27.64	27.97	1439915	126757296.00
2016/05/10	28.03	30.55	28.03	29.34	1877500	173341216.00
2016/05/11	29.34	30.57	29.08	29.57	1270433	118918712.00
2016/05/12	28.41	31.01	28.39	30.97	1967338	185202160.00
2016/05/13	31.06	32.57	30.57	31.95	2446215	242364880.00
2016/05/16	32.31	34.70	32.31	34.50	2678688	280169856.00
2016/05/17	34.89	36.50	32.96	33.28	2303349	248362976.00
2016/05/18	33.12	33.76	31.65	32.70	1481622	151587920.00
2016/05/19	32.89	35.47	32.50	34.46	1653553	178137232.00
2016/05/20	33.76	37.57	33.66	37.57	1837157	205349344.00
2016/05/23	38.40	39.66	36.54	37.53	2260553	266529984.00
2016/05/24	37.38	38.20	36.31	37.97	1508914	175332544.00
2016/05/25	38.44	40.02	37.80	37.97	1815735	219300736.00
2016/05/26	37.21	38.54	36.65	38.34	1101996	129110400.00
2016/05/27	38.28	39.30	37.58	37.67	908680	108858760.00
2016/05/30	37.15	37.63	35.86	36.41	1141664	131002816.00
2016/05/31	36.34	37.46	36.07	37.39	1288770	148621312.00
2016/06/01	38.21	39.64	37.64	38.98	1580463	191323808.00
2016/06/02	39.15	40.07	38.51	38.91	1001255	121706416.00
2016/06/03	38.99	39.45	38.03	38.73	832897	100217184.00
2016/06/06	39.34	39.38	38.35	38.48	654325	78892560.00
2016/06/07	38.51	41.93	38.51	41.86	2120518	269728384.00
2016/06/08	41.85	44.88	40.70	43.69	1926444	255983184.00
2016/06/13	42.70	44.09	42.09	42.19	1137113	152467984.00
2016/06/14	41.74	42.49	40.45	40.65	873242	112386288.00
2016/06/15	39.90	43.35	39.90	42.54	1078869	142855664.00
2016/06/16	42.99	44.96	41.25	43.60	1380183	186936784.00
2016/06/17	44.27	44.90	42.41	42.55	1004035	135357328.00
2016/06/20	43.35	45.03	42.39	44.84	1412159	192931600.00
2016/06/21	44.64	46.05	43.38	44.00	1264342	175854256.00
2016/06/22	44.00	44.53	43.36	44.25	572800	78501952.00
2016/06/23	44.59	46.27	44.25	45.64	1458455	207060656.00
2016/06/24	45.77	46.25	41.09	45.64	1213656	169855536.00
2016/06/27	44.64	46.26	44.64	45.90	938966	133673712.00
2016/06/28	45.90	45.90	44.64	45.35	1083696	152313472.00
2016/06/29	46.94	47.83	42.96	44.99	2232640	310370144.00
2016/06/30	44.32	45.54	43.48	44.85	1153743	159309984.00
2016/07/01	44.85	45.61	43.21	43.54	1288694	176770160.00
2016/07/04	43.03	44.22	43.03	43.97	761092	103972528.00
2016/07/05	44.25	44.57	43.36	43.98	707860	96418848.00
2016/07/06	45.66	45.66	43.95	44.78	1105009	153802192.00
2016/07/07	45.61	49.28	43.99	49.03	6303368	910661632.00
2016/07/08	47.28	47.83	45.28	45.35	3375395	489859232.00
2016/07/11	44.96	46.57	43.99	45.28	2416858	337004800.00
2016/07/12	45.23	45.25	40.74	42.28	2947480	390545024.00
2016/07/13	42.28	42.86	41.41	41.70	1306685	171363984.00
2016/07/14	41.80	42.32	41.35	41.83	1040344	135604704.00
2016/07/15	41.74	42.22	40.93	41.67	1409811	182551376.00
2016/07/18	41.41	42.19	41.12	41.57	874352	113447232.00
2016/07/19	41.82	42.38	41.57	42.35	1037288	135768048.00
2016/07/20	42.68	42.68	41.66	41.66	810810	106208736.00
2016/07/21	41.65	42.15	41.09	41.11	981201	127559040.00
2016/07/22	41.41	41.41	40.71	41.09	1226066	156822144.00
2016/07/25	41.09	41.74	40.28	40.99	922244	117832256.00
2016/07/26	40.98	41.24	40.50	40.96	721811	91948072.00
2016/07/27	40.96	41.17	37.23	38.30	1658823	203728976.00
2016/07/28	37.51	38.24	35.76	37.86	1275623	148096800.00
2016/07/29	37.82	37.86	36.63	37.15	902361	104557120.00
2016/08/01	37.15	37.15	34.98	35.57	798400	88871872.00
2016/08/02	35.65	37.21	35.65	36.73	866731	98928544.00
2016/08/03	36.89	39.65	36.65	39.47	1295969	155649856.00
2016/08/04	39.72	41.25	39.35	39.57	1172820	146709856.00
2016/08/05	39.64	39.86	39.15	39.29	672149	82584568.00
2016/08/08	39.05	39.29	37.57	39.29	732458	87606176.00
2016/08/09	38.84	41.55	38.69	41.15	1183553	150120944.00
2016/08/10	41.15	41.37	40.38	40.38	907823	115535744.00
2016/08/11	40.12	40.64	39.48	39.48	634177	79192152.00
2016/08/12	39.19	40.57	39.19	40.27	500418	62657792.00
2016/08/15	40.28	42.12	40.27	41.61	1363082	175624784.00
2016/08/16	41.64	43.86	41.46	43.50	1586554	211176560.00
2016/08/17	42.96	44.14	42.56	43.54	1491638	202179456.00
2016/08/18	43.35	43.83	42.45	42.88	1038080	139024512.00
2016/08/19	42.57	44.95	42.57	44.32	1938075	265829456.00
2016/08/22	44.45	44.76	42.16	42.31	1649210	222163600.00
2016/08/23	42.31	44.80	42.06	44.04	1724522	235065920.00
2016/08/24	44.48	45.99	43.91	43.96	3031326	425247264.00
2016/08/25	43.61	43.83	40.12	43.09	1914706	252446144.00
2016/08/26	43.54	43.67	42.06	43.06	1607872	214175408.00
2016/08/29	43.45	43.45	41.05	41.74	1224072	159677552.00
2016/08/30	41.73	42.27	41.25	41.35	649500	84361736.00
2016/08/31	41.37	41.82	40.78	41.55	810583	104405008.00
2016/09/01	41.72	41.72	40.48	40.71	924836	118163368.00
2016/09/02	40.50	40.94	39.79	39.84	818813	102520744.00
2016/09/05	39.48	40.98	39.48	40.33	691025	87038064.00
2016/09/06	40.13	41.03	40.13	40.77	535405	67782832.00
2016/09/07	40.95	41.28	40.28	40.28	528811	66988152.00
2016/09/08	39.96	40.93	39.96	40.74	474499	60027844.00
2016/09/09	40.77	41.74	40.61	40.61	803327	102890376.00
2016/09/12	40.12	40.12	38.51	38.86	716697	87657888.00
2016/09/13	39.47	39.77	38.61	39.70	662030	80853624.00
2016/09/27	36.80	39.79	36.79	37.84	3670898	139659616.00
2016/09/28	37.42	38.18	37.42	37.85	1659338	63100948.00
2016/09/29	37.40	38.07	36.81	37.30	950501	35859812.00
2016/09/30	37.35	38.30	36.90	38.12	1292658	49255052.00
2016/10/10	38.65	38.78	37.84	38.71	1184811	45814968.00
2016/10/11	38.70	39.20	38.25	38.80	1701552	66050684.00
2016/10/12	38.98	39.53	38.18	39.50	1508454	59301388.00
2016/10/13	39.40	39.69	39.12	39.14	890717	35174984.00
2016/10/14	39.12	40.50	38.80	40.34	2276493	91753480.00
2016/10/17	40.29	44.08	40.29	41.42	4463981	188686688.00
2016/10/18	41.75	42.38	41.13	41.87	2804834	117405312.00
2016/10/19	41.87	43.39	41.49	42.13	2765156	117881208.00
2016/10/20	42.30	43.72	42.02	42.83	6056144	261127152.00
2016/10/21	42.83	42.83	40.61	41.60	5560918	230668240.00
2016/10/24	41.56	41.56	40.50	41.07	2901457	119677328.00
2016/10/25	40.99	41.78	40.60	41.09	1858900	76952992.00
2016/10/26	40.74	40.98	39.43	39.76	3017497	121591792.00
2016/10/27	39.75	40.15	39.43	39.71	1356347	54276232.00
2016/10/28	39.61	41.35	39.61	40.73	3041629	124130792.00
2016/10/31	40.10	40.40	39.31	40.38	1905294	76461752.00
2016/11/01	40.20	40.80	39.80	40.48	2079396	84157704.00
2016/11/02	40.30	42.34	39.99	41.36	5036109	210388288.00
2016/11/03	41.61	42.68	40.80	42.15	5714558	240413312.00
2016/11/04	41.68	41.98	40.91	41.35	3362334	139430832.00
2016/11/07	40.97	41.38	40.00	40.13	2037713	82996128.00
2016/11/08	40.20	40.60	40.03	40.04	1218924	49308904.00
2016/11/09	40.10	40.49	37.81	39.28	3438403	135479744.00
2016/11/10	39.80	40.02	39.20	39.49	1742613	69236304.00
2016/11/11	39.51	39.51	38.58	38.97	2974774	116481800.00
2016/11/14	39.30	39.90	38.98	39.70	1748780	69634960.00
2016/11/15	40.10	41.90	39.37	41.77	5627382	232447680.00
2016/11/16	42.30	42.50	40.85	41.41	4587919	191326704.00
2016/11/17	40.98	41.35	40.28	40.45	1975799	80524904.00
2016/11/18	39.91	41.00	39.91	40.38	1554250	63089564.00
2016/11/21	40.30	40.30	39.41	39.44	2625817	104925000.00
2016/11/22	39.46	40.57	39.20	40.50	2819750	113902736.00
2016/11/23	40.50	41.25	39.68	39.90	1867110	75940192.00
2016/11/24	39.80	40.20	38.81	38.94	1790991	71017792.00
2016/11/25	38.85	39.27	37.80	38.52	2129340	81908304.00
2016/11/28	38.68	38.84	38.10	38.16	1163983	44845368.00
2016/11/29	38.46	38.46	38.02	38.07	821630	31550526.00
2016/11/30	37.78	38.34	37.22	37.23	1726373	65459112.00
2016/12/01	37.30	38.08	37.11	37.68	1106870	41870448.00
2016/12/02	37.81	37.91	36.61	36.68	1376927	51487708.00
2016/12/05	36.68	37.49	35.81	36.97	1086604	40056076.00
2016/12/06	37.03	37.38	36.46	37.02	796150	29626306.00
2016/12/07	36.70	37.28	36.60	37.15	1161991	43129328.00
2016/12/08	37.15	37.29	36.68	36.69	788762	29310500.00
2016/12/09	36.76	36.92	35.05	35.36	1958340	70570312.00
2016/12/12	35.31	35.35	32.40	33.10	2977615	99929936.00
2016/12/13	33.48	33.48	31.57	32.80	2152170	70214552.00
2016/12/14	32.80	32.80	31.89	32.23	1086424	35319692.00
2016/12/15	32.24	33.23	32.01	32.29	1075564	35387344.00
2016/12/16	32.27	33.57	32.27	33.45	1240944	41277124.00
2016/12/19	33.43	33.43	32.30	32.30	1208860	40023492.00
2016/12/20	32.30	33.38	32.30	33.31	1264953	42150128.00
