300430 诚益通 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/03/19	6.38	6.97	6.38	6.97	8300	225782.00
2015/03/20	7.68	7.68	7.68	7.68	3200	95840.00
2015/03/23	8.46	8.46	8.46	8.46	3700	121915.00
2015/03/24	9.32	9.32	9.32	9.32	7350	266437.50
2015/03/25	10.26	10.26	10.26	10.26	11600	462608.00
2015/03/26	11.30	11.30	11.30	11.30	28600	1254682.00
2015/03/27	12.45	12.45	12.45	12.45	112659	5436923.50
2015/03/30	13.70	13.70	13.70	13.70	355648	18881352.00
2015/03/31	14.20	15.09	13.96	15.09	8707937	493634176.00
2015/04/01	14.97	15.29	14.51	15.12	6207167	356462592.00
2015/04/02	15.09	16.43	14.99	15.60	5595109	339960096.00
2015/04/03	15.53	17.17	15.39	17.12	5617651	354203680.00
2015/04/07	17.12	18.84	16.76	18.37	5006096	345502272.00
2015/04/08	19.15	19.82	18.13	18.81	3710998	270557344.00
2015/04/09	18.31	18.32	17.01	18.11	3761372	256897152.00
2015/04/10	17.72	18.54	17.46	18.09	2509567	174782944.00
2015/04/13	17.87	19.66	17.59	18.95	3059828	219669680.00
2015/04/14	18.71	19.88	18.63	19.48	2695296	201908096.00
2015/04/15	19.19	20.32	18.11	19.25	3087707	227467040.00
2015/04/16	19.15	20.09	18.71	19.14	2037525	153659312.00
2015/04/17	19.24	19.41	17.85	17.95	2518997	180167728.00
2015/04/20	17.82	18.95	17.64	18.10	1486413	104757048.00
2015/04/21	17.92	19.29	17.70	19.11	2593459	187178704.00
2015/04/22	18.94	19.72	18.89	19.17	1908464	141751840.00
2015/04/23	19.15	19.24	18.49	18.55	1842951	133536728.00
2015/04/24	18.13	19.36	18.11	19.32	1763114	128039168.00
2015/04/27	19.35	20.84	19.35	20.03	2514990	196392800.00
2015/04/28	19.64	20.55	18.63	18.88	1615221	119767296.00
2015/04/29	18.63	20.78	18.51	20.78	2126956	164856688.00
2015/04/30	21.26	22.43	21.05	21.13	2637113	221402128.00
2015/05/04	20.80	22.01	20.43	20.89	1381998	112866080.00
2015/05/05	20.92	22.93	20.82	22.76	2209234	186893472.00
2015/05/06	22.27	25.05	22.17	25.05	2416293	226822464.00
2015/05/07	25.05	25.92	23.84	24.62	2554094	243718480.00
2015/05/08	24.62	27.09	24.62	27.09	1773354	183838320.00
2015/05/11	27.12	29.81	26.73	29.81	1438411	160918864.00
2015/05/12	31.61	32.81	30.09	31.22	3024450	368220608.00
2015/05/13	29.79	32.69	28.18	31.50	1978113	233938816.00
2015/05/14	30.87	32.27	29.31	29.83	1448307	169887872.00
2015/05/15	29.26	32.82	27.38	32.33	2019242	237421312.00
2015/05/18	31.96	35.57	31.93	35.57	1672860	219866848.00
2015/05/19	35.79	37.87	33.21	35.75	1612883	220287328.00
2015/05/20	35.06	36.58	34.00	34.19	2199700	299417920.00
2015/05/21	33.88	37.43	33.03	35.69	1606032	219998704.00
2015/05/22	35.69	36.02	33.90	34.85	1473074	197496368.00
2015/05/25	33.71	36.94	32.46	36.35	1471263	195250880.00
2015/05/26	35.79	39.98	35.59	39.98	1446366	217123376.00
2015/05/27	39.46	43.99	39.42	43.99	1319729	214172864.00
2015/05/28	44.12	48.32	43.28	43.28	1559822	281480320.00
2015/05/29	40.76	45.44	39.72	43.06	1196088	197332912.00
2015/06/01	43.11	44.15	39.81	40.57	1033403	164603408.00
2015/06/02	41.39	41.61	39.43	39.46	1093562	168396848.00
2015/06/03	39.46	40.19	36.70	37.59	1055421	155418816.00
2015/06/04	37.64	39.17	33.99	35.99	1084766	154480384.00
2015/06/05	37.20	38.90	36.60	38.45	1098408	160618736.00
2015/06/08	38.16	38.16	34.59	34.59	1248037	173906544.00
2015/06/09	32.94	35.04	32.18	34.44	1384549	179013760.00
2015/06/10	33.73	36.79	32.86	35.86	1219758	162281728.00
2015/06/11	35.55	37.28	34.91	37.11	960910	134080192.00
2015/06/12	37.38	38.63	35.04	36.60	1654703	233149328.00
2015/06/15	36.56	37.59	32.93	32.93	1357546	180604656.00
2015/06/16	30.52	31.73	29.62	29.65	1088484	126791504.00
2015/06/17	29.25	30.56	29.02	29.57	1455484	167552176.00
2015/06/18	29.89	30.52	26.60	26.60	1314077	142889136.00
2015/06/19	25.53	27.22	24.33	25.66	1301556	129120776.00
2015/06/23	26.70	27.51	24.10	27.31	1990686	201566304.00
2015/06/24	27.53	28.52	25.66	26.86	1719016	179903680.00
2015/06/25	26.70	26.96	24.16	24.21	1459315	144019712.00
2015/06/26	23.32	23.70	21.78	21.78	1247262	107127464.00
2015/06/29	22.20	22.39	19.59	19.59	1917911	152121616.00
2015/06/30	19.93	21.56	18.06	21.56	2337214	180218176.00
2015/07/01	21.62	23.73	21.15	21.75	2914121	255260304.00
2015/07/02	21.13	23.69	20.71	22.66	2511093	215647840.00
2015/07/03	21.75	24.94	20.38	23.85	2881525	255086288.00
2015/07/06	26.25	26.25	21.45	22.54	3140592	294581408.00
2015/07/07	20.97	20.97	20.27	20.27	411244	32417156.00
2015/07/08	18.23	18.88	18.23	18.23	2458061	173638576.00
2015/07/09	17.07	20.07	17.07	20.07	1189364	89247392.00
2015/07/10	20.89	22.08	20.89	22.08	445265	37078152.00
2015/07/13	23.65	24.31	22.28	24.31	1306033	119428680.00
2015/07/14	23.82	26.18	22.93	24.51	2094449	200107392.00
2015/07/15	23.29	23.83	22.05	22.05	867331	75411080.00
2015/07/16	19.85	23.33	19.83	21.93	1195619	98511472.00
2015/07/17	21.23	24.12	21.07	23.95	1948318	171586784.00
2015/07/20	23.76	24.33	22.40	23.03	2151322	194586848.00
2015/07/21	22.76	23.89	21.80	23.51	1461713	129819160.00
2015/07/22	23.37	24.04	22.67	23.81	1269934	114865992.00
2015/07/23	23.82	26.21	23.58	26.21	1755119	169880016.00
2015/07/24	26.96	27.48	25.63	25.67	2089535	213445312.00
2015/07/27	25.40	25.52	23.09	23.09	1409137	133524648.00
2015/07/28	21.00	22.87	20.77	20.77	1282287	105060160.00
2015/07/29	21.44	22.07	19.44	22.02	1057340	84951304.00
2015/07/30	22.01	22.50	21.24	21.29	1013565	85857392.00
2015/07/31	20.58	21.75	20.19	20.84	994650	80949712.00
2015/08/03	20.63	20.71	18.75	18.75	797889	59587496.00
2015/08/04	18.97	20.17	18.63	20.08	1217874	92116784.00
2015/08/05	20.03	20.37	19.10	19.41	905598	69492752.00
2015/08/06	18.63	19.46	18.13	19.18	560665	41237852.00
2015/08/07	19.41	20.45	19.41	20.44	1046160	81259344.00
2015/08/10	20.79	22.33	20.49	21.99	1130104	93178360.00
2015/08/11	21.75	22.33	21.55	21.72	951345	80742792.00
2015/08/12	21.49	23.03	20.97	22.29	1472917	126362200.00
2015/08/13	21.81	22.45	20.98	22.36	1155706	98260672.00
2015/08/14	22.59	24.61	22.29	23.87	1701378	154644192.00
2015/08/17	22.80	23.01	21.47	21.87	2179664	184145984.00
2015/08/18	21.87	22.28	19.67	19.67	1419760	115622480.00
2015/08/19	18.71	20.42	17.82	20.02	1114671	82197656.00
2015/08/20	19.16	19.88	18.92	19.02	608174	45589652.00
2015/08/21	18.63	18.89	18.02	18.03	588175	42060888.00
2015/08/24	16.94	17.05	16.22	16.22	626885	39768056.00
2015/08/25	14.58	15.50	14.58	14.58	925627	53087748.00
2015/08/26	14.66	15.66	13.75	14.42	1328218	76251720.00
2015/08/27	14.77	15.50	14.05	15.15	880619	50659844.00
2015/08/28	15.32	16.17	14.99	16.13	1142636	68638512.00
2015/08/31	15.54	15.97	14.64	14.73	763059	45086888.00
2015/09/01	14.46	14.69	13.24	13.24	807464	42675184.00
2015/09/02	12.98	14.09	12.57	12.90	1403360	72933944.00
2015/09/07	13.29	13.84	13.18	13.54	837505	43917328.00
2015/09/08	13.37	14.82	13.04	14.77	920761	49827080.00
2015/09/09	14.85	15.97	14.74	15.50	1327196	79081048.00
2015/09/10	15.19	15.96	15.08	15.48	1024486	61302256.00
2015/09/11	15.28	15.86	15.24	15.48	691281	41548520.00
2015/09/14	15.71	15.73	13.92	13.92	777898	43833964.00
2015/09/15	13.29	13.73	12.93	13.00	606171	31323634.00
2015/09/16	13.15	14.32	13.04	14.32	965646	51075344.00
