300431 暴风集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/03/24	3.54	3.86	3.54	3.86	7600	77703.00
2015/03/25	4.25	4.25	4.25	4.25	3700	41847.00
2015/03/26	4.68	4.68	4.68	4.68	3600	44784.00
2015/03/27	5.15	5.15	5.15	5.15	6100	83448.00
2015/03/30	5.67	5.67	5.67	5.67	10450	157272.50
2015/03/31	6.24	6.24	6.24	6.24	7600	125856.00
2015/04/01	6.87	6.87	6.87	6.87	31405	572199.13
2015/04/02	7.56	7.56	7.56	7.56	15500	310620.00
2015/04/03	8.31	8.31	8.31	8.31	50432	1111521.25
2015/04/07	9.15	9.15	9.15	9.15	37400	906576.00
2015/04/08	10.06	10.06	10.06	10.06	18767	500328.22
2015/04/09	11.07	11.07	11.07	11.07	76000	2229080.00
2015/04/10	12.18	12.18	12.18	12.18	52400	1690424.00
2015/04/13	13.41	13.41	13.41	13.41	40294	1430034.00
2015/04/14	14.75	14.75	14.75	14.75	51200	1998848.00
2015/04/15	16.23	16.23	16.23	16.23	87400	3752956.00
2015/04/16	17.85	17.85	17.85	17.85	131993	6234029.50
2015/04/17	19.64	19.64	19.64	19.64	85505	4441985.00
2015/04/20	21.61	21.61	21.61	21.61	122705	7012591.00
2015/04/21	23.78	23.78	23.78	23.78	147968	9302748.00
2015/04/22	26.16	26.16	26.16	26.16	84200	5823272.00
2015/04/23	28.78	28.78	28.78	28.78	89950	6843396.00
2015/04/24	31.66	31.66	31.66	31.66	565867	47357408.00
2015/04/27	34.84	34.84	34.84	34.84	509993	46949956.00
2015/04/28	38.32	38.32	38.32	38.32	624319	63224784.00
2015/04/29	42.16	42.16	42.16	42.16	729061	81217392.00
2015/04/30	46.38	46.38	46.38	46.38	640279	78459792.00
2015/05/04	51.02	51.02	51.02	51.02	1684116	227002000.00
2015/05/05	56.13	56.13	56.13	56.13	7487924	1110234496.00
2015/05/06	56.13	61.74	53.30	59.43	17367894	2651550720.00
2015/05/07	60.57	65.38	56.78	65.38	11679554	1936938624.00
2015/05/08	67.77	71.92	63.99	71.92	6741857	1221723264.00
2015/05/11	75.72	79.12	75.00	79.12	1329076	271157888.00
2015/05/12	87.03	87.03	86.33	87.03	3425849	787448896.00
2015/05/13	90.87	95.74	89.05	95.74	1705971	420490176.00
2015/05/14	105.32	105.32	88.98	91.52	9363629	2392814592.00
2015/05/15	85.19	90.83	82.36	85.57	6399287	1451221504.00
2015/05/18	87.84	94.13	87.09	94.13	6095399	1483489792.00
2015/05/19	99.96	103.55	94.13	103.55	6106629	1623111424.00
2015/05/20	112.46	113.90	110.19	113.90	1632766	488393696.00
2015/05/21	122.69	123.83	104.84	106.02	7126251	2130686592.00
2015/05/22	109.05	113.07	98.95	109.43	4790252	1336832768.00
2015/05/25	99.20	106.97	98.48	100.34	5138800	1363663360.00
2015/05/26	99.58	100.67	94.86	96.29	5478332	1408268928.00
2015/05/27	96.18	101.10	92.01	98.45	6004513	1532934912.00
2015/05/28	94.72	96.77	88.99	89.18	4966271	1225142912.00
2015/05/29	87.65	93.52	85.69	90.10	4046046	963403200.00
2015/06/01	90.49	96.17	88.98	95.04	4575089	1125279104.00
2015/06/02	94.28	99.89	90.13	97.69	4786765	1220280960.00
2015/06/03	94.66	107.46	94.28	107.46	4866558	1335189760.00
2015/06/04	110.19	113.58	96.71	96.71	4808226	1295676672.00
2015/06/05	99.20	103.93	89.19	91.62	4564834	1160110464.00
2015/06/08	88.83	100.79	88.22	100.79	3779461	945362368.00
2015/06/09	100.72	109.81	97.76	105.87	3733722	1039942848.00
2015/06/10	102.23	116.46	101.86	116.46	2873743	845056512.00
2015/07/13	104.81	104.81	104.81	104.81	325000	89960000.00
2015/07/14	94.33	94.33	94.33	94.33	22600	5630112.00
2015/07/15	84.89	84.89	84.89	84.89	8200	1838522.00
2015/07/16	76.40	76.40	76.40	76.40	206400	41649456.00
2015/07/17	68.75	68.75	68.75	68.75	1036400	188220608.00
2015/07/20	65.19	75.30	65.19	73.83	12829253	2343287040.00
2015/07/21	68.90	72.01	66.44	66.46	10332354	1879491072.00
2015/07/22	65.88	70.42	64.36	69.11	7459168	1338437120.00
2015/07/23	68.90	74.58	65.87	70.45	8359508	1532721280.00
2015/07/24	70.83	74.20	67.46	68.26	6681544	1258720512.00
2015/07/27	63.98	64.41	61.43	61.43	5889817	970024576.00
2015/07/28	55.28	57.20	55.28	55.28	5172556	759390400.00
2015/07/29	53.41	55.65	49.75	54.74	9072260	1253997312.00
2015/07/30	52.22	55.06	49.26	49.26	7028796	969335104.00
2015/07/31	47.04	48.02	44.33	47.06	7745588	948593472.00
2015/08/03	46.17	49.13	43.98	45.65	6033279	744976128.00
2015/08/04	45.08	50.21	44.66	50.21	5482029	688642240.00
2015/08/05	52.28	52.99	46.44	46.56	9088728	1195907840.00
2015/08/06	43.90	44.66	42.05	43.15	6428958	737013952.00
2015/08/07	43.86	47.46	43.15	47.46	9667446	1190087808.00
2015/08/10	47.99	51.78	46.63	50.72	8086623	1050413696.00
2015/08/11	49.41	55.60	49.28	54.51	7104495	998984448.00
2015/08/12	52.99	54.51	51.33	51.33	4897356	685497024.00
2015/08/13	49.71	53.19	49.66	52.99	3463283	475726048.00
2015/08/14	52.88	56.36	52.62	53.82	3343511	481971232.00
2015/08/17	53.82	54.47	49.02	50.11	3387299	453650464.00
2015/08/18	50.91	50.91	45.09	45.09	3887687	488448096.00
2015/08/19	44.30	46.68	41.93	45.53	5495372	642133824.00
2015/08/20	44.66	47.38	43.13	44.13	4287418	511722400.00
2015/08/21	42.76	43.48	39.73	39.74	4515387	493614144.00
2015/08/24	37.00	37.77	35.76	35.76	1699794	162269056.00
2015/08/25	32.18	34.05	32.18	32.18	3332765	286956704.00
2015/08/26	31.78	33.68	29.17	30.27	4140888	347494272.00
2015/08/27	31.41	33.30	30.57	33.30	5127913	435797600.00
2015/08/28	34.39	36.63	32.49	36.63	5003890	455310080.00
