300447 全信股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/04/22	4.85	5.30	4.85	5.30	18900	350576.00
2015/04/23	5.85	5.85	5.85	5.85	2600	53170.00
2015/04/24	6.45	6.45	6.45	6.45	4800	108000.00
2015/04/27	7.12	7.12	7.12	7.12	3800	94050.00
2015/04/28	7.85	7.85	7.85	7.85	5900	160657.00
2015/04/29	8.65	8.65	8.65	8.65	11900	356405.00
2015/04/30	9.53	9.53	9.53	9.53	17700	583215.00
2015/05/04	10.50	10.50	10.50	10.50	31780	1152025.00
2015/05/05	11.57	11.57	11.57	11.57	47210	1882734.75
2015/05/06	12.74	12.74	12.74	12.74	134200	5887354.00
2015/05/07	14.03	14.03	14.03	14.03	225010	10858983.00
2015/05/08	15.45	15.45	15.45	15.45	110800	5882372.00
2015/05/11	17.01	17.01	17.01	17.01	20400	1191360.00
2015/05/12	18.73	18.73	18.73	18.73	18500	1188440.00
2015/05/13	20.62	20.62	20.62	20.62	334747	23653224.00
2015/05/14	22.70	22.70	22.70	22.70	27800	2160894.00
2015/05/15	24.98	24.98	24.98	24.98	38580	3298590.00
2015/05/18	27.50	27.50	27.50	27.50	23370	2197948.50
2015/05/19	30.27	30.27	30.27	30.27	84752	8768442.00
2015/05/20	33.31	33.31	33.31	33.31	66400	7556984.00
2015/05/21	36.66	36.66	36.66	36.66	48438	6063953.00
2015/05/22	40.34	40.34	40.34	40.34	43578	6001126.50
2015/05/25	44.39	44.39	42.55	44.39	3014440	455905248.00
2015/05/26	48.85	48.85	48.85	48.85	175263	29204074.00
2015/05/27	53.75	53.75	53.75	53.75	46270	8480828.00
2015/05/28	59.14	59.14	55.72	55.72	1578300	314538976.00
2015/05/29	50.13	61.30	50.13	61.30	11344710	2157785856.00
2015/06/01	58.95	60.72	55.16	55.16	5354278	1024454208.00
2015/06/02	53.73	55.16	50.20	51.12	5567525	987669056.00
2015/06/17	45.99	45.99	45.99	45.99	34400	5398048.00
2015/06/18	41.38	41.38	41.38	41.38	284200	40137568.00
2015/06/19	37.22	37.22	37.22	37.22	287000	36480568.00
2015/06/23	33.48	35.60	33.48	33.75	6214276	721106624.00
2015/06/24	34.62	34.62	31.03	33.01	5236153	588029248.00
2015/06/25	32.19	32.48	29.70	29.70	3543820	377783552.00
2015/06/26	28.13	28.13	26.71	26.71	2649075	245960896.00
2015/06/29	25.75	26.57	24.02	24.02	2907412	242575392.00
2015/06/30	22.34	25.06	21.60	24.25	4064800	321306432.00
2015/07/01	23.56	25.43	21.81	21.81	4035347	333453792.00
2015/07/02	21.60	21.60	19.61	19.61	2659031	184947344.00
