300450 先导智能 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/05/18	2.05	2.26	2.05	2.26	2100	63372.00
2015/05/19	2.52	2.52	2.52	2.52	1500	50385.00
2015/05/20	2.80	2.80	2.80	2.80	1200	44340.00
2015/05/21	3.10	3.10	3.10	3.10	2500	101625.00
2015/05/22	3.44	3.44	3.44	3.44	1800	80496.00
2015/05/25	3.82	3.82	3.82	3.82	2800	137732.00
2015/05/26	4.23	4.23	4.23	4.23	1700	91987.00
2015/05/27	4.68	4.68	4.68	4.68	5800	345216.00
2015/05/28	5.18	5.18	5.18	5.18	6700	438649.00
2015/05/29	5.72	5.72	5.72	5.72	14500	1044290.00
2015/06/01	6.32	6.32	6.32	6.32	3100	245582.00
2015/06/02	6.98	6.98	6.98	6.98	10100	880114.00
2015/06/03	7.71	7.71	7.71	7.71	37769	3620158.75
2015/06/04	8.51	8.51	8.51	8.51	58700	6189328.00
2015/06/05	9.39	9.39	9.39	9.39	37950	4401441.00
2015/06/08	10.36	10.36	10.36	10.36	150850	19245444.00
2015/06/09	10.40	11.42	9.82	11.42	8798904	1189375744.00
2015/06/10	12.60	12.60	12.60	12.60	307462	47462908.00
2015/06/11	13.88	13.88	13.88	13.88	26400	4482984.00
2015/06/12	15.30	15.30	14.91	15.30	4297126	802509568.00
2015/06/15	13.91	15.07	13.74	13.74	3806292	658915328.00
2015/06/16	13.48	15.15	13.23	13.57	5853886	1003782144.00
2015/06/17	13.32	14.89	13.31	14.48	4253475	738882112.00
2015/06/18	13.94	14.07	13.00	13.00	4118956	669543936.00
2015/06/19	12.31	13.31	11.81	11.82	2708905	419982368.00
2015/06/23	12.19	13.03	12.15	13.03	3428655	541509376.00
2015/06/24	13.40	13.47	11.70	12.02	4932593	743369472.00
2015/06/25	11.81	12.41	11.52	11.56	2525057	370004064.00
2015/06/26	11.40	11.73	10.38	10.38	1861334	247191936.00
2015/06/29	9.81	11.23	9.31	10.73	4157067	532237888.00
2015/06/30	10.56	11.83	10.15	11.83	2713230	370164960.00
2015/07/01	11.42	13.04	11.41	11.65	2732530	408433152.00
2015/07/02	11.28	11.40	10.45	10.45	1891817	249364000.00
2015/07/03	9.39	10.95	9.38	9.38	2537089	302755584.00
2015/07/06	10.35	10.35	8.41	8.41	2866782	332507456.00
2015/07/07	7.72	7.89	7.54	7.54	762300	71844696.00
2015/07/08	6.76	8.06	6.76	6.76	3867565	332484864.00
2015/07/09	7.05	7.47	6.93	7.47	2514006	229595152.00
2015/07/10	8.24	8.24	8.24	8.24	102960	10521482.00
2015/07/13	9.09	9.09	9.09	9.09	58139	6535405.00
2015/07/14	10.03	10.03	9.73	10.03	3044918	375681696.00
2015/07/15	9.64	9.89	9.00	9.00	2621586	298002176.00
2015/07/16	8.48	9.90	8.24	9.30	2057391	234001424.00
2015/07/17	9.48	10.07	9.48	9.94	1963782	238616112.00
2015/07/20	9.83	10.31	9.65	9.98	1786688	219829792.00
2015/07/21	9.74	11.01	9.56	11.01	2155286	278915936.00
2015/07/22	11.25	12.14	11.02	12.14	3736962	536606944.00
2015/07/23	13.38	13.38	12.90	13.38	2383848	388358688.00
2015/07/24	13.92	14.75	13.92	13.98	3213505	569801472.00
2015/07/27	13.15	15.05	13.07	13.23	3127293	533044352.00
2015/07/28	12.40	14.58	12.05	14.20	2855936	474473376.00
2015/07/29	14.36	14.60	12.75	13.75	3488286	567727936.00
2015/07/30	13.30	13.61	12.36	12.43	1995960	321005952.00
2015/07/31	12.50	13.36	11.74	12.15	2151951	332453600.00
2015/08/03	11.56	11.79	10.90	10.90	1954309	266742224.00
2015/08/04	11.06	12.02	10.90	12.02	2139132	299880928.00
2015/08/05	12.23	13.25	12.04	12.59	2872974	451054432.00
2015/08/06	12.23	13.88	11.41	13.88	2579273	426461632.00
2015/08/07	14.44	14.72	13.36	13.86	2518168	425891936.00
2015/08/10	13.64	15.19	13.64	14.54	2168312	383736448.00
2015/08/11	14.43	16.02	14.41	15.82	2267682	428228704.00
2015/08/12	15.40	15.74	14.21	14.23	2936824	529279360.00
2015/08/13	13.88	14.98	13.71	14.93	1920594	336662816.00
2015/08/14	14.92	15.99	14.82	15.40	1975095	374785056.00
2015/08/17	15.27	15.54	14.32	14.40	1198503	216356112.00
2015/08/18	14.32	14.87	12.93	12.93	1696127	286545632.00
2015/08/19	12.48	13.86	12.10	13.82	2232126	356843360.00
2015/08/20	13.40	13.60	12.52	12.54	1428874	229406704.00
2015/08/21	12.15	12.40	11.53	11.73	1737697	253970016.00
2015/08/24	11.06	11.23	10.53	10.53	1682346	222985904.00
2015/08/25	9.57	11.13	9.45	10.07	3007645	376592640.00
2015/08/26	10.19	11.10	10.02	10.81	2858183	376277920.00
2015/08/27	10.94	11.48	10.40	11.19	2170266	294126368.00
2015/08/28	11.53	11.70	10.79	11.57	1973211	271227456.00
2015/08/31	11.23	11.47	10.53	10.65	1299084	176694864.00
2015/09/01	10.31	10.32	9.55	9.55	1316792	161072368.00
2015/09/02	8.81	10.52	8.64	9.33	1523498	179372688.00
2015/09/07	9.73	10.29	8.99	9.61	2658257	321637184.00
2015/09/08	9.31	10.56	9.27	10.32	1916772	236216032.00
2015/09/09	10.56	11.38	10.52	11.38	2626923	362582400.00
2015/09/10	11.41	12.21	11.21	11.53	4342289	310454272.00
2015/09/11	11.26	11.62	10.99	11.30	2755265	189888144.00
2015/09/14	11.35	11.48	10.14	10.14	2237015	145652672.00
2015/09/15	9.41	9.81	9.10	9.10	2583493	147956544.00
2015/09/16	9.24	10.04	9.01	10.04	3699041	219114768.00
2015/09/17	10.16	10.71	9.64	9.67	4608252	289318368.00
2015/09/18	9.68	10.56	9.68	10.13	2594379	160677408.00
2015/09/21	9.96	11.17	9.82	11.17	4183986	279171360.00
2015/09/22	11.73	12.28	11.68	11.79	6018883	438607936.00
2015/09/23	11.48	12.76	11.38	12.19	4069220	303171360.00
2015/09/24	12.11	12.58	11.63	11.76	3469938	256171392.00
2015/09/25	11.74	12.06	10.94	11.01	2171690	151905984.00
2015/09/28	11.07	12.14	10.90	12.14	3521084	254838432.00
2015/09/29	11.76	12.73	11.76	12.31	3709611	280250752.00
2015/09/30	12.66	13.08	12.55	12.70	3112180	243680688.00
2015/10/08	13.45	13.98	12.95	13.05	3163190	260447520.00
2015/10/09	12.78	13.66	12.78	13.58	2619520	211217328.00
2015/10/12	13.60	14.74	13.60	13.90	3955019	343739200.00
2015/10/13	13.58	13.83	13.25	13.63	3168065	262496768.00
2015/10/14	13.91	14.23	13.20	13.32	3052752	253911760.00
2015/10/15	13.12	14.69	13.12	14.69	3977481	342574400.00
2015/10/16	15.37	15.67	14.24	14.30	6124101	550919424.00
2015/10/19	14.31	15.09	13.92	14.77	5560787	490866656.00
2015/10/20	14.63	16.25	14.42	15.78	5586323	519753984.00
2015/10/21	15.59	16.59	14.34	14.92	6929594	654509120.00
2015/10/22	15.09	15.59	14.50	15.54	4803885	443651360.00
2015/10/23	15.59	15.87	14.74	15.34	4940780	459454048.00
2015/10/26	15.42	16.25	14.84	15.83	4675811	447694112.00
2015/10/27	15.41	15.60	14.75	15.47	3693754	341494208.00
2015/10/28	15.54	15.92	14.75	14.82	3624719	335040352.00
2015/10/29	15.24	15.24	14.20	14.76	3144657	281124000.00
2015/10/30	14.58	14.92	14.00	14.58	2544850	225146384.00
2015/11/02	14.10	15.75	14.10	14.92	3825030	352660448.00
2015/11/03	14.75	15.09	14.38	14.56	2902918	260748320.00
2015/11/04	14.76	15.77	14.76	15.70	3925651	366407040.00
2015/11/05	15.76	17.25	15.71	15.80	5085687	503858400.00
2015/11/06	15.59	17.13	15.59	16.84	4684579	470642592.00
2015/11/09	16.50	18.55	16.42	18.29	5781341	628132672.00
2015/11/10	17.76	19.07	17.51	18.51	4619834	508545952.00
2015/11/11	18.87	19.26	17.92	18.93	4181897	472771648.00
2015/11/12	19.29	19.56	18.15	18.67	3627685	413347264.00
2015/11/13	18.09	18.26	16.84	16.91	4852789	517848960.00
2015/11/16	16.42	17.49	16.24	17.27	2326783	242145280.00
2015/11/17	17.65	18.06	16.52	16.64	2820526	294876512.00
2015/11/18	16.66	16.73	15.67	15.92	2982410	292971712.00
2015/11/19	16.05	17.05	15.86	16.92	2856563	284848544.00
2015/11/20	16.76	16.92	16.10	16.40	2968116	297147776.00
2015/11/23	16.12	16.89	15.92	16.12	2404330	238620288.00
2015/11/24	16.12	16.84	16.09	16.75	2881268	288580672.00
2015/11/25	16.57	17.46	16.25	17.14	3305852	339306080.00
2015/11/26	17.23	17.42	16.18	16.18	3267728	331350208.00
2015/11/27	16.02	16.02	14.54	14.75	3700043	346423040.00
2015/11/30	14.75	15.51	14.20	15.32	2852449	260300624.00
2015/12/01	15.25	15.65	15.09	15.49	2700719	252591760.00
2015/12/02	15.34	15.34	13.91	14.75	2101830	187365776.00
