300462 华铭智能 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/05/27	9.24	10.09	9.24	10.09	4200	85329.00
2015/05/28	11.12	11.12	11.12	11.12	4800	108336.00
2015/05/29	12.25	12.25	12.25	12.25	3000	74490.00
2015/06/01	13.49	13.49	13.49	13.49	600	16386.00
2015/06/02	14.85	14.85	14.85	14.85	2000	60080.00
2015/06/03	16.35	16.35	16.35	16.35	1500	49560.00
2015/06/04	18.00	18.00	18.00	18.00	6200	225308.00
2015/06/05	19.82	19.82	19.82	19.82	3000	119910.00
2015/06/08	21.82	21.82	21.82	21.82	3400	149498.00
2015/06/09	24.02	24.02	24.02	24.02	9000	435330.00
2015/06/10	26.44	26.44	26.44	26.44	4200	223482.00
2015/06/11	29.10	29.10	29.10	29.10	3300	193149.00
2015/06/12	32.02	32.02	32.02	32.02	11000	708180.00
2015/06/15	35.24	35.24	35.24	35.24	34000	2407880.00
2015/06/16	38.78	38.78	38.78	38.78	103328	8049251.00
2015/06/17	42.68	42.68	37.36	39.28	9368203	755267520.00
2015/06/18	36.39	37.58	35.34	35.34	5630666	409149536.00
2015/06/19	32.58	35.58	32.04	32.04	4151965	276867392.00
2015/06/23	32.83	35.26	32.17	35.26	4247066	295215936.00
2015/06/24	37.83	38.08	32.97	34.01	5640238	401125888.00
2015/06/25	33.26	35.83	32.82	33.08	3133827	215261248.00
2015/06/26	31.78	31.78	29.76	29.76	2028435	125033736.00
2015/06/29	29.58	30.05	26.77	26.77	2587673	142421568.00
2015/06/30	25.33	28.96	24.07	28.02	3164620	166661344.00
2015/07/01	26.83	29.74	25.23	25.83	2821695	159880336.00
2015/07/02	25.83	26.33	23.51	23.83	2232424	112321944.00
2015/07/03	23.13	25.67	21.66	23.18	2343563	111634664.00
2015/07/06	25.52	25.52	21.59	23.42	2440392	118832952.00
2015/07/07	21.83	22.52	21.06	21.06	1153419	50053452.00
2015/07/08	18.94	19.73	18.94	18.94	2467816	94753296.00
2015/07/09	19.03	20.85	19.02	20.85	1984342	81693520.00
2015/07/10	22.95	22.95	22.33	22.95	604256	27886282.00
2015/07/13	25.26	25.26	24.83	25.26	1736661	88263952.00
2015/07/14	26.24	27.80	25.96	27.68	5109668	279314240.00
2015/07/15	25.69	26.13	24.90	24.90	2232300	112937128.00
2015/07/16	22.39	25.83	22.39	23.48	3256119	156503568.00
2015/07/17	23.71	25.17	23.02	24.33	3418323	165457296.00
2015/07/20	24.31	25.24	23.73	24.31	3084503	151495456.00
2015/07/21	23.79	26.16	23.33	26.13	3557051	177172192.00
2015/07/22	25.63	26.12	24.83	25.78	2855764	147055424.00
2015/07/23	25.78	28.38	25.63	28.38	3441443	188117872.00
2015/07/24	30.73	30.78	27.74	28.11	5839862	346178176.00
2015/07/27	26.84	28.60	25.28	25.28	3776818	203700176.00
2015/07/28	23.03	25.54	22.85	23.48	2471017	118619584.00
2015/07/29	24.33	25.85	23.51	25.85	2592879	128019768.00
2015/07/30	26.63	28.45	26.08	27.01	4736655	263799808.00
2015/07/31	26.78	29.73	26.19	29.73	5975450	350691360.00
2015/08/03	29.83	31.31	27.84	30.83	7086188	424358144.00
2015/08/04	29.90	30.77	27.73	29.33	5703317	329982048.00
2015/08/05	28.33	31.83	28.08	30.18	4842587	294079264.00
2015/08/06	29.33	30.18	27.22	28.27	4022323	229618176.00
2015/08/07	28.33	29.13	27.87	28.64	2566636	147612816.00
2015/08/10	29.02	30.43	28.40	30.11	3405186	202621744.00
2015/08/11	30.83	33.14	30.82	33.14	3594725	234090288.00
2015/08/12	33.23	33.78	30.57	30.64	4748738	306158496.00
2015/08/13	29.83	31.12	29.08	30.88	2696903	164065648.00
