300469 信息发展 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/06/11	7.21	7.88	7.21	7.88	3823	55787.97
2015/06/12	8.69	8.69	8.69	8.69	1100	17666.00
2015/06/15	9.59	9.59	9.59	9.59	1100	19437.00
2015/06/16	10.57	10.57	10.57	10.57	3300	64152.00
2015/06/17	11.65	11.65	11.65	11.65	6300	134694.00
2015/06/18	12.84	12.84	12.84	12.84	1000	23520.00
2015/06/19	14.14	14.14	14.14	14.14	12596	325858.53
2015/06/23	15.58	15.58	15.58	15.58	2800	79688.00
2015/06/24	17.17	17.17	17.17	17.17	4100	128371.00
2015/06/25	18.91	18.91	18.91	18.91	2700	92988.00
2015/06/26	20.82	20.82	20.82	20.82	102713	3890768.50
2015/06/29	22.92	22.92	22.92	22.92	356763	14866314.00
2015/06/30	25.24	25.24	25.24	25.24	155850	7144164.00
2015/07/01	27.78	27.78	27.78	27.78	43996	2218278.25
2015/07/02	30.58	30.58	30.58	30.58	146366	8117458.50
2015/07/03	33.67	33.67	28.04	32.33	11402339	649784576.00
2015/07/06	35.58	35.58	29.07	29.07	6805579	403992768.00
2015/07/07	26.14	26.14	26.14	26.14	195000	9256650.00
2015/07/08	23.51	23.66	23.51	23.51	5886155	251481696.00
2015/07/09	22.87	25.88	22.87	25.88	1262562	57149292.00
2015/07/10	28.49	28.49	28.49	28.49	143450	7414930.50
2015/07/13	31.36	31.36	30.33	31.36	972833	55275900.00
2015/07/14	33.66	34.52	32.62	34.52	2875538	178214896.00
2015/07/15	34.77	34.77	31.05	31.05	2338762	137970448.00
2015/07/16	27.92	33.37	27.92	30.37	3039435	168612400.00
2015/07/17	30.33	33.37	29.96	32.44	2190655	125538384.00
2015/07/20	32.27	34.22	30.88	33.08	2382296	140178912.00
2015/07/21	31.99	36.41	31.44	36.41	2455330	152396272.00
2015/07/22	37.66	40.08	36.44	40.08	2786241	191979616.00
2015/07/23	39.55	44.11	38.11	44.11	2634336	196426304.00
2015/07/24	44.22	48.38	43.38	45.83	3949772	329741440.00
2015/07/27	43.66	45.82	41.22	41.22	2656600	209160720.00
2015/07/28	37.13	42.49	37.08	37.08	2928900	202324512.00
2015/07/29	38.56	39.72	33.97	39.61	3149030	212257632.00
2015/07/30	38.65	42.09	37.36	37.91	3237743	232052880.00
2015/07/31	35.33	39.21	35.33	36.60	2557355	171992880.00
2015/08/03	35.84	36.37	32.92	32.92	2086071	128946736.00
2015/08/04	33.26	36.14	32.81	36.14	1979971	123174744.00
2015/08/05	35.33	38.31	34.94	36.86	2254358	148127552.00
2015/08/06	35.33	36.32	34.18	34.77	1571744	100649512.00
2015/08/07	34.97	38.27	34.97	38.27	2047244	138099776.00
2015/08/10	39.71	42.05	39.08	39.89	2466018	180499456.00
2015/08/11	39.38	42.68	39.38	40.82	2728816	202176896.00
2015/08/12	40.33	41.99	38.88	38.88	1780629	130636168.00
2015/08/13	38.72	41.22	38.61	40.69	1667252	120723128.00
2015/08/14	40.71	41.05	38.98	39.69	1511466	109430864.00
2015/08/17	38.89	39.43	36.55	37.43	1279697	87031216.00
2015/08/18	37.65	38.81	33.66	33.67	1456754	95215544.00
2015/08/19	32.59	34.22	30.95	34.19	1227307	73468240.00
2015/08/20	33.79	35.51	33.19	33.47	753224	46848544.00
2015/08/21	32.27	33.11	30.75	30.95	814348	46948992.00
2015/08/25	27.83	29.82	27.83	27.83	1240862	63378264.00
2015/08/26	27.24	30.29	26.58	27.27	1673258	86005304.00
2015/08/27	28.38	29.48	25.25	27.64	1164644	57999104.00
2015/08/28	28.11	29.19	27.15	29.03	1107009	56500084.00
2015/08/31	28.84	28.84	26.10	26.10	957503	47777532.00
2015/09/01	25.55	25.55	23.47	23.47	873412	38305764.00
2015/09/02	21.72	24.46	21.46	21.52	827118	34140500.00
2015/09/07	22.07	23.70	22.07	23.34	1182400	49745908.00
2015/09/08	23.11	25.32	22.98	25.26	1073622	47140356.00
2015/09/09	25.44	27.27	25.14	26.44	1367096	65164012.00
2015/09/10	25.69	26.74	25.69	25.83	648917	30890128.00
2015/09/11	25.89	27.24	25.89	26.90	802679	38961048.00
2015/09/14	27.01	27.27	24.19	24.19	1023450	47366016.00
2015/09/15	22.56	25.78	22.56	23.66	705760	30902166.00
2015/09/16	24.18	26.05	23.76	26.05	957024	43353240.00
2015/09/17	25.96	27.67	25.39	26.19	1316605	63303852.00
2015/09/18	26.21	28.73	25.93	28.28	1406772	69897288.00
2015/09/21	27.66	29.43	27.38	29.22	1910715	98689840.00
2015/09/22	29.22	29.47	28.11	28.38	1436350	74911496.00
2015/09/23	27.66	29.10	27.48	28.61	1377702	70766680.00
2015/09/24	28.52	31.16	28.52	29.52	1658461	90376496.00
2015/09/25	29.22	29.72	27.16	27.54	1042979	53405228.00
2015/09/28	27.64	30.32	27.22	30.21	1129490	59249972.00
2015/09/29	29.72	30.16	28.70	29.21	949550	50730692.00
2015/09/30	29.49	29.66	27.55	28.13	1447099	74146728.00
2015/10/08	29.72	30.97	29.15	30.88	1996101	110269336.00
2015/10/09	31.03	32.32	29.95	31.98	1866302	105369256.00
2015/10/12	32.27	34.52	31.99	32.22	3878669	230565920.00
2015/10/13	31.88	33.49	31.88	33.31	2204083	131280872.00
2015/10/14	32.83	35.88	32.32	35.21	2192836	135220160.00
2015/10/15	35.69	38.76	34.77	38.76	1956734	130720048.00
2015/10/16	41.02	41.04	37.48	38.82	2370031	167469184.00
2015/10/19	40.94	42.72	40.44	42.72	2739324	210121424.00
2015/10/20	43.07	46.99	40.88	44.49	4563738	360452544.00
2015/10/21	43.27	46.71	40.32	42.64	4255426	338067264.00
2015/10/22	42.59	46.93	42.59	46.93	3905879	320603808.00
2015/10/23	48.27	51.64	47.22	51.64	3693134	334719552.00
2015/10/26	53.44	56.49	48.78	50.21	4192640	402289728.00
2015/10/27	48.67	55.25	48.39	55.25	2730936	254386944.00
2015/10/28	55.43	57.79	51.39	52.11	2942413	291158912.00
2015/10/29	52.29	54.61	49.81	51.43	2590810	243599008.00
2015/10/30	50.88	55.87	50.06	53.00	2802232	269472768.00
2015/11/02	50.86	58.32	50.06	55.33	3870846	388619104.00
2015/11/03	55.33	56.87	53.94	54.88	1853364	185025088.00
2015/11/04	54.93	60.39	54.93	60.05	3379714	354865024.00
2015/11/05	59.77	64.88	59.22	62.49	3061237	340721888.00
2015/11/06	62.94	68.77	61.88	68.77	2611259	313937792.00
2015/11/09	70.33	75.67	69.33	75.67	1669593	219801152.00
2015/11/10	78.66	83.26	75.66	83.26	4443844	642901504.00
2015/11/11	83.66	88.61	79.79	84.56	4573125	691275520.00
2015/11/12	83.22	93.03	81.47	93.03	4185276	665909632.00
2015/11/13	92.62	92.62	83.71	83.71	4246602	663988480.00
2015/11/16	80.88	87.20	79.22	83.11	4010143	598259456.00
2015/11/17	84.22	91.44	80.89	88.11	5826578	920871104.00
2015/11/18	85.33	85.76	79.27	79.27	5115441	751050688.00
2015/11/19	80.38	84.66	79.22	82.72	3646548	540024256.00
2015/11/20	83.66	86.72	80.33	80.99	3703544	554972288.00
2015/11/23	77.56	78.71	72.87	72.87	4439785	603649472.00
2015/11/24	74.22	77.82	73.48	77.44	3822400	525138240.00
2015/11/25	77.55	82.99	75.11	79.39	4165968	600562112.00
2015/11/26	77.00	81.38	75.71	76.37	3074264	432081984.00
2015/11/27	77.27	83.66	76.64	78.55	3675881	531743712.00
2015/11/30	80.33	86.43	78.11	86.43	4237999	637705792.00
2015/12/01	88.86	89.15	77.76	78.66	4686687	697814528.00
2015/12/02	75.88	76.33	70.77	71.99	3120652	409351936.00
2015/12/03	72.56	75.10	70.33	73.57	2465371	324026944.00
2015/12/04	73.60	75.79	71.16	71.99	2198529	291841632.00
2015/12/07	72.44	73.64	69.99	72.87	1796927	233220816.00
2015/12/08	72.55	75.88	71.56	74.77	2740678	369719744.00
2015/12/09	73.12	74.20	68.03	69.77	2794358	355537824.00
2015/12/10	68.16	71.44	68.16	69.08	1647631	208348432.00
2015/12/11	69.13	73.64	69.13	70.18	2103278	272146496.00
2015/12/14	67.00	70.69	66.66	70.47	1763757	217341600.00
2015/12/15	70.05	73.66	69.81	71.41	1434432	187341120.00
2015/12/16	72.11	74.42	72.06	72.66	1484305	196531568.00
2015/12/17	74.49	76.29	73.36	74.48	1813230	244045264.00
2015/12/18	74.64	76.42	71.64	72.33	1927575	256150144.00
2015/12/21	72.38	73.38	69.77	72.22	1275313	164614448.00
2015/12/22	72.33	79.46	72.26	78.76	3034439	417341536.00
2015/12/23	78.77	78.77	74.49	74.86	2353442	324321376.00
2015/12/24	73.14	77.66	71.44	76.61	2099326	284526720.00
2015/12/25	75.88	77.52	72.56	74.17	1871738	254784320.00
2015/12/28	74.17	74.77	70.43	70.52	1645805	214661456.00
2015/12/29	70.52	70.96	67.53	70.01	1268374	158161104.00
2015/12/30	70.09	71.61	69.22	70.31	743199	94471912.00
2015/12/31	70.31	71.55	67.83	68.00	1176277	148225248.00
2016/01/04	66.69	67.54	61.18	61.18	1182602	132946624.00
2016/01/05	55.16	61.88	55.16	59.61	2387351	251178224.00
2016/01/06	59.21	64.91	58.72	64.69	2027485	228071040.00
2016/01/07	62.56	63.13	58.20	58.21	409746	44693924.00
2016/01/08	60.33	62.08	55.94	60.49	1694122	184013040.00
2016/01/11	57.83	59.77	54.42	54.42	1588623	161261344.00
2016/01/12	52.55	56.44	52.11	53.98	1208543	119513192.00
2016/01/13	55.33	55.33	48.56	48.56	1814211	167868736.00
2016/01/14	45.67	53.17	44.77	51.16	2305205	202635728.00
2016/01/15	50.33	51.09	46.44	46.91	1667033	147252912.00
2016/01/18	44.72	50.72	44.72	48.77	1814633	159336512.00
2016/01/19	48.44	52.99	47.57	52.10	1797868	164328640.00
2016/01/20	51.44	53.66	50.88	51.63	1268595	119507272.00
2016/01/21	50.44	56.81	50.38	53.66	2559397	251891280.00
2016/01/22	54.77	55.82	52.27	54.77	1717440	168600560.00
2016/01/25	55.61	55.99	53.11	53.77	1100762	108257472.00
2016/01/26	52.71	53.38	48.37	48.37	1178219	107450608.00
2016/01/27	48.44	48.93	44.33	47.37	1234552	102794880.00
2016/01/28	45.83	47.19	42.61	42.72	1003228	80872400.00
2016/01/29	41.99	45.05	40.31	43.56	2166640	168536016.00
2016/02/01	43.16	43.38	39.18	39.77	2323662	171368512.00
2016/02/02	40.17	43.66	39.88	42.38	1912073	145550736.00
2016/02/03	41.44	43.44	40.49	42.83	1422981	107289664.00
2016/02/04	44.22	47.13	44.13	47.13	749946	62981408.00
2016/02/05	51.87	51.87	51.87	51.87	524317	49170448.00
2016/02/15	51.44	53.65	47.41	51.45	3135554	283898880.00
2016/02/16	50.74	56.62	50.72	55.37	2973084	292648576.00
2016/02/17	54.22	56.72	53.37	55.38	2103641	208918224.00
2016/02/18	56.42	56.50	54.22	54.58	1650937	164327072.00
2016/02/19	54.72	54.77	52.94	52.95	1480474	143886256.00
2016/02/22	54.22	57.53	54.22	55.03	2007649	201672832.00
2016/02/23	54.22	55.33	52.31	53.29	1465159	142332144.00
2016/02/24	53.11	53.11	47.99	50.38	2160189	196579456.00
2016/02/25	49.22	50.29	45.32	45.32	1557640	133332736.00
2016/02/26	46.16	47.27	44.77	45.66	1331584	111042056.00
2016/02/29	43.66	44.22	41.07	41.07	1232428	92520152.00
2016/03/01	39.13	43.19	38.08	42.34	1623318	119881696.00
2016/03/02	41.49	45.37	41.46	44.80	1705392	133538352.00
2016/03/03	44.23	47.54	44.01	44.15	1752806	145101920.00
2016/03/04	43.69	44.21	39.71	39.77	1704760	127646760.00
2016/03/07	40.34	43.77	40.34	43.77	982264	77195040.00
2016/03/08	44.22	48.17	43.55	48.17	3676270	307337472.00
2016/03/09	48.17	52.55	47.35	49.04	4539158	409846944.00
2016/03/10	48.39	50.33	46.17	47.94	3180349	277037536.00
2016/03/11	46.88	52.76	45.89	52.76	3555770	322007584.00
2016/03/14	55.11	58.06	54.23	58.06	2125667	217858192.00
2016/03/15	61.99	63.11	58.12	58.21	5217779	573085056.00
2016/03/16	60.32	63.38	55.89	60.80	4835646	515986976.00
2016/03/17	59.22	66.03	58.66	64.42	4546726	511443136.00
2016/03/18	63.55	67.69	62.56	64.21	4239727	497129568.00
2016/03/21	63.66	70.61	62.86	68.55	4137338	493307552.00
2016/03/22	66.48	69.04	65.39	66.37	2775472	336253120.00
2016/03/23	67.03	73.03	66.44	71.99	3249773	416499104.00
2016/03/24	70.32	73.91	68.66	69.77	2550463	327298432.00
2016/03/25	69.22	71.16	66.74	69.79	1920093	239362272.00
2016/03/28	70.43	73.02	69.22	69.93	1659678	211777968.00
2016/03/29	70.63	70.99	63.66	63.88	2807106	335099808.00
2016/03/30	61.58	69.77	60.33	67.05	4324740	493733248.00
2016/03/31	65.88	67.08	64.57	64.86	2795425	331911584.00
2016/04/01	64.77	64.86	61.99	62.99	1921324	219062288.00
2016/04/05	63.66	69.22	63.66	67.55	2741095	330760032.00
2016/04/06	67.26	68.10	65.26	65.91	2038336	243705552.00
2016/04/07	66.77	71.44	66.44	66.44	3058361	378914368.00
2016/04/08	64.77	64.77	61.99	63.55	2586819	295712480.00
2016/04/11	64.77	66.06	63.63	63.77	1708666	199753840.00
2016/04/12	63.11	63.41	60.88	61.76	1686032	188386576.00
2016/04/13	61.76	66.29	61.76	64.57	2329314	271859808.00
2016/04/14	65.13	66.44	63.77	65.27	1435152	168127008.00
2016/04/15	66.44	68.62	65.28	66.06	1884790	227084752.00
2016/04/18	64.66	64.66	61.44	63.66	1399026	159940752.00
2016/04/19	64.43	64.77	62.11	63.19	1244069	142322384.00
2016/04/20	63.38	63.80	57.11	58.59	2203145	238607424.00
2016/04/21	58.38	60.02	56.44	56.62	1414603	148769872.00
2016/04/22	54.49	57.53	54.49	57.28	1453534	148087792.00
2016/04/25	56.33	57.28	54.94	55.88	1016253	102557408.00
2016/04/26	55.88	57.28	55.47	57.14	1155283	118160416.00
2016/04/27	57.48	57.54	55.95	56.02	887295	90941944.00
2016/04/28	56.37	60.33	56.04	60.33	1858168	194658368.00
2016/04/29	59.69	63.11	58.79	61.53	2160982	241888480.00
2016/05/03	62.49	65.49	61.44	65.23	1794912	209232144.00
2016/05/04	65.04	66.43	63.77	64.19	1573084	184077504.00
2016/05/05	64.11	67.88	63.77	67.25	2118268	253756192.00
2016/05/06	66.48	67.33	62.18	62.44	2191103	255094432.00
2016/05/09	61.44	61.44	57.54	57.97	1589554	170094672.00
2016/05/10	57.97	60.61	57.97	59.77	1563569	168328224.00
2016/05/11	60.42	61.33	58.14	58.27	1282235	138714272.00
2016/05/12	55.40	57.86	53.16	57.84	1465287	148071472.00
2016/05/13	57.49	58.96	55.63	56.55	1113407	114930344.00
2016/05/16	56.98	59.66	56.94	59.66	1406773	148262768.00
2016/05/17	60.33	61.99	58.29	59.78	1570107	169490448.00
2016/05/18	58.65	59.11	56.27	57.47	1160067	120854952.00
2016/05/19	57.61	60.64	57.60	59.16	1741844	187965568.00
2016/05/20	57.66	65.05	57.66	64.68	2297691	256075280.00
2016/05/23	65.05	65.60	63.59	64.77	1698664	198504880.00
2016/05/24	64.24	66.58	63.61	65.22	1618350	190357008.00
2016/05/25	66.33	70.22	64.05	65.69	2146223	261254800.00
2016/05/26	64.80	68.42	63.55	67.65	1839892	219639296.00
2016/05/27	69.29	70.10	64.89	65.24	1858724	225943872.00
2016/05/30	63.61	65.18	62.98	63.67	994204	114730112.00
2016/05/31	64.23	69.61	64.11	69.05	1797630	217501504.00
2016/06/01	68.77	70.37	68.27	69.42	1683779	210329264.00
2016/06/02	69.33	69.77	67.99	69.61	1626067	202450736.00
2016/06/03	68.77	72.11	67.16	69.22	2342769	291921824.00
2016/06/06	68.38	70.11	67.59	68.22	1373396	169736864.00
2016/06/07	68.26	73.77	67.27	72.14	1988171	252679584.00
2016/06/08	71.49	71.77	69.49	69.49	1381514	175445056.00
2016/06/13	65.44	67.41	62.53	62.53	2003235	234472560.00
2016/06/14	62.88	63.49	61.28	62.17	1268052	143090672.00
2016/06/15	61.55	64.88	60.72	63.11	2536749	289579584.00
2016/06/16	62.44	63.11	61.04	61.61	1636208	182786672.00
2016/06/17	61.27	62.99	59.61	60.77	1815629	201622272.00
2016/06/20	62.16	63.66	61.06	62.54	1544850	174496016.00
2016/06/21	62.93	63.47	59.39	60.39	1606078	179726272.00
2016/06/22	60.98	62.11	59.82	62.11	1058486	116256336.00
2016/06/23	62.10	62.83	60.33	61.49	1234242	137078288.00
2016/06/24	61.71	61.71	56.55	59.93	1697116	183666624.00
2016/06/27	59.15	64.33	59.15	63.52	1910961	214598240.00
2016/06/28	62.17	64.74	62.11	63.77	2005617	229388576.00
2016/06/29	63.86	65.44	63.23	63.88	1694438	195804080.00
2016/06/30	63.27	70.28	63.27	70.28	3648463	444719904.00
2016/07/01	70.99	71.02	68.11	68.22	2299033	287530208.00
2016/07/04	69.27	71.37	68.22	68.77	2439203	306565376.00
2016/07/05	69.33	69.33	67.86	67.88	1918226	236637248.00
2016/07/06	67.66	69.66	67.11	68.11	1140682	140984832.00
2016/07/07	69.00	69.02	66.55	66.99	1353653	164620912.00
2016/07/08	66.80	68.11	66.55	66.55	1067242	129198624.00
2016/07/11	66.37	67.08	62.11	63.07	2154576	249996416.00
2016/07/12	62.38	63.88	61.00	63.88	1333547	150874480.00
2016/07/13	63.77	66.59	63.77	65.72	1435255	170191712.00
2016/07/14	64.88	65.43	64.18	64.88	1215105	141595760.00
2016/07/15	65.44	65.44	63.80	64.34	739498	86018168.00
2016/07/18	64.11	65.03	62.67	63.41	720739	82605096.00
2016/07/19	63.42	64.83	63.42	64.67	921323	106918944.00
2016/07/20	64.69	65.62	63.83	64.88	905060	105797480.00
2016/07/21	65.43	68.21	64.72	65.05	1730469	207417632.00
2016/07/22	64.49	65.69	63.16	63.41	1120276	129830512.00
