300478 杭州高新 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/06/10	10.07	11.01	10.07	11.01	2000	41850.00
2015/06/11	12.14	12.14	12.14	12.14	1500	35265.00
2015/06/12	13.37	13.37	13.37	13.37	1500	38790.00
2015/06/15	14.74	14.74	14.74	14.74	1000	28450.00
2015/06/16	16.24	16.24	16.24	16.24	1700	53210.00
2015/06/17	17.88	17.88	17.88	17.88	5000	172150.00
2015/06/18	19.69	19.69	19.69	19.69	8400	318108.00
2015/06/19	21.69	21.69	21.69	21.69	54922	2288050.50
2015/06/23	23.88	23.88	23.88	23.88	16600	760778.00
2015/06/24	26.29	26.29	26.29	26.29	7800	393198.00
2015/06/25	28.95	28.95	28.95	28.95	12800	709760.00
2015/06/26	31.87	31.87	28.12	31.87	9391449	559720320.00
2015/06/29	28.66	30.03	28.66	28.66	1513406	83911952.00
2015/06/30	25.77	28.66	25.77	25.77	6145678	310783968.00
2015/07/01	25.03	28.37	24.45	26.52	7382493	383744320.00
2015/07/02	23.84	25.17	23.84	23.84	4327578	200053920.00
2015/07/03	21.61	23.45	21.44	21.44	3232571	135612160.00
2015/07/06	23.61	23.61	19.27	19.27	4587612	186148960.00
2015/07/07	17.92	18.17	17.32	17.32	1719539	58038984.00
2015/07/08	15.56	16.07	15.56	15.56	4291113	129819464.00
2015/07/09	15.52	17.14	15.52	17.14	1715686	54918572.00
2015/07/10	18.88	18.88	18.88	18.88	497748	18078208.00
2015/07/13	20.79	20.79	20.79	20.79	204912	8186234.50
2015/07/14	22.89	22.89	22.17	22.89	1656120	72534704.00
2015/07/15	21.87	22.87	20.58	20.58	3786402	155052288.00
2015/07/16	18.51	21.68	18.50	20.56	3560024	138990544.00
2015/07/17	20.42	22.32	20.42	21.93	3015890	124350984.00
2015/07/20	21.45	22.33	20.82	21.29	2670818	110499792.00
2015/07/21	21.16	22.92	20.67	22.57	2844447	120221672.00
2015/07/22	22.55	23.38	21.62	22.92	3236172	140244768.00
2015/07/23	23.02	25.24	22.63	25.24	3264033	150621760.00
2015/07/24	26.08	27.66	24.82	25.24	4819968	243187392.00
2015/07/27	24.27	26.39	22.69	22.69	3067844	146906592.00
2015/07/28	20.97	23.18	20.39	22.45	3587164	148862576.00
2015/07/29	22.39	24.72	21.34	24.72	3388057	150291696.00
2015/07/30	24.49	26.71	23.49	24.03	4324184	210565616.00
2015/07/31	23.45	26.24	22.92	25.56	3873959	185253856.00
2015/08/03	24.97	27.58	23.82	27.58	4613738	228694608.00
2015/08/04	27.13	28.25	24.80	26.34	4905519	247029872.00
2015/08/05	25.97	28.99	25.34	28.99	5313675	288740896.00
2015/08/06	28.87	29.94	26.50	28.41	6539435	353000608.00
2015/08/07	27.19	28.67	27.09	27.68	4097288	218884896.00
2015/08/10	27.46	28.82	26.96	28.35	4013559	215850288.00
2015/08/11	28.13	29.97	27.92	28.98	4088320	228650528.00
2015/08/12	28.38	28.86	27.47	27.47	3153952	169234176.00
2015/08/13	27.13	27.91	26.34	27.38	2022221	105307800.00
2015/08/14	27.79	28.47	27.13	27.47	2127430	113630656.00
2015/08/17	27.05	27.13	25.50	25.79	1965715	98479216.00
2015/08/18	25.55	26.67	23.19	23.19	1794877	86058728.00
2015/08/19	22.39	24.26	21.82	23.91	1553955	68994760.00
2015/08/20	23.47	23.96	22.66	22.71	1301762	58555460.00
2015/08/21	22.24	22.91	21.34	21.34	1170643	49351348.00
2015/08/24	20.75	20.75	19.18	19.18	1654720	61567892.00
2015/08/25	17.66	19.75	17.24	17.24	2122561	74112112.00
2015/08/26	17.66	18.99	17.03	18.52	3295799	117379168.00
2015/08/27	18.97	19.71	17.70	19.24	2237214	81185904.00
2015/08/28	19.66	20.54	18.91	20.34	1832804	69207192.00
2015/08/31	19.97	20.13	19.12	19.21	1230508	46574724.00
2015/09/01	19.03	19.03	17.26	17.26	1235190	42184656.00
2015/09/02	16.35	18.07	15.82	16.45	1586368	51827956.00
2015/09/07	16.92	17.82	15.87	16.35	1939522	62637184.00
2015/09/08	16.08	17.95	16.08	17.94	1797490	59521272.00
2015/09/09	17.88	19.75	17.71	19.75	3555549	131143472.00
2015/09/10	19.24	19.63	18.72	19.03	1981257	73543800.00
2015/09/11	18.64	19.55	18.64	19.34	1898371	70397200.00
2015/09/14	19.22	19.46	17.38	17.38	1453313	50966224.00
2015/09/15	16.32	16.86	15.62	15.63	1802405	56213688.00
2015/09/16	15.94	17.21	15.94	17.21	1893066	60298756.00
2015/09/17	17.21	18.27	16.54	17.13	1926202	64533676.00
2015/09/18	17.13	17.55	16.17	17.38	1167938	38632228.00
2015/09/21	17.18	18.50	16.71	18.43	1620824	55966212.00
2015/09/22	18.50	18.82	18.14	18.43	1625953	57918100.00
2015/09/23	17.93	19.18	17.87	18.65	2248255	81044280.00
2015/09/24	18.61	19.28	18.47	18.69	1600715	57958404.00
2015/09/25	18.76	18.97	17.15	17.52	1501559	52201676.00
2015/09/28	17.63	18.60	17.41	18.32	1296127	45006224.00
