300481 濮阳惠成 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/06/30	3.54	3.90	3.54	3.90	9900	129640.00
2015/07/01	4.34	4.34	4.34	4.34	2300	33281.00
2015/07/02	4.82	4.82	4.82	4.82	8200	130544.00
2015/07/03	5.35	5.35	5.35	5.35	54700	957797.00
2015/07/06	5.94	5.94	5.94	5.94	67280	1295812.75
2015/07/07	6.58	6.58	6.41	6.58	5640329	119398560.00
2015/07/08	5.87	7.29	5.87	7.02	13515948	282529536.00
2015/07/09	6.65	7.77	6.65	7.77	3869999	91185616.00
2015/07/10	8.60	8.60	8.60	8.60	159950	4357038.00
2015/07/13	9.50	9.50	9.50	9.50	92788	2779928.50
2015/07/14	10.50	10.50	10.50	10.50	924898	30484638.00
2015/07/15	11.60	11.60	9.61	10.58	13567193	468851968.00
2015/07/16	9.48	11.02	9.48	9.62	9096473	285237888.00
2015/07/17	9.79	10.52	9.13	10.07	7908741	244498448.00
2015/07/20	10.08	10.47	9.48	9.78	5806965	182711184.00
2015/07/21	10.15	10.81	9.68	10.81	4762792	156751408.00
2015/07/22	11.47	11.90	10.83	11.25	8486677	300269600.00
2015/07/23	10.99	12.42	10.99	12.42	5797324	211954816.00
2015/07/24	13.55	13.71	12.69	13.18	10129534	423227360.00
2015/07/27	12.02	13.80	11.82	11.82	8947011	354673760.00
2015/07/28	11.08	12.73	10.59	11.45	6935280	245044928.00
2015/07/29	11.95	12.65	11.12	12.65	6690776	249128400.00
2015/07/30	12.68	13.96	12.19	13.23	10193495	429131936.00
2015/07/31	13.29	14.60	13.28	14.60	10755620	473231680.00
2015/08/03	14.18	16.11	13.58	16.11	10950906	505595200.00
2015/08/04	16.11	17.52	14.45	14.45	10672291	500905920.00
2015/08/05	13.35	15.64	13.09	14.77	8148560	366351968.00
2015/08/06	14.08	14.52	13.24	13.24	6212408	262698800.00
2015/08/07	13.08	13.54	12.82	13.24	4499440	185401296.00
2015/08/10	13.27	14.35	13.25	13.85	4861348	209733072.00
2015/08/11	13.91	14.69	13.69	14.35	4732344	209825408.00
2015/08/12	14.26	14.33	13.50	13.72	4077319	176679936.00
2015/08/13	13.58	14.20	13.52	13.93	2832803	122036264.00
2015/08/14	14.15	14.15	13.59	13.78	2909063	124893016.00
2015/08/17	13.58	13.75	12.39	12.45	3773905	150561552.00
2015/08/18	12.24	13.27	11.28	11.65	3568618	139834128.00
2015/08/19	11.64	12.18	10.64	11.94	3929237	141196624.00
2015/08/20	11.68	11.85	11.12	11.12	2442032	87492520.00
2015/08/21	10.76	11.38	10.52	10.54	2523622	87086048.00
2015/08/24	9.72	10.45	9.43	9.43	1670890	50569068.00
2015/08/25	8.45	10.01	8.44	8.45	4598256	130327176.00
2015/08/26	8.68	9.34	8.40	9.15	5384182	153562560.00
2015/08/27	9.41	9.68	8.91	9.52	5000261	147587408.00
2015/08/28	9.58	10.34	9.31	10.32	3508380	107192128.00
2015/08/31	10.05	10.11	9.52	9.52	2457725	75713208.00
2015/09/01	9.22	9.38	8.52	8.52	2307776	64656600.00
2015/09/02	7.95	9.12	7.95	8.24	2724976	74043840.00
2015/09/07	8.52	8.93	8.34	8.57	1983049	54358716.00
2015/09/08	8.58	9.48	8.48	9.48	5122376	151519040.00
2015/09/09	10.05	10.47	9.78	10.13	7155899	229336064.00
2015/09/10	9.61	10.01	9.61	9.68	3845952	118508600.00
2015/09/11	9.62	9.98	9.62	9.91	3156409	97720848.00
2015/09/14	9.83	9.89	8.87	8.87	2785100	81874528.00
2015/09/15	8.47	8.81	7.93	8.04	2980093	78542104.00
2015/09/16	8.18	8.89	8.18	8.89	3299482	89859736.00
2015/09/17	9.00	9.62	8.85	8.98	4316773	126007984.00
2015/09/18	9.18	9.28	8.52	9.13	3104691	88392216.00
2015/09/21	8.95	9.84	8.95	9.80	4069050	121162488.00
2015/09/22	9.85	10.02	9.54	9.74	3917848	120814648.00
2015/09/23	9.53	10.22	9.48	9.93	3648427	113759216.00
2015/09/24	10.02	10.37	9.79	10.00	3475101	110287936.00
2015/09/25	9.98	10.10	9.07	9.26	2929105	88046488.00
2015/09/28	9.35	9.82	9.19	9.81	2073993	62745292.00
