300485 赛升药业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/06/26	12.36	13.51	12.36	13.51	18100	1001917.00
2015/06/29	14.90	14.90	14.90	14.90	28000	1705760.00
2015/06/30	16.42	16.42	16.42	16.42	28600	1916486.00
2015/07/01	18.09	18.09	18.09	18.09	14417	1062677.13
2015/07/02	19.94	19.94	19.94	19.94	169950	13779546.00
2015/07/03	21.96	21.96	21.96	21.96	2826429	252089200.00
2015/07/06	24.19	24.19	19.94	20.79	15101049	1354868992.00
2015/07/07	19.67	19.92	18.68	18.68	5100760	392883936.00
2015/07/08	16.78	18.79	16.78	16.78	10444537	726546752.00
2015/07/09	16.92	18.49	16.92	18.49	5618429	413572256.00
2015/07/10	20.37	20.37	20.37	20.37	407375	33742872.00
2015/07/13	22.44	22.44	22.44	22.44	423445	38580072.00
2015/07/14	24.71	24.72	23.22	24.72	10116414	1005972480.00
2015/07/15	23.92	24.94	22.22	22.22	8436463	801805376.00
2015/07/16	19.96	23.26	19.96	21.66	8227382	710219200.00
2015/07/17	21.92	23.66	21.62	23.18	6122058	564489472.00
2015/07/20	22.91	23.89	22.05	22.65	6343168	588600320.00
2015/07/21	22.17	24.09	21.73	23.62	5429696	510631168.00
2015/07/22	23.67	26.01	23.44	26.01	8197313	844902592.00
2015/07/23	26.67	28.65	25.94	28.65	6582237	727484992.00
2015/07/24	29.42	31.12	27.67	28.17	9903855	1187618432.00
2015/07/27	26.92	30.39	25.32	25.32	7288811	823699776.00
2015/07/28	23.67	27.42	22.81	25.89	8783029	877889280.00
2015/07/29	26.42	27.79	23.77	27.64	7345499	765299392.00
2015/07/30	26.89	28.59	25.78	25.80	7213930	794851456.00
2015/07/31	24.67	27.17	24.29	25.28	5735590	591340992.00
2015/08/03	25.04	26.52	24.25	25.67	5133921	528816736.00
2015/08/04	25.69	27.11	24.54	27.09	6722679	704742016.00
2015/08/05	26.67	27.66	25.96	26.39	5379197	581635200.00
2015/08/06	25.58	26.42	24.79	24.87	3998509	413546464.00
2015/08/07	24.97	25.85	24.83	25.64	3523484	363242432.00
2015/08/10	25.45	27.40	25.44	26.93	4860358	523546784.00
2015/08/11	26.92	27.84	26.31	26.54	4831892	527600352.00
2015/08/12	26.18	29.23	26.17	28.39	7614172	868507136.00
2015/08/13	28.41	28.71	26.87	27.89	5823044	652643136.00
2015/08/14	28.16	28.49	27.20	27.36	3525819	398210208.00
2015/08/17	27.11	27.67	25.32	25.59	4134393	437046240.00
2015/08/18	25.59	26.13	23.00	23.00	4546236	453135648.00
2015/08/19	22.54	23.79	21.31	23.29	3952451	363398752.00
2015/08/20	22.82	23.15	22.07	22.09	2741559	251383344.00
2015/08/21	21.79	21.99	20.99	21.04	2681711	233495440.00
2015/08/24	19.88	20.29	18.90	18.90	3452920	270036640.00
2015/08/25	17.67	19.87	17.17	17.72	4464104	334898784.00
2015/08/26	18.12	19.52	17.72	18.77	5342391	407902560.00
2015/08/27	18.92	19.40	17.80	19.04	4466481	340978976.00
2015/08/28	19.14	20.29	18.72	19.97	4092891	320631808.00
2015/08/31	19.64	19.64	18.04	18.04	3020053	232751968.00
2015/09/01	17.59	17.87	16.72	16.84	2875670	201894848.00
2015/09/02	16.30	18.23	16.06	17.12	3376139	237864368.00
2015/09/07	17.59	18.54	17.55	17.81	2446270	179037168.00
2015/09/08	17.68	19.51	17.67	19.42	2926269	220367360.00
2015/09/09	19.42	20.41	19.19	19.67	4098440	329285248.00
2015/09/10	19.17	19.63	18.82	18.97	2076256	162904016.00
2015/09/11	18.92	19.66	18.92	19.46	2054733	161583568.00
2015/09/14	19.42	19.49	17.48	17.48	2745111	203830976.00
2015/09/15	17.29	17.86	16.82	17.08	1920259	135452048.00
2015/09/16	17.31	18.82	17.31	18.79	2800030	204214112.00
2015/09/17	18.54	19.22	18.07	18.12	2945957	223515696.00
2015/09/18	18.29	18.34	17.75	18.17	1656023	121980728.00
2015/09/21	17.89	19.66	17.67	19.57	3577277	275788960.00
2015/09/22	19.54	19.89	19.17	19.48	2842383	225532384.00
2015/09/23	19.12	19.81	18.98	19.37	2366274	187247488.00
2015/09/24	19.47	19.87	19.17	19.44	2266912	180320208.00
2015/09/25	19.29	19.37	17.98	18.10	2818674	213088528.00
2015/09/28	18.16	19.04	17.92	18.95	1992995	150754368.00
2015/09/29	18.50	18.80	18.26	18.49	1722537	129871720.00
2015/09/30	18.56	18.71	18.33	18.44	1372727	103503456.00
2015/10/08	19.29	19.66	19.04	19.36	2923605	230141024.00
2015/10/09	19.31	19.64	19.19	19.55	2231723	176517792.00
2015/10/12	19.91	20.89	19.69	20.67	3132216	260102480.00
2015/10/13	20.41	20.78	20.32	20.72	2016864	169045440.00
2015/10/14	20.60	21.41	20.49	20.55	2676042	226839840.00
2015/10/15	20.60	21.49	20.43	21.47	2860218	246218256.00
2015/10/16	21.53	21.61	20.97	21.28	2758185	237958432.00
2015/10/19	21.22	21.22	20.46	20.73	2796078	236377088.00
2015/10/20	20.63	21.12	20.63	21.10	2214488	188341056.00
2015/10/21	21.16	21.90	19.89	20.04	3843035	328456448.00
2015/10/22	20.07	21.66	20.06	21.47	3280217	277307456.00
2015/10/23	21.25	22.29	21.25	22.15	4205951	373344544.00
2015/10/26	22.45	22.54	21.71	21.93	3141341	281973856.00
2015/10/27	21.79	24.11	21.13	23.59	4321939	397222688.00
2015/10/28	23.19	23.40	22.42	22.46	2873657	268190992.00
2015/10/29	22.67	23.04	22.24	22.79	2423311	222705856.00
2015/10/30	22.83	23.31	22.18	22.92	2014043	187294544.00
2015/11/02	22.42	25.19	22.25	23.82	4301313	418711872.00
2015/11/03	24.04	25.69	23.82	25.39	4210910	425763872.00
2015/11/04	25.37	26.41	24.92	26.15	4283480	444313184.00
2015/11/05	25.88	27.11	25.49	25.72	3438428	364024736.00
2015/11/06	25.61	27.66	25.54	27.54	3325882	361457056.00
2015/11/09	27.42	30.33	27.17	30.09	5284605	624262784.00
2015/11/10	29.67	30.98	29.04	30.32	4001756	485297408.00
2015/11/11	30.17	33.12	29.92	32.67	4391876	566197312.00
2015/11/12	32.82	33.79	31.84	33.08	4645128	616009984.00
2015/11/13	32.17	32.52	29.74	29.74	5943283	742886592.00
2015/11/16	28.46	30.36	28.22	30.09	3188269	380266688.00
2015/11/17	31.01	31.29	28.80	29.04	3211749	394141152.00
2015/11/18	29.08	29.33	27.64	27.72	3232191	370643008.00
2015/11/19	28.17	30.52	27.92	30.52	3874793	461446016.00
2015/11/20	31.67	33.61	30.83	33.54	4928022	644235584.00
2015/11/23	33.17	36.17	32.17	32.92	5384352	746458944.00
2015/11/24	32.72	36.24	32.49	36.24	6049156	863785344.00
2015/11/25	36.87	36.92	35.29	36.24	5320833	774443456.00
2015/11/26	35.87	38.14	35.32	36.17	4122582	610420160.00
2015/11/27	35.42	37.58	34.16	36.42	4675406	675059200.00
2015/11/30	36.42	40.09	35.78	40.09	5374528	834677184.00
2015/12/01	39.67	41.42	36.67	39.29	5400188	857875712.00
2015/12/02	38.42	42.59	36.17	41.17	5168811	819739136.00
2015/12/03	42.00	43.56	39.91	42.09	3844279	649832128.00
2015/12/04	41.42	42.79	40.29	41.05	4020249	671694656.00
2015/12/07	41.00	41.14	39.34	39.84	3195298	516017888.00
2015/12/08	39.60	41.39	39.42	40.22	3011349	492972256.00
2015/12/09	39.67	40.31	37.54	38.02	3992313	619855104.00
2015/12/10	38.04	39.17	37.22	38.14	2380993	367220928.00
2015/12/11	38.04	39.13	37.67	38.15	1713059	266041232.00
2015/12/14	37.67	42.00	37.42	42.00	3395126	543603968.00
2015/12/15	41.42	42.22	41.28	41.62	2467248	414550912.00
2015/12/16	41.87	43.87	41.44	41.63	3081525	531147904.00
2015/12/17	42.16	43.42	41.92	42.92	2655680	456244224.00
2015/12/18	42.66	42.66	40.64	40.67	2880565	481029120.00
2015/12/21	40.16	41.08	39.67	40.33	1996726	325033856.00
2015/12/22	40.39	42.04	40.39	41.68	2107519	349625984.00
2015/12/23	41.74	43.17	41.17	41.33	2929167	498570912.00
2015/12/24	41.17	42.92	41.17	42.49	2382851	403836032.00
2015/12/25	42.30	42.67	39.67	40.15	3057205	505447968.00
2015/12/28	39.67	40.09	38.17	38.17	3102359	486917984.00
2015/12/29	38.17	39.17	38.05	38.77	1716330	267180352.00
2015/12/30	38.92	39.07	37.17	37.67	2192884	334770752.00
2015/12/31	37.67	38.07	35.23	36.39	2483434	364208224.00
2016/01/04	35.67	36.17	32.72	32.72	1788366	250370704.00
2016/01/05	31.18	34.30	31.18	34.14	3193199	428764832.00
2016/01/06	34.22	34.79	33.41	34.62	2330963	322541664.00
2016/01/07	33.79	33.85	31.13	31.14	723950	94523792.00
2016/01/08	32.42	32.90	29.29	31.75	2382153	305005856.00
2016/01/11	30.42	31.41	28.57	28.61	2332727	282235072.00
2016/01/12	28.69	30.67	28.67	29.87	2504470	301059040.00
2016/01/13	29.83	30.41	28.67	28.84	2211575	263474096.00
2016/01/14	27.67	31.04	27.17	30.69	2714117	326356096.00
2016/01/15	30.52	31.05	29.19	29.64	2210663	269842720.00
2016/01/18	29.09	31.06	29.09	30.49	1949203	239606832.00
2016/01/19	30.42	31.66	30.04	31.34	2403731	299799968.00
2016/01/20	30.87	31.49	30.59	30.61	1788586	223787408.00
2016/01/21	30.12	31.29	28.92	28.92	1828235	224210480.00
2016/01/22	29.56	30.16	28.69	29.97	1576476	187839216.00
2016/01/25	30.29	30.62	29.99	30.42	1143921	140557088.00
2016/01/26	30.10	30.27	27.46	27.52	1702532	199932272.00
2016/01/27	27.23	28.17	25.39	27.37	1853020	200541328.00
2016/01/28	26.92	26.92	24.60	24.60	1553107	161940112.00
2016/01/29	24.66	26.29	23.67	25.58	2210132	224348320.00
2016/02/01	25.14	25.67	23.97	24.54	1634953	165391744.00
2016/02/02	24.67	26.29	24.67	25.97	1873637	194714512.00
2016/02/03	25.42	26.01	25.12	25.84	1202148	124218592.00
