300486 东杰智能 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/06/30	11.67	12.74	11.67	12.74	13200	169349.00
2015/07/01	14.03	14.03	14.03	14.03	2500	35400.00
2015/07/02	15.45	15.45	15.45	15.45	6100	95038.00
2015/07/03	17.01	17.01	17.01	17.01	46500	797010.00
2015/07/06	18.72	18.72	18.72	18.72	108892	2052614.25
2015/07/07	20.61	20.61	19.13	19.17	17980122	364288448.00
2015/07/08	17.24	21.10	17.24	20.27	20362722	396912160.00
2015/07/09	19.86	22.31	19.07	22.31	8728515	188300992.00
2015/07/10	24.55	24.55	24.55	24.55	317600	7838368.00
2015/07/13	27.02	27.02	27.02	27.02	81176	2203928.50
2015/07/14	29.74	29.74	29.74	29.74	98202	2933293.75
2015/07/15	32.73	32.73	29.91	32.69	21545155	694304832.00
2015/07/16	29.41	34.07	29.41	29.47	17483577	541372864.00
2015/07/17	28.48	32.26	27.24	31.06	13999164	417141664.00
2015/07/20	30.87	31.84	28.75	29.99	10629321	325080512.00
2015/07/21	28.37	33.00	28.18	33.00	13885761	440004448.00
2015/07/22	32.76	33.85	30.80	32.44	12356913	399768896.00
2015/07/23	31.87	35.70	31.87	35.70	8726068	297637024.00
2015/07/24	39.28	39.28	37.87	39.28	16597528	651327040.00
2015/07/27	36.87	43.22	36.55	37.55	19510991	797759744.00
2015/07/28	33.80	41.27	33.78	40.34	15810348	587699584.00
2015/07/29	41.19	44.39	38.65	44.39	14120159	584963776.00
2015/07/30	46.75	48.84	45.67	46.57	17467208	839191616.00
2015/07/31	44.87	51.24	43.87	51.24	15258958	747692928.00
2015/08/03	52.87	56.38	51.37	56.38	14222506	768805120.00
2015/08/04	53.87	58.97	50.73	50.73	17252926	914527488.00
2015/08/05	46.64	54.24	45.64	50.72	15234298	761924928.00
2015/08/06	47.87	48.87	45.64	45.64	10763926	502227296.00
2015/08/07	44.84	46.31	42.07	43.47	10637309	471578720.00
2015/08/10	43.85	47.67	43.82	45.72	10315288	474987136.00
2015/08/11	45.75	48.37	45.72	46.70	9677927	456997856.00
2015/08/12	44.92	47.86	43.67	44.53	8191419	372177312.00
2015/08/13	44.49	46.17	43.98	45.58	6215801	282465408.00
2015/08/14	45.67	46.25	44.47	45.07	6070476	275478208.00
2015/08/17	44.65	44.84	40.55	40.55	7416505	308375552.00
2015/08/18	39.45	42.37	36.83	36.85	6992514	281912320.00
2015/08/19	35.58	38.34	33.42	37.68	7435441	269161248.00
2015/08/20	36.57	37.05	34.02	34.03	4611318	165519296.00
2015/08/21	33.97	35.37	32.87	33.25	5420587	186858304.00
2015/08/24	30.47	31.53	29.91	29.91	2893365	87724112.00
2015/08/25	26.91	31.87	26.91	26.91	8073519	230361520.00
2015/08/26	27.17	29.61	26.92	29.17	11213394	323341248.00
2015/08/27	29.86	31.57	27.29	30.37	10051132	297716768.00
2015/08/28	29.88	32.27	28.87	31.69	9361641	286433536.00
2015/08/31	30.98	30.98	28.51	28.51	5553034	165684576.00
2015/09/01	27.12	27.67	25.65	25.65	4571153	120225936.00
2015/09/02	23.48	26.97	23.08	23.08	5599702	139788720.00
2015/09/07	24.27	25.35	23.37	23.91	4914666	120766816.00
2015/09/08	23.87	26.31	23.55	26.31	3898098	101088640.00
2015/09/09	28.95	28.95	28.95	28.95	682735	19853934.00
2015/09/10	29.37	31.86	29.18	31.86	15085751	473667808.00
2015/09/11	30.67	34.89	29.88	32.77	13930617	446153824.00
2015/09/14	31.77	33.07	29.48	29.48	8927576	280029728.00
2015/09/15	27.28	30.29	26.67	28.48	9087613	256953824.00
2015/09/16	28.97	31.34	28.97	31.34	11403838	354010720.00
2015/09/17	32.87	33.67	30.67	30.74	13635118	446376896.00
2015/09/18	30.88	32.16	30.78	31.72	7335717	231463200.00
2015/09/21	30.87	34.91	30.47	34.91	7119241	238859616.00
2015/09/22	37.35	38.13	35.37	35.49	13250406	486603744.00
2015/09/23	33.97	38.37	33.94	36.30	10479813	381294208.00
2015/09/24	36.07	38.87	36.07	37.51	9391867	353573248.00
2015/09/25	36.86	37.36	33.75	33.75	8262515	291609792.00
2015/09/28	33.92	36.72	33.88	36.42	6460580	228476112.00
2015/09/29	35.14	37.57	35.07	36.57	7649366	281493376.00
2015/09/30	36.87	37.22	34.01	35.05	5407971	192109152.00
2015/10/08	36.37	38.24	35.76	37.39	6371824	236792448.00
2015/10/09	37.17	39.37	36.49	37.43	8318251	317322592.00
2015/10/12	37.89	40.86	37.57	39.70	8865423	348609952.00
2015/10/13	38.92	39.82	38.36	38.95	6604914	258742368.00
2015/10/14	39.00	40.60	38.65	38.69	7208201	285795360.00
2015/10/15	37.98	39.65	37.54	39.60	6485691	253419216.00
2015/10/16	41.27	41.65	38.87	39.83	7820156	315439104.00
2015/10/19	39.75	41.21	37.90	39.43	7749619	307225952.00
2015/10/20	39.03	40.46	38.87	40.04	6764411	270725568.00
2015/10/21	39.77	39.86	36.02	36.02	8611542	326873824.00
2015/10/22	35.89	37.03	34.73	36.85	5805225	210763056.00
2015/10/23	36.86	38.16	36.53	37.83	5576026	209002032.00
2015/10/26	38.36	40.55	37.57	39.56	6337254	249664240.00
2015/10/27	38.87	38.87	35.86	38.67	7522449	283167520.00
2015/10/28	37.94	39.76	37.89	38.08	5706485	220672768.00
2015/10/29	38.87	39.07	37.37	38.12	3791798	145603968.00
2015/10/30	37.88	38.55	36.75	37.30	4010535	151377200.00
