300487 蓝晓科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/07/02	6.88	8.30	6.88	8.30	11100	234100.00
2015/07/03	9.16	9.16	9.16	9.16	15100	354850.00
2015/07/06	10.10	10.10	10.10	10.10	32700	845295.00
2015/07/07	11.14	11.14	11.14	11.14	160500	4564620.00
2015/07/08	12.27	12.27	10.00	12.27	13142031	380847328.00
2015/07/09	11.36	13.52	11.36	13.52	6331137	208424032.00
2015/07/10	14.90	14.90	14.90	14.90	67410	2551468.50
2015/07/13	16.42	16.42	16.42	16.42	39001	1624001.63
2015/07/14	18.08	18.08	17.76	18.08	2530371	115852248.00
2015/07/15	19.51	19.91	18.64	19.91	11565847	572140480.00
2015/07/16	17.90	21.68	17.90	18.16	9242545	447111680.00
2015/07/17	18.16	19.76	16.76	19.36	8339048	387115584.00
2015/07/20	18.56	19.36	17.96	18.70	6578817	311817184.00
2015/07/21	18.16	20.60	17.78	20.60	8332437	422238848.00
2015/07/22	20.56	21.58	19.37	20.86	7930457	406313472.00
2015/07/23	20.52	22.98	20.16	22.98	5736807	317863488.00
2015/07/24	24.56	25.30	23.57	24.42	10241041	642056576.00
2015/07/27	22.76	25.16	21.95	21.95	7136543	423770528.00
2015/07/28	19.75	23.35	19.73	20.50	6209576	325340384.00
2015/07/29	21.24	22.57	18.92	22.57	6338285	334716864.00
2015/07/30	21.96	24.55	21.72	21.96	7366662	432289088.00
2015/07/31	20.84	23.76	20.84	22.90	6515491	368873600.00
2015/08/03	22.44	25.22	22.17	25.22	7834838	474364896.00
2015/08/04	26.16	27.77	22.68	23.76	10065229	638777856.00
2015/08/05	22.56	25.88	21.86	24.71	7246829	441214368.00
2015/08/06	23.96	25.11	22.22	22.56	6428611	376055200.00
2015/08/07	22.76	23.11	21.88	22.56	4206702	239739456.00
2015/08/10	22.58	24.08	22.57	23.56	4417198	261968576.00
2015/08/11	23.36	25.56	23.36	24.96	5366979	333245440.00
2015/08/12	24.94	25.76	23.48	24.22	5730747	355106848.00
2015/08/13	23.77	24.62	23.16	23.92	3503241	210524224.00
2015/08/14	24.35	24.55	23.28	23.36	2712150	161705008.00
2015/08/17	23.14	23.52	21.36	21.62	2960270	164951312.00
2015/08/18	21.00	22.48	19.44	19.44	2780423	147417296.00
2015/08/19	19.07	19.85	17.59	19.69	3625780	172239744.00
2015/08/20	19.12	19.34	18.04	18.09	1970738	93806264.00
2015/08/21	17.54	18.10	16.90	16.92	1771924	78463280.00
2015/08/24	16.16	16.16	15.20	15.20	1868792	72931736.00
2015/08/25	13.68	16.12	13.68	13.88	3901400	145416608.00
2015/08/26	14.43	15.29	13.96	15.12	5429689	205471680.00
2015/08/27	15.56	15.94	14.37	15.61	4658049	179294336.00
2015/08/28	15.28	16.76	14.98	16.26	4006172	159738192.00
2015/08/31	15.76	15.83	14.61	14.61	2492791	96824408.00
2015/09/01	14.23	14.51	13.13	13.13	2312245	80726992.00
2015/09/02	12.56	14.16	12.38	13.10	2632679	89759784.00
2015/09/07	13.54	14.28	13.36	13.66	2112944	74227208.00
2015/09/08	13.58	15.05	13.48	15.05	4319479	161657584.00
2015/09/09	15.40	16.16	15.27	15.93	4759382	190087088.00
2015/09/10	15.36	15.72	15.05	15.05	2368744	92565432.00
2015/09/11	15.05	15.75	14.99	15.48	2075921	80957616.00
2015/09/14	15.38	15.56	13.91	13.91	2051449	75940304.00
2015/09/15	13.16	13.72	12.52	12.57	2106435	70209408.00
2015/09/16	12.97	13.85	12.72	13.85	3063223	105846816.00
2015/09/17	14.16	14.66	13.76	13.76	3277646	118840896.00
2015/09/18	13.96	14.64	13.76	14.51	2476337	89716824.00
2015/09/21	14.39	15.68	13.96	15.54	3005007	115075768.00
2015/09/22	15.76	15.94	14.96	15.42	3606018	141849376.00
2015/09/23	15.12	16.28	15.04	15.74	3549298	142261440.00
2015/09/24	15.74	16.31	15.36	15.67	2862916	115047176.00
2015/09/25	15.36	15.54	14.51	14.72	2259900	86104688.00
2015/09/28	14.94	15.74	14.74	15.72	2086348	81494936.00
2015/09/29	15.40	15.54	15.04	15.20	1717550	66704540.00
2015/09/30	15.19	15.42	14.80	15.22	1411346	54506720.00
2015/10/08	15.96	16.77	15.64	16.77	3073355	126326888.00
2015/10/09	16.76	17.40	16.56	16.94	2664883	114869472.00
2015/10/12	16.92	17.98	16.84	17.54	2956322	130875200.00
2015/10/13	17.17	17.45	17.04	17.32	2162675	94741880.00
2015/10/14	17.28	17.95	17.16	17.20	2188012	96925232.00
2015/10/15	17.23	17.84	16.60	17.76	2489770	110461424.00
2015/10/16	17.92	18.11	17.36	17.80	2378095	106881568.00
2015/10/19	17.96	18.55	17.63	17.97	2564348	116984168.00
2015/10/20	17.84	18.34	17.69	18.17	2400083	109538888.00
2015/10/21	18.24	19.12	16.51	16.99	3736358	170232512.00
2015/10/22	16.96	17.72	16.60	17.67	2203881	96724576.00
2015/10/23	17.83	18.32	17.52	18.32	2096289	95427248.00
2015/10/26	18.48	19.07	18.34	18.74	2622629	123791464.00
2015/10/27	18.56	18.79	17.36	18.53	2381813	109764880.00
2015/10/28	18.52	18.70	18.09	18.16	2153555	100405184.00
2015/10/29	18.44	18.60	18.10	18.42	1727516	80384088.00
2015/10/30	18.40	19.30	17.96	18.76	2433845	115105376.00
2015/11/02	18.26	20.56	18.17	19.53	3539698	175410800.00
2015/11/03	19.60	20.77	19.53	20.56	3293409	168549808.00
2015/11/04	20.56	21.54	20.28	21.30	3737538	197377856.00
2015/11/05	21.14	22.32	20.83	21.20	3495696	189219568.00
2015/11/06	21.20	22.89	21.20	22.40	3411804	192134976.00
2015/11/09	22.56	24.67	22.28	24.67	4312576	255081296.00
2015/11/10	24.42	26.75	23.96	25.98	4647769	292247968.00
2015/11/11	25.76	28.60	25.57	28.60	3968654	279141376.00
2015/11/12	30.04	30.96	28.50	29.48	5429146	405275744.00
2015/11/13	28.69	28.69	26.51	26.51	5397647	370163904.00
2015/11/16	25.36	27.28	24.97	26.92	2950674	196125456.00
2015/11/17	26.77	27.76	25.36	25.85	3365847	228707584.00
2015/11/18	25.54	26.04	24.16	24.36	2873940	179899648.00
2015/11/19	24.67	26.54	24.40	26.45	2816018	179365920.00
2015/11/20	26.27	27.36	25.76	26.52	2703461	180941680.00
2015/11/23	25.84	26.36	24.56	24.95	2520363	162322208.00
2015/11/24	25.12	27.47	24.88	27.47	5394474	355736544.00
2015/11/25	26.96	27.37	26.53	27.28	4114299	280518336.00
2015/11/26	27.08	28.15	26.16	26.31	3757549	257238464.00
2015/11/27	25.76	26.96	25.36	25.81	3302399	218689680.00
2015/11/30	26.12	28.42	25.82	28.42	5072784	351953472.00
2015/12/01	29.56	30.56	25.92	27.30	6702732	488096960.00
2015/12/02	26.40	26.74	24.55	25.84	3479718	224785200.00
2015/12/03	25.76	27.49	25.76	27.08	2813113	190235952.00
2015/12/04	26.96	28.39	26.67	27.75	3302796	230112480.00
2015/12/07	27.75	27.96	26.72	27.16	2054138	140963616.00
2015/12/08	27.17	29.90	27.17	29.90	3990175	290410432.00
2015/12/09	29.88	29.88	27.23	27.55	4834171	343960384.00
2015/12/10	26.98	27.32	26.16	26.42	2860093	192327808.00
2015/12/11	26.56	27.28	25.95	26.10	2053390	138665440.00
2015/12/14	25.16	27.18	24.97	26.72	2135460	138519968.00
2015/12/15	26.62	27.08	26.29	26.42	1469281	98789672.00
2015/12/16	26.56	27.75	26.52	26.88	1947436	133857864.00
2015/12/17	27.00	28.48	27.00	28.16	2740566	191984784.00
2015/12/18	28.16	28.83	27.43	27.60	2181040	154161808.00
2015/12/21	27.28	29.15	27.28	28.80	2901478	207287792.00
2015/12/22	28.95	29.28	27.88	29.00	2569691	185644224.00
2015/12/23	29.20	31.29	28.52	29.56	4103190	308877344.00
2015/12/24	28.96	32.54	28.92	32.54	4810357	375897952.00
2015/12/25	32.36	32.97	30.08	30.70	4872432	389187648.00
2015/12/28	30.96	31.24	28.16	28.16	3624137	271332640.00
