300495 美尚生态 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/12/22	5.36	5.92	5.36	5.92	8600	393624.00
2015/12/23	6.53	6.53	6.53	6.53	2600	131040.00
2015/12/24	7.20	7.20	7.20	7.20	3300	182952.00
2015/12/25	7.94	7.94	7.94	7.94	1200	73176.00
2015/12/28	8.76	8.76	8.76	8.76	6258	419786.63
2015/12/29	9.65	9.65	9.65	9.65	7400	546046.00
2015/12/30	10.63	10.63	10.63	10.63	7400	600658.00
2015/12/31	11.72	11.72	11.72	11.72	22050	1968844.50
2016/01/04	12.91	12.91	12.91	12.91	52550	5161461.00
2016/01/05	14.22	14.22	14.22	14.22	107925	11660217.00
2016/01/06	15.66	15.66	15.66	15.66	27750	3297810.00
2016/01/07	17.24	17.24	17.24	17.24	114850	15013192.00
2016/01/08	18.98	18.98	18.98	18.98	1425090	204913696.00
2016/01/11	20.21	20.21	17.41	17.57	9943117	1434763008.00
2016/01/12	16.35	16.75	15.80	15.80	4577246	552178240.00
2016/01/13	15.15	15.47	14.20	14.20	5789186	641353856.00
2016/01/14	13.43	14.61	13.29	14.43	4038853	434843872.00
2016/01/15	14.21	14.43	12.97	12.97	4244901	437955200.00
2016/01/18	12.21	13.52	12.10	12.90	3633702	353506944.00
2016/01/19	12.80	13.69	12.77	13.60	3456963	351130784.00
2016/01/20	13.51	13.65	12.69	12.90	3181505	319313920.00
2016/01/21	12.48	13.09	11.87	11.88	3040823	290304704.00
2016/01/22	12.08	12.61	11.77	12.36	3058331	285282528.00
2016/01/25	12.51	12.59	12.10	12.49	2450914	231235072.00
2016/01/26	12.25	12.33	11.22	11.22	3105223	277710240.00
2016/01/27	11.36	12.36	11.15	12.36	3938873	354644064.00
2016/01/28	12.36	12.44	11.13	11.36	3585408	324467264.00
2016/01/29	11.41	12.51	11.36	12.51	4158393	389656192.00
2016/02/01	12.48	13.28	12.23	13.06	4893817	476777248.00
2016/02/02	12.75	13.41	12.62	13.26	3753503	374428672.00
2016/02/03	12.88	13.28	12.75	13.15	2461308	243213312.00
2016/02/04	13.16	13.89	13.04	13.49	3153950	324888960.00
2016/02/05	13.49	13.60	12.75	12.77	2512827	249954880.00
2016/02/15	11.95	12.79	11.95	12.60	1898078	177486144.00
2016/02/16	12.70	13.59	12.64	13.28	2277315	229349504.00
2016/02/17	13.28	13.92	13.11	13.70	2594038	267756752.00
2016/02/18	13.65	14.60	13.41	14.11	3260279	344997024.00
2016/02/19	13.90	15.01	13.90	14.40	2917014	321095936.00
2016/02/22	14.68	14.80	14.15	14.48	2440674	267312784.00
2016/02/23	14.61	14.93	14.21	14.81	2289587	254633840.00
2016/02/24	14.61	14.68	13.41	13.78	2978467	314461888.00
2016/02/25	13.68	13.68	12.39	12.39	2299994	227527200.00
2016/02/26	12.61	12.78	11.79	12.06	2240835	210174352.00
2016/02/29	11.84	11.89	10.84	10.84	2632759	219888912.00
2016/03/01	10.87	11.28	10.33	11.04	2163750	179198112.00
2016/03/02	10.98	11.80	10.88	11.69	2227395	192734656.00
2016/03/03	11.59	12.20	11.47	11.51	2426877	218505984.00
2016/03/04	12.68	12.68	12.68	12.68	760775	73399568.00
2016/03/07	12.68	13.55	12.42	13.13	3684551	365954528.00
2016/03/08	12.88	12.95	11.81	12.75	3085715	291277312.00
2016/03/09	13.12	14.03	12.88	13.15	3687442	376960480.00
2016/03/10	12.75	13.20	12.64	12.72	2362630	232042208.00
2016/03/11	12.41	13.01	12.35	12.87	1953039	188871920.00
