300498 温氏股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/11/02	48.00	50.09	36.42	36.42	18159365	1181059712.00
2015/11/03	38.87	40.26	36.66	40.26	36170423	2142831744.00
2015/11/04	38.61	40.76	36.70	39.26	31741477	1841589760.00
2015/11/05	39.39	40.79	38.04	38.52	20614754	1228109184.00
2015/11/06	37.56	38.28	36.68	36.97	26993077	1519092864.00
2015/11/09	35.79	36.41	33.85	35.16	26401994	1403500544.00
2015/11/10	34.43	36.51	34.13	35.91	19293465	1046395136.00
2015/11/11	35.85	35.85	34.57	34.95	16978768	901541248.00
2015/11/12	34.94	38.54	34.82	37.79	28548134	1600005888.00
2015/11/13	36.48	37.72	35.23	35.57	17933747	988697920.00
2015/11/16	34.27	35.23	34.12	35.17	10196846	540534592.00
2015/11/17	35.27	37.37	35.27	35.50	14687168	805175680.00
2015/11/18	35.51	35.51	34.13	34.32	9628059	509946528.00
2015/11/19	34.32	35.94	34.32	35.25	10230724	548431232.00
2015/11/20	35.44	35.44	34.47	34.84	10813266	573675008.00
2015/11/23	34.85	35.50	34.55	34.67	9616099	511090400.00
2015/11/24	34.52	37.25	34.40	36.69	22594350	1240461312.00
2015/11/25	36.21	37.04	35.59	36.54	15661200	866831360.00
2015/11/26	36.62	36.75	35.51	35.53	10063336	549173376.00
2015/11/27	35.57	35.57	32.52	33.02	12565306	653520384.00
2015/11/30	33.04	33.53	30.29	31.93	14733006	719830592.00
2015/12/01	31.93	32.03	30.86	31.34	10431095	499571168.00
2015/12/02	31.34	31.34	29.26	31.09	13263094	618985088.00
2015/12/03	30.89	32.70	30.79	32.57	11789214	574515904.00
2015/12/04	32.20	33.61	32.04	32.61	10788009	543023040.00
2015/12/07	32.61	33.08	31.90	32.13	7114414	351234048.00
2015/12/08	32.02	32.02	30.50	30.88	9071446	429644160.00
2015/12/09	30.37	30.79	29.97	30.34	6735610	313571936.00
2015/12/10	30.65	31.80	30.65	31.05	8465381	405467200.00
2015/12/11	30.68	30.69	29.99	30.50	5492661	254888400.00
2015/12/14	29.95	30.85	29.75	30.73	5164559	240102832.00
2015/12/15	30.68	31.25	30.41	30.63	5300421	250210192.00
2015/12/16	30.79	31.94	30.66	31.21	7656913	367388896.00
2015/12/17	31.48	31.74	31.20	31.61	9937121	478340128.00
2015/12/18	31.62	31.62	31.00	31.09	6128658	293215616.00
2015/12/21	30.96	31.75	30.84	31.52	6893030	332260480.00
2015/12/22	31.62	32.18	31.42	32.02	8515341	415610752.00
2015/12/23	32.11	32.25	31.20	31.22	7657272	371185600.00
2015/12/24	31.17	31.17	30.14	30.66	5488292	256806640.00
2015/12/25	30.64	30.85	30.30	30.82	5589034	261323536.00
2015/12/28	30.98	31.05	29.68	29.82	7913554	369445856.00
2015/12/29	29.88	30.16	29.34	30.15	5845919	266533936.00
2015/12/30	30.27	30.27	29.74	29.98	3968807	182557488.00
2015/12/31	29.99	30.07	29.68	29.77	3431655	157411584.00
2016/01/04	29.77	30.65	28.23	28.55	7097473	326077440.00
2016/01/05	27.73	29.51	27.52	29.27	8615792	382234400.00
2016/01/06	29.27	32.39	29.27	31.95	18451985	883427136.00
2016/01/07	31.06	31.07	28.55	28.62	4307678	197150704.00
2016/01/08	30.09	31.68	27.95	31.68	19090613	899930880.00
2016/01/11	31.44	34.03	30.79	32.22	26486337	1333449344.00
2016/01/12	32.22	33.14	29.82	31.38	16384433	793178624.00
2016/01/13	30.93	31.90	28.57	29.78	12992816	606845312.00
2016/01/14	28.59	31.00	28.57	31.00	12774426	584227136.00
2016/01/15	31.07	31.25	28.57	28.86	12980606	591609664.00
2016/01/18	27.66	28.74	27.59	28.09	6425979	277538720.00
2016/02/03	28.15	28.16	25.23	26.73	9198795	379423456.00
2016/02/04	26.76	27.25	26.47	27.22	8031747	332472320.00
2016/02/05	27.18	27.38	26.77	26.84	6079032	253913984.00
2016/02/15	25.45	26.17	25.41	25.87	6532876	261559696.00
2016/02/16	26.04	27.16	26.04	27.00	7193649	299070080.00
2016/02/17	27.80	29.75	27.80	28.73	9896914	440355968.00
2016/02/18	28.71	29.08	28.27	28.44	7269334	320771648.00
2016/02/19	28.45	28.91	28.45	28.67	4968342	219569808.00
2016/02/22	29.29	29.52	28.59	28.80	6534325	291466816.00
2016/02/23	29.18	29.19	27.98	28.18	5673541	248762320.00
2016/02/24	28.18	30.80	28.15	30.46	17546282	799930304.00
2016/02/25	29.82	31.20	27.94	28.50	14848770	683499008.00
2016/02/26	28.84	30.13	28.63	29.73	11776708	534105760.00
2016/02/29	29.68	31.34	28.18	31.14	17516500	811038784.00
2016/03/01	31.48	33.57	30.73	32.28	17432091	863140032.00
2016/03/02	31.86	32.80	31.00	32.63	14556198	711886080.00
2016/03/03	32.11	33.38	31.38	31.46	12020125	594079232.00
2016/03/04	31.07	33.57	31.07	32.61	15373202	769506688.00
2016/03/07	33.08	34.00	32.60	33.50	10360121	527037824.00
2016/03/08	32.92	33.14	31.00	32.27	9016359	441456800.00
2016/03/09	31.32	32.04	29.96	30.60	6726069	319426496.00
2016/03/10	30.78	32.23	30.65	31.25	6782270	327767328.00
2016/03/11	30.96	32.18	30.67	31.52	4594520	223096848.00
2016/03/14	31.69	33.08	31.69	32.57	6860180	340837504.00
2016/03/15	32.59	33.26	31.68	31.69	5383296	265720160.00
2016/03/16	31.69	32.03	30.31	30.73	5752697	273123296.00
2016/03/17	30.73	31.91	30.44	31.68	6337811	305350816.00
2016/03/18	31.76	32.72	31.76	32.42	8572952	423127296.00
2016/03/21	32.75	33.79	32.44	32.96	10946950	554320192.00
2016/03/22	32.73	35.63	32.23	34.09	13311259	697715072.00
