300502 新易盛 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/03/03	8.35	10.07	8.35	10.07	9700	296054.00
2016/03/04	11.10	11.10	11.10	11.10	3915	133149.16
2016/03/07	12.23	12.23	12.23	12.23	1800	67338.00
2016/03/08	13.48	13.48	13.48	13.48	13300	547295.00
2016/03/09	14.85	14.85	14.85	14.85	25900	1172493.00
2016/03/10	16.36	16.36	16.36	16.36	18165	904617.00
2016/03/11	18.02	18.02	18.02	18.02	34635	1897305.25
2016/03/14	19.85	19.85	19.85	19.85	67982	4096595.25
2016/03/15	21.86	21.86	21.86	21.86	194024	12861851.00
2016/03/16	24.07	24.07	24.07	24.07	714499	52101268.00
2016/03/17	24.10	26.50	23.13	26.50	13608544	1026273664.00
2016/03/18	25.43	27.06	25.21	26.38	10974220	863982784.00
2016/03/21	26.70	28.10	26.17	26.60	7868909	638283968.00
2016/03/22	26.47	29.02	26.36	27.43	8680321	723377280.00
2016/03/23	27.10	27.26	26.22	27.21	6062705	491890912.00
2016/03/24	26.66	28.03	26.26	27.21	6011420	491307392.00
2016/03/25	27.10	29.36	26.77	28.82	7198564	615087552.00
2016/03/28	29.10	29.66	26.96	27.34	6483135	560086080.00
2016/03/29	27.10	27.98	25.86	26.23	5201470	422361504.00
2016/03/30	26.60	27.36	26.10	27.26	4040756	326943424.00
2016/03/31	27.50	28.59	27.30	28.59	4993540	423567552.00
2016/04/01	28.43	30.76	28.12	29.83	6214631	556181504.00
2016/04/05	29.30	30.65	28.73	30.47	4786936	430438400.00
2016/04/06	30.10	31.59	29.71	30.47	4403511	406497312.00
2016/04/07	30.13	30.40	28.83	29.01	3957435	352272416.00
2016/04/08	28.70	30.27	28.44	30.20	3499313	312720960.00
2016/04/11	30.21	31.61	29.76	31.16	4213169	388228224.00
2016/04/12	30.76	30.86	28.10	29.09	4139252	371676576.00
2016/04/13	29.10	29.76	29.05	29.10	2867429	255044608.00
2016/04/14	29.32	31.34	29.31	30.98	5353107	493513920.00
2016/04/15	30.60	30.72	29.56	29.84	4042380	367232544.00
2016/04/18	29.43	29.43	28.38	29.25	2240158	196490464.00
2016/04/19	29.24	30.57	29.24	30.37	3183599	288322464.00
2016/04/20	30.44	30.58	27.43	28.43	4172286	364165312.00
2016/04/21	27.86	28.66	27.13	27.13	2398307	202766128.00
2016/04/22	26.86	27.47	26.54	27.26	2189925	178782208.00
2016/04/25	27.10	27.26	25.99	27.01	1632623	131758648.00
2016/04/26	26.74	27.73	26.74	27.64	2072816	170910848.00
2016/04/27	27.66	27.76	26.76	26.90	1906685	157945552.00
2016/04/28	26.57	26.91	25.93	26.91	1988091	158750960.00
2016/04/29	26.59	27.16	26.44	26.80	1294911	105349408.00
2016/05/03	26.86	27.82	26.45	27.73	1908779	158221040.00
2016/05/04	27.50	28.13	27.43	27.93	2155663	181902960.00
2016/05/05	27.93	28.38	27.43	28.19	1737400	147448064.00
2016/05/06	28.06	28.69	26.84	26.84	3141657	263799120.00
2016/05/09	26.13	26.36	25.61	25.73	1828903	143785840.00
2016/05/10	25.67	25.93	25.28	25.38	1262918	97903480.00
