300509 新美星 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/04/25	8.47	9.31	8.47	9.31	10058	191490.73
2016/04/26	10.31	10.31	10.31	10.31	3200	67008.00
2016/04/27	11.41	11.41	11.41	11.41	600	13818.00
2016/04/28	12.62	12.62	12.62	12.62	2600	65858.00
2016/04/29	13.95	13.95	13.95	13.95	7000	195020.00
2016/05/03	15.42	15.42	15.42	15.42	11616	356030.41
2016/05/04	17.04	17.04	17.04	17.04	20200	681144.00
2016/05/05	18.81	18.81	18.81	18.81	16600	615694.00
2016/05/06	20.76	20.76	20.76	20.76	47000	1917600.00
2016/05/09	22.91	22.91	22.91	22.91	111428	5000888.50
2016/05/10	25.27	25.27	25.27	25.27	136274	6727847.50
2016/05/11	27.87	27.87	25.87	26.14	11884088	633488768.00
2016/05/12	23.82	25.54	23.46	23.87	7749080	364317408.00
2016/05/13	23.45	26.33	23.12	26.33	9233171	460742464.00
2016/05/16	25.76	26.25	24.37	25.57	6921096	339589888.00
2016/05/17	25.18	26.66	25.04	25.24	6098515	306462176.00
2016/05/18	24.14	25.02	23.51	23.90	4834823	226541968.00
2016/05/19	23.89	24.97	23.58	23.97	4242090	201655344.00
2016/05/20	23.50	25.57	22.99	25.24	5420565	259460384.00
2016/05/23	25.29	27.83	25.19	27.83	8962542	478227360.00
2016/05/24	27.83	28.92	27.02	28.55	9931422	541507776.00
2016/05/25	28.08	30.13	27.82	29.15	8398001	470470048.00
2016/05/26	29.08	31.91	28.95	30.80	9037821	529695392.00
2016/05/27	30.17	30.82	29.19	29.26	7098946	414780928.00
2016/05/30	28.32	30.42	28.24	29.48	4784913	274485440.00
2016/05/31	29.37	31.87	29.29	30.87	6807493	405946112.00
2016/06/01	30.79	31.92	30.03	30.66	7559583	455871232.00
2016/06/02	30.26	31.66	29.92	31.19	5798171	345323232.00
2016/06/03	30.79	33.13	30.54	31.35	7024748	431806656.00
2016/06/06	31.09	31.65	30.13	30.84	4215550	253784256.00
2016/06/07	30.79	33.12	30.63	32.91	6237565	388720320.00
2016/06/08	32.45	32.59	30.97	31.38	4569711	281403744.00
2016/06/13	30.26	30.65	28.17	28.17	4571404	261462496.00
2016/06/14	27.37	28.75	27.34	28.39	3326529	182354304.00
2016/06/15	27.75	30.81	27.75	30.13	4291862	249209760.00
2016/06/16	30.13	32.44	29.92	31.92	5358799	329359296.00
2016/06/17	31.92	33.97	31.82	33.87	6337536	403418336.00
2016/06/20	33.74	36.92	32.76	35.47	6483142	436124288.00
2016/06/21	35.47	37.61	34.86	35.07	6839588	476962656.00
2016/06/22	34.41	37.08	34.07	36.04	5477955	380760928.00
2016/06/23	35.74	36.77	34.82	35.46	4433827	307542400.00
2016/06/24	34.96	36.04	32.85	35.16	4645676	312884416.00
2016/06/27	34.62	38.75	34.62	38.75	6473232	470901664.00
2016/06/28	39.00	42.69	38.75	42.69	8065219	631773056.00
2016/06/29	43.24	47.04	41.39	46.19	8005937	684539328.00
2016/06/30	43.24	44.25	41.50	41.69	7691638	632984576.00
2016/07/01	42.37	45.93	42.37	45.87	8757596	755762304.00
2016/07/04	45.61	48.17	43.45	47.78	7349194	641568512.00
2016/07/05	47.04	49.13	46.34	47.66	6278490	579636992.00
2016/07/06	46.66	47.96	44.82	45.59	4924116	436307712.00
2016/07/07	44.89	46.56	44.86	45.86	3405604	300486208.00
2016/07/08	45.88	48.23	44.98	46.19	4763790	428961280.00
2016/07/11	45.92	45.92	41.50	41.50	5130693	423469344.00
2016/07/12	41.11	43.46	39.38	43.45	4547099	367301152.00
2016/07/13	43.24	46.11	42.45	44.66	4546631	390552096.00
2016/07/14	44.65	45.95	44.11	45.56	3504711	305446656.00
2016/07/15	45.00	49.00	44.99	46.83	5649523	513954880.00
2016/07/18	47.27	47.27	44.45	44.82	3897121	342887488.00
2016/07/19	43.48	45.18	43.27	45.02	2878369	243829632.00
2016/07/20	45.01	45.63	44.02	44.02	2529265	217411632.00
2016/07/21	43.63	43.91	41.55	41.76	3461086	282076480.00
2016/07/22	41.55	42.18	39.01	40.22	2992249	234248480.00
2016/07/25	39.97	40.38	38.14	39.29	2382078	180170816.00
2016/07/26	39.21	40.95	39.13	40.43	2332705	181289504.00
2016/07/27	40.39	40.67	36.33	36.67	3322936	242505904.00
2016/07/28	36.45	37.76	35.60	37.23	2648542	187071520.00
2016/07/29	37.06	38.16	35.79	37.08	2480230	177580368.00
2016/08/01	35.92	36.28	33.39	34.71	2420652	161805456.00
2016/08/02	34.81	35.78	34.75	35.78	2423833	165160672.00
2016/08/03	35.85	39.41	35.70	39.41	4512100	329337376.00
2016/08/04	39.50	39.96	38.56	39.00	3799156	286622432.00
2016/08/05	38.87	39.24	37.46	38.06	2565136	190140496.00
2016/08/08	37.34	38.87	35.77	38.87	2743930	197075680.00
2016/08/09	38.38	40.50	38.25	39.94	3755586	286501472.00
2016/08/10	39.71	40.84	39.04	39.72	3618833	277916064.00
2016/08/11	39.29	39.84	37.53	37.56	2660839	199393376.00
2016/08/12	37.07	38.55	36.97	37.76	2333592	170061232.00
2016/08/15	38.03	40.23	37.49	39.66	3279890	247009088.00
2016/08/16	39.87	42.50	39.71	40.65	4257566	339769856.00
2016/08/17	39.97	42.60	39.81	41.82	4323601	345671712.00
2016/08/18	41.55	43.53	41.29	42.24	4363943	357124800.00
2016/08/19	41.55	43.27	41.45	42.15	3256271	265980400.00
2016/08/22	42.14	42.63	38.92	38.97	3244611	251689504.00
2016/08/23	39.18	42.93	39.13	42.93	3012350	243021888.00
2016/08/24	44.71	46.18	42.97	44.11	7346769	626830592.00
2016/08/25	43.67	43.84	40.66	43.09	5305000	433051744.00
2016/08/26	42.87	43.66	41.03	41.30	3620297	294468480.00
2016/08/29	40.04	40.66	38.73	39.29	4074626	311036064.00
2016/08/30	39.18	39.68	38.82	39.08	2149309	162194816.00
2016/08/31	38.92	39.68	37.63	39.42	2759048	205467440.00
2016/09/01	39.19	39.23	37.97	38.07	2235217	166272816.00
2016/09/02	38.03	38.69	37.84	37.99	1619568	119360248.00
2016/09/05	38.36	39.38	38.13	38.35	1780650	132999992.00
2016/09/06	38.05	38.70	36.97	38.55	2121618	155100624.00
2016/09/07	38.55	38.86	37.34	37.44	2010392	147569424.00
2016/09/08	37.34	37.71	36.58	37.08	1561510	111897816.00
2016/09/09	37.11	37.60	36.19	36.66	1732628	123175584.00
2016/09/12	34.82	36.02	34.78	35.09	1574617	107415296.00
2016/09/13	35.47	35.75	34.98	35.22	906712	61783240.00
2016/09/14	35.13	35.44	34.61	34.82	889036	59936360.00
2016/09/19	35.05	35.39	35.05	35.37	1001083	68090024.00
2016/09/20	35.45	35.58	35.03	35.08	840908	57155556.00
2016/09/21	34.84	36.13	34.84	35.49	1590032	109086608.00
2016/09/22	35.71	36.02	35.29	35.64	1232150	84782680.00
2016/09/23	35.79	36.03	35.50	35.63	1227206	84719216.00
2016/09/26	35.49	35.49	32.88	32.93	1876038	122681928.00
2016/09/27	32.86	33.34	32.59	33.34	1197595	76269296.00
2016/09/28	33.26	33.34	32.92	33.05	853614	54567176.00
2016/09/29	33.33	33.55	32.93	33.06	897595	57645236.00
2016/09/30	33.03	33.18	32.87	32.94	635342	40528292.00
2016/10/10	33.24	34.86	33.16	34.53	1517362	99638376.00
2016/10/11	34.62	34.62	34.19	34.34	951786	63110856.00
2016/10/12	34.34	36.42	34.03	35.37	2092135	143301616.00
2016/10/13	35.43	36.59	35.14	36.07	2202641	152892032.00
2016/10/14	35.58	36.82	35.39	36.09	2044888	142743088.00
2016/10/17	35.97	36.29	34.54	34.81	1552529	106072136.00
2016/10/18	34.67	35.76	34.67	35.76	1387882	94738320.00
2016/10/19	35.76	37.12	35.54	36.13	1864849	130804016.00
2016/10/20	35.75	35.95	35.18	35.74	1426306	97910264.00
2016/10/21	35.39	39.33	35.39	38.24	4530727	327629472.00
2016/10/24	38.10	38.64	37.65	38.34	2918041	214854768.00
2016/10/25	37.98	39.08	37.77	38.38	2785882	206775312.00
2016/10/26	38.09	38.24	36.88	37.45	2338041	169238896.00
2016/10/27	37.44	37.79	36.97	37.45	1304478	93916176.00
2016/10/28	37.42	37.45	35.88	35.92	2005756	141346192.00
2016/10/31	35.76	36.45	35.52	36.34	1163800	80958752.00
2016/11/01	36.44	38.11	36.29	37.86	2687729	194338976.00
2016/11/02	37.63	38.13	37.35	37.54	2030381	147760192.00
2016/11/03	36.89	38.68	36.89	37.71	2868024	210381792.00
2016/11/04	37.40	38.84	37.40	38.27	2675505	197841936.00
2016/11/07	38.54	39.23	37.53	37.77	2045606	150545536.00
2016/11/08	38.30	38.81	37.82	38.02	1775933	130660744.00
2016/11/09	38.03	38.39	36.57	37.93	2575601	187510208.00
2016/11/10	38.24	39.44	37.97	38.87	3413447	254943632.00
2016/11/11	38.87	39.14	37.99	38.45	2415473	179209888.00
2016/11/14	38.40	39.79	38.40	39.11	2451325	184632416.00
2016/11/15	39.39	39.39	37.82	38.63	1812110	134272352.00
2016/11/16	38.71	39.22	38.24	38.24	1843856	137670512.00
2016/11/17	37.77	37.81	36.55	36.57	2155809	153046480.00
2016/11/18	37.71	39.54	37.35	38.29	3598081	268076256.00
2016/11/21	38.29	42.08	38.11	41.15	5696987	442694752.00
2016/11/22	41.53	42.38	40.51	40.84	4611605	365741632.00
2016/11/23	40.50	41.16	39.93	40.18	3025773	235613472.00
2016/11/24	40.55	42.68	40.21	41.09	4147926	330974144.00
2016/11/25	40.39	40.92	38.50	40.61	3327497	254109920.00
2016/11/28	40.24	40.29	38.71	38.89	1986345	150447552.00
2016/11/29	38.97	39.45	38.03	38.09	1598566	119763728.00
2016/11/30	37.87	38.44	37.51	38.39	1223281	89737224.00
2016/12/01	38.39	39.08	38.02	38.22	1418862	105395608.00
