300520 科大国创 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/07/08	5.40	6.50	5.40	6.50	8100	115161.00
2016/07/11	7.16	7.16	7.16	7.16	1900	30248.00
2016/07/12	7.88	7.88	7.88	7.88	2478	43389.78
2016/07/13	8.68	8.68	8.68	8.68	1800	34668.00
2016/07/14	9.55	9.55	9.55	9.55	3400	72046.00
2016/07/15	10.52	10.52	10.52	10.52	2726	63543.06
2016/07/18	11.58	11.58	11.58	11.58	2591	66433.24
2016/07/19	12.74	12.74	12.74	12.74	5855	165111.00
2016/07/20	14.02	14.02	14.02	14.02	1500	46530.00
2016/07/21	15.43	15.43	15.43	15.43	7126	243139.13
2016/07/22	16.98	16.98	16.98	16.98	8226	308721.78
2016/07/25	18.68	18.68	18.68	18.68	27189	1122361.88
2016/07/26	20.56	20.56	20.56	20.56	16211	736141.50
2016/07/27	22.63	22.63	22.63	22.63	20649	1031417.56
2016/07/28	24.90	24.90	24.90	24.90	53126	2919273.75
2016/07/29	27.40	27.40	27.40	27.40	50123	3029935.25
2016/08/01	30.15	30.15	30.15	30.15	85806	5706099.00
2016/08/02	33.17	33.17	33.17	33.17	143907	10526797.00
2016/08/03	36.50	36.50	36.50	36.50	203749	16395682.00
2016/08/04	40.16	40.16	40.16	40.16	100581	8903430.00
2016/08/05	44.18	44.18	44.18	44.18	107291	10446925.00
2016/08/08	48.61	48.61	45.36	45.47	14682662	1508087680.00
2016/08/09	47.65	50.02	46.32	48.23	12716369	1356169216.00
2016/08/10	47.20	49.72	46.42	47.87	9944915	1050225088.00
2016/08/11	46.74	50.49	46.51	48.88	10275202	1104744704.00
2016/08/12	47.80	50.82	47.74	50.82	9706176	1059601792.00
2016/08/15	50.43	52.42	49.49	51.10	8663787	972032064.00
2016/08/16	50.53	55.83	50.53	54.46	8803950	1030055616.00
2016/08/17	55.83	59.92	55.78	59.92	8674468	1107087104.00
2016/08/18	60.53	63.88	59.52	59.83	8169796	1104921856.00
2016/08/19	59.65	62.59	59.48	59.92	5345383	715177408.00
