300530 达志科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/08/09	14.53	15.97	14.53	15.97	4100	69841.00
2016/08/10	17.69	17.69	17.69	17.69	1100	20823.00
2016/08/11	19.58	19.58	19.58	19.58	2600	54132.00
2016/08/12	21.66	21.66	21.66	21.66	1100	25190.00
2016/08/15	23.95	23.95	23.95	23.95	4000	100760.00
2016/08/16	26.47	26.47	26.47	26.47	3500	96985.00
2016/08/17	29.24	29.24	29.24	29.24	3300	100584.00
2016/08/18	32.29	32.29	32.29	32.29	3654	122518.62
2016/08/19	35.64	35.64	35.64	35.64	6600	243408.00
2016/08/22	39.33	39.33	39.33	39.33	3000	121710.00
2016/08/23	43.39	43.39	43.39	43.39	10934	487984.41
2016/08/24	47.85	47.85	47.85	47.85	9100	446719.00
2016/08/25	52.76	52.76	52.76	52.76	16900	912600.00
2016/08/26	58.16	58.16	58.16	58.16	10500	623700.00
2016/08/29	64.10	64.10	64.10	64.10	23100	1509354.00
2016/08/30	70.63	70.63	70.63	70.63	72600	5217762.00
2016/08/31	77.82	77.82	77.82	77.82	160884	12719489.00
2016/09/01	85.73	85.73	85.73	85.73	2894540	251738144.00
2016/09/02	88.56	94.43	87.68	94.43	11487864	1061290240.00
2016/09/05	91.76	93.76	88.46	90.45	7371627	680547840.00
2016/09/06	91.74	96.91	90.77	93.16	6821711	641938240.00
2016/09/07	95.06	97.74	93.78	94.11	6877405	668071744.00
2016/09/08	96.11	102.65	94.97	99.78	7317418	728375872.00
2016/09/09	95.76	96.53	89.68	89.68	6825360	634260416.00
2016/09/12	83.56	87.25	83.26	85.64	3892883	336889568.00
2016/09/13	86.76	87.14	82.14	83.65	3863340	330265760.00
2016/09/14	84.33	87.30	83.84	84.01	3482167	302261248.00
2016/09/19	84.64	85.75	80.78	84.05	3249920	274863360.00
2016/09/20	83.67	84.31	80.45	81.35	3089277	258423616.00
2016/09/21	80.76	81.76	79.39	79.63	2298771	187705136.00
2016/09/22	79.95	80.71	77.86	77.99	2710680	218204848.00
2016/09/23	78.20	78.64	74.94	75.03	2599244	203123920.00
2016/09/26	74.34	76.75	72.27	72.99	3170903	239697248.00
2016/09/27	72.76	77.52	72.76	77.52	3341918	255278576.00
2016/09/28	76.65	77.06	73.56	73.67	2692362	205492704.00
2016/09/29	73.26	78.03	73.26	76.48	3221162	248860032.00
2016/09/30	75.76	77.19	75.15	77.06	2251259	174190512.00
2016/10/10	77.86	83.26	76.56	81.19	3511281	286691200.00
2016/10/11	80.76	81.74	79.89	81.02	2403899	196972896.00
2016/10/12	80.36	82.35	79.46	80.04	2363024	193811088.00
2016/10/13	79.79	80.73	77.36	77.57	2457319	196445440.00
2016/10/14	77.66	78.48	76.07	77.57	1807712	142056368.00
2016/10/17	77.93	78.58	76.73	78.28	1568326	123948648.00
2016/10/18	77.86	78.92	76.42	78.85	1736342	137296064.00
2016/10/19	78.76	79.55	76.56	77.74	2890210	228555808.00
2016/10/20	77.66	77.96	75.06	75.58	2292277	177244720.00
2016/10/21	75.56	76.24	74.44	76.09	1527369	117245224.00
2016/10/24	75.96	76.97	74.85	76.51	1624857	125671264.00
2016/10/25	76.51	81.05	76.51	78.86	3506609	281930688.00
2016/10/26	78.59	80.31	77.78	79.91	2521268	202466752.00
2016/10/27	80.06	80.54	78.86	80.29	2336165	189235232.00
2016/10/28	80.64	81.95	78.77	78.96	2491300	202697216.00
2016/10/31	77.26	77.31	73.78	75.01	2060200	157896032.00
2016/11/01	75.04	77.65	75.04	76.64	1817600	141074704.00
2016/11/02	76.82	80.17	76.82	78.90	3087499	248091312.00
2016/11/03	77.83	80.01	77.31	78.25	2562325	204949296.00
2016/11/04	78.26	81.61	78.26	81.16	3392674	276990048.00
2016/11/07	81.36	83.52	79.96	80.24	2873400	237989584.00
2016/11/08	80.64	82.14	79.64	82.06	2265053	186058080.00
2016/11/09	81.58	87.64	80.69	85.57	4920789	420820544.00
2016/11/10	85.64	89.75	85.62	86.99	4617803	409142176.00
2016/11/11	86.76	87.61	84.66	85.68	3028847	264307232.00
2016/11/14	85.65	87.36	84.81	85.41	1992180	173642512.00
2016/11/15	86.16	86.16	82.98	84.56	1886086	161132208.00
2016/11/16	84.58	84.72	81.46	81.46	1815401	152749344.00
2016/11/17	80.76	81.31	80.06	80.74	1299499	106391648.00
2016/11/18	81.19	83.93	80.76	82.74	1861585	156252080.00
2016/11/21	83.08	85.56	81.41	84.96	2315597	197333200.00
2016/11/22	93.58	93.58	93.58	93.58	1227766	116416776.00
2016/11/23	93.76	93.76	88.85	90.93	4814312	447394848.00
2016/11/24	90.91	92.73	87.84	88.76	3055425	279835296.00
2016/11/25	87.64	92.34	84.74	91.33	3668207	331333120.00
2016/11/28	90.24	90.24	86.76	86.96	1900988	170742688.00
2016/11/29	86.76	87.96	84.67	84.76	1680376	146704848.00
