300537 广信材料 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/08/30	6.70	8.07	6.70	8.07	8828	116296.80
2016/08/31	8.90	8.90	8.90	8.90	2100	30555.00
2016/09/01	9.81	9.81	9.81	9.81	4228	67690.28
2016/09/02	10.81	10.81	10.81	10.81	3451	60772.11
2016/09/05	11.91	11.91	11.91	11.91	4724	91503.88
2016/09/06	13.12	13.12	13.12	13.12	5300	112943.00
2016/09/07	14.45	14.45	14.45	14.45	2600	60944.00
2016/09/08	15.91	15.91	15.91	15.91	4328	111575.84
2016/09/09	17.53	17.53	17.53	17.53	7100	201356.00
2016/09/12	19.30	19.30	19.30	19.30	21877	682562.38
2016/09/13	21.25	21.25	21.25	21.25	20000	686400.00
2016/09/14	23.40	23.40	23.40	23.40	35100	1325025.00
2016/09/19	25.76	25.76	25.76	25.76	26448	1098385.50
2016/09/20	28.35	28.35	28.35	28.35	29138	1331023.88
2016/09/21	31.21	31.21	31.21	31.21	454909	22859178.00
2016/09/22	31.80	34.35	31.80	34.35	15977670	856703680.00
2016/09/23	32.98	34.16	32.18	32.43	11207844	597469184.00
2016/09/26	31.86	31.86	29.17	29.17	8695376	422847968.00
2016/09/27	28.55	30.42	28.36	30.11	7901616	372460096.00
2016/09/28	29.80	30.41	29.02	29.18	5981997	284980672.00
2016/09/29	28.93	29.99	28.41	29.36	6035487	284680704.00
2016/09/30	29.05	29.31	27.86	28.25	5420166	249026896.00
2016/10/10	28.54	29.85	28.24	29.55	6290361	296002784.00
2016/10/11	29.36	30.90	29.24	30.30	7144901	347917728.00
2017/01/13	27.25	27.73	27.25	27.25	1650400	72505304.00
2017/01/16	24.50	24.77	24.50	24.50	1338361	52942056.00
2017/01/17	22.43	25.42	22.03	23.86	6758028	250006912.00
2017/01/18	22.99	23.24	21.60	21.68	4456775	160610944.00
2017/01/19	21.43	22.53	20.80	21.88	3897826	137442944.00
2017/01/20	21.58	22.68	21.56	22.28	3058464	110199704.00
2017/01/23	22.10	22.92	22.00	22.38	2143064	77754624.00
2017/01/24	22.38	22.43	21.23	21.26	2611900	91443680.00
2017/01/25	21.30	22.10	21.14	21.79	1908195	67034664.00
2017/01/26	21.74	22.59	21.74	22.25	2339189	83834704.00
2017/02/03	22.27	23.28	22.25	22.71	2510716	92119872.00
2017/02/06	22.80	24.95	22.78	24.48	3762638	146020640.00
2017/02/07	24.27	24.43	23.51	23.71	3195323	122969680.00
2017/02/08	23.64	24.49	23.57	24.11	2731648	106363744.00
2017/02/09	23.99	24.33	23.81	23.90	2357622	91209664.00
2017/02/10	24.02	24.36	22.99	23.77	3541128	135089728.00
2017/02/13	23.63	24.55	23.57	24.15	2599028	101194904.00
2017/02/14	24.16	25.10	24.10	24.99	3374621	134449056.00
2017/02/15	24.73	25.68	24.43	25.23	4841380	195889264.00
2017/02/16	25.10	25.74	24.81	25.11	3176525	129359408.00
2017/02/17	25.00	25.38	23.47	23.53	3737392	145262640.00
2017/02/20	23.74	24.17	22.55	22.80	2529800	94832672.00
2017/02/21	23.03	23.60	22.80	23.34	1841404	69311568.00
2017/02/22	23.31	23.91	23.04	23.35	1785830	67854568.00
2017/02/23	23.45	23.91	23.25	23.84	2331943	88941560.00
