300550 和仁科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/10/18	16.38	17.88	16.38	17.88	6600	118314.00
2016/10/19	19.68	19.68	19.68	19.68	1200	23808.00
2016/10/20	21.66	21.66	21.66	21.66	1300	28366.00
2016/10/21	23.84	23.84	23.84	23.84	600	14400.00
2016/10/24	26.24	26.24	26.24	26.24	1800	47520.00
2016/10/25	28.88	28.88	28.88	28.88	3200	92928.00
2016/10/26	31.78	31.78	31.78	31.78	4600	146924.00
2016/10/27	34.97	34.97	34.97	34.97	4000	140520.00
2016/10/28	38.48	38.48	38.48	38.48	6000	231840.00
2016/10/31	42.34	42.34	42.34	42.34	12100	514250.00
2016/11/01	46.59	46.59	46.59	46.59	15500	724625.00
2016/11/02	51.27	51.27	51.27	51.27	14700	756021.00
2016/11/03	56.41	56.41	56.41	56.41	7900	446903.00
2016/11/04	62.07	62.07	62.07	62.07	17200	1070356.00
2016/11/07	68.29	68.29	68.29	68.29	71646	4904168.50
2016/11/08	75.14	75.14	75.14	75.14	71354	5372956.00
2016/11/09	82.67	82.67	82.67	82.67	55033	4558383.50
2016/11/10	90.95	90.95	90.95	90.95	31400	2860854.00
2016/11/11	100.06	100.06	100.06	100.06	109712	10995337.00
2016/11/14	110.08	110.08	104.84	106.64	12371703	1329680640.00
2016/11/15	105.84	106.31	99.54	100.03	6335466	643247936.00
2016/11/16	99.26	100.73	96.36	96.60	4341501	426281984.00
2016/11/17	95.34	97.34	93.84	95.38	3378550	323375936.00
2016/11/18	95.73	96.42	94.94	95.34	2073633	198537904.00
2016/11/21	94.85	94.86	91.46	93.09	3143468	292516832.00
2016/11/22	93.77	99.34	93.72	96.88	4457495	432171136.00
2016/11/23	97.83	97.83	95.35	95.47	2351108	226837424.00
2016/11/24	95.33	96.06	92.84	93.11	1923824	182010016.00
2016/11/25	92.77	93.82	89.95	93.62	2175782	200520144.00
2016/11/28	92.89	93.64	90.71	90.74	1565116	143839104.00
2016/11/29	90.74	91.49	88.73	88.99	1738961	156540240.00
2016/11/30	88.66	90.97	88.50	90.82	1536909	138612368.00
2016/12/01	89.95	91.79	89.82	91.02	1238674	112575016.00
2016/12/02	91.11	91.32	86.64	86.64	1674451	148512464.00
2016/12/05	84.84	87.28	84.84	86.00	788060	68066016.00
2016/12/06	86.13	87.74	86.13	86.68	797520	69560720.00
2016/12/07	86.94	87.34	85.04	87.03	812052	70057152.00
2016/12/08	87.04	89.21	86.99	87.59	1116215	98614232.00
2016/12/09	87.05	88.25	85.13	85.14	1108382	95849840.00
2016/12/12	84.64	84.64	76.61	76.61	2128907	169955216.00
2016/12/13	75.14	76.94	74.00	75.01	1447415	109343208.00
2016/12/14	74.74	75.14	73.35	73.46	1035181	76996056.00
2016/12/15	72.86	75.44	72.14	74.04	1035981	77253592.00
2016/12/16	74.04	74.63	73.14	73.96	1040734	76982176.00
2016/12/19	74.54	74.54	73.04	73.14	703994	52026488.00
2016/12/20	73.04	73.82	72.44	72.94	778903	57020012.00
2016/12/21	73.21	74.34	72.50	74.01	1021701	75169528.00
2016/12/22	73.64	73.97	73.01	73.34	741771	54611052.00
2016/12/23	73.34	73.34	69.54	69.54	1123936	80407672.00
2016/12/26	69.23	70.28	67.84	70.24	816292	56432932.00
2016/12/27	70.24	70.72	69.69	69.91	533865	37541924.00
2016/12/28	69.84	70.30	69.34	69.58	526683	36874804.00
2016/12/29	69.73	70.16	69.05	69.20	508338	35446900.00
2016/12/30	69.20	69.39	68.35	68.61	592500	40892824.00
2017/01/03	69.04	70.32	68.91	70.03	747000	52206856.00
2017/01/04	70.51	71.34	69.86	70.99	924998	65421192.00
2017/01/05	70.84	71.01	69.49	69.51	759598	53461880.00
2017/01/06	69.13	69.30	66.20	66.20	1240501	84259440.00
2017/01/09	65.34	65.84	64.64	65.18	753400	49209740.00
2017/01/10	65.56	66.72	65.16	65.50	716823	47395048.00
2017/01/11	65.27	65.34	63.84	64.12	731867	47349324.00
2017/01/12	64.17	65.24	62.95	63.72	764500	49334308.00
2017/01/13	63.42	63.94	59.84	61.24	1083085	67462640.00
2017/01/16	59.87	59.94	55.10	55.72	1670487	96414184.00
2017/01/17	55.43	59.71	53.86	58.08	1331117	75759400.00
2017/01/18	57.34	57.62	55.15	55.73	715000	40600160.00
2017/01/19	55.69	57.83	53.85	56.84	1020307	57595076.00
2017/01/20	56.32	60.34	56.25	58.87	1220031	71981064.00
2017/01/23	58.42	60.02	58.42	59.50	761895	45468996.00
2017/01/24	58.72	58.72	56.87	57.29	918086	53160076.00
2017/01/25	57.24	58.53	56.76	58.24	661036	38456284.00
2017/01/26	58.34	59.24	57.84	58.54	619236	36298624.00
2017/02/03	59.42	59.52	57.74	57.85	507225	29726604.00
2017/02/06	58.14	59.59	58.14	59.51	902261	53400276.00
2017/02/07	59.31	59.46	58.05	58.34	673797	39595464.00
2017/02/08	58.44	59.94	57.94	59.74	867626	51480480.00
2017/02/09	59.80	61.54	59.80	60.40	1276160	77691488.00
2017/02/10	60.04	61.01	58.94	59.11	916004	54917976.00
2017/02/13	58.74	61.84	57.89	61.82	1489315	90872360.00
2017/02/14	61.82	62.33	60.64	61.25	838278	51325508.00
2017/02/15	61.05	62.64	60.84	61.52	1312740	81364032.00
2017/02/16	61.03	62.91	60.57	62.90	1604371	99831584.00
2017/02/17	62.90	64.24	60.11	60.11	2342258	145942064.00
2017/02/20	59.82	61.52	58.30	59.07	1774008	106006800.00
2017/02/21	59.74	60.62	59.35	60.10	1226200	73977176.00
2017/02/22	60.29	60.34	58.66	59.08	893800	53168096.00
2017/02/23	58.92	60.17	58.92	59.84	711700	42512192.00
2017/02/24	60.03	61.44	59.64	61.06	1033014	62876236.00
2017/02/27	61.07	62.66	61.07	61.64	1416914	87889144.00
2017/02/28	61.51	62.39	60.85	62.34	1020710	63177876.00
2017/03/01	62.53	66.56	62.35	63.34	2688421	173596656.00
2017/03/02	64.11	64.11	61.74	62.17	1424425	89355032.00
2017/03/03	61.96	62.47	61.08	62.14	921565	56997960.00
2017/03/06	62.04	63.33	61.67	63.10	993416	62439076.00
2017/03/07	63.17	64.29	62.82	64.29	1294299	82405680.00
2017/03/08	64.84	65.22	62.90	63.14	1135203	72722208.00
2017/03/09	62.64	63.29	62.00	62.74	728630	45609568.00
2017/03/10	62.84	64.42	62.59	63.62	1305425	83239736.00
2017/03/13	63.14	65.44	62.10	65.36	1728925	111209360.00
2017/03/14	64.86	65.93	64.54	65.04	1543520	100797272.00
2017/03/15	64.99	67.07	64.74	66.71	2268950	150223440.00
2017/03/16	66.86	68.35	66.50	68.06	2291620	154741040.00
2017/03/17	67.54	68.18	64.84	64.91	2092899	139844560.00
2017/03/20	64.85	66.05	64.39	66.05	1169600	76697520.00
2017/03/21	65.67	66.68	65.24	66.65	1200686	79288088.00
2017/03/22	66.02	68.44	64.87	67.36	2095882	139653616.00
2017/03/23	67.36	69.20	66.34	69.15	3107793	212342016.00
2017/03/24	68.71	69.83	68.19	68.89	1888092	130688656.00
2017/03/27	68.89	69.34	67.92	68.12	1260480	86723824.00
2017/03/28	67.98	68.19	65.85	66.62	1650431	110247824.00
2017/03/29	66.89	66.89	63.40	63.40	1532875	99659376.00
2017/03/30	62.64	63.27	58.54	58.70	1472533	89082112.00
2017/03/31	58.94	59.64	57.72	59.01	673985	39671028.00
2017/04/05	58.94	60.82	58.34	60.82	660498	39749376.00
2017/04/06	60.83	62.47	60.36	62.44	714830	44214460.00
2017/04/07	62.10	63.06	60.44	60.44	566800	34884400.00
2017/04/10	59.64	60.57	54.84	54.94	1067781	61079912.00
2017/04/11	54.44	56.81	54.44	56.60	625282	34942776.00
2017/04/12	56.00	56.14	54.87	54.91	526695	29328466.00
2017/04/13	54.84	56.32	54.84	55.33	340020	18949292.00
2017/04/14	55.26	55.33	54.30	54.62	374871	20612872.00
2017/04/17	50.95	52.53	50.59	50.63	825138	42476624.00
2017/04/18	50.73	51.53	49.97	50.28	374400	19063572.00
2017/04/19	50.19	51.02	49.53	50.85	521004	26403514.00
2017/04/20	50.87	51.28	47.84	48.52	826640	40849640.00
2017/04/21	48.83	49.34	47.84	47.84	442660	21582164.00
2017/04/24	47.81	47.81	45.02	45.92	495279	22865306.00
2017/04/25	46.42	47.31	46.07	46.10	464266	21712426.00
2017/04/26	45.85	47.84	45.72	46.95	656340	30785344.00
2017/04/27	46.45	48.79	45.04	48.44	787103	37287804.00
2017/04/28	48.34	48.76	47.69	48.10	366665	17761462.00
2017/05/02	48.10	49.06	47.85	48.26	445066	21671828.00
2017/05/03	48.26	49.33	48.12	49.25	443240	21673868.00
2017/05/04	49.23	50.07	48.24	48.64	894424	44116316.00
2017/05/05	48.64	49.14	47.96	48.00	329299	15985883.00
2017/05/08	47.84	48.44	46.85	47.39	497447	23919386.00
2017/05/09	46.85	48.94	46.85	48.78	394400	19056124.00
2017/05/10	48.84	49.19	47.35	47.35	512547	25003008.00
2017/05/11	46.94	47.44	45.89	47.36	483629	22709046.00
2017/05/12	47.22	47.51	45.72	46.28	426231	19885836.00
2017/05/15	46.30	46.84	45.86	45.90	323300	14998841.00
2017/05/16	45.82	47.74	43.84	46.94	766500	35016336.00
2017/05/17	46.94	48.54	46.67	48.49	847798	40509352.00
2017/05/18	48.34	51.34	48.04	49.34	1656938	83198144.00
2017/05/19	49.34	49.64	47.94	47.99	659798	32312634.00
2017/05/22	48.00	48.29	44.42	44.55	738119	34225460.00
2017/05/23	43.99	44.69	42.06	42.14	639400	27818884.00
2017/05/24	42.04	42.93	41.34	42.79	396200	16855656.00
2017/05/25	42.87	43.32	41.37	42.64	561200	23893864.00
2017/05/26	42.54	43.34	42.14	42.90	359700	15464804.00
2017/05/31	44.54	44.58	41.65	41.65	956300	41582944.00
2017/06/01	41.29	41.29	38.74	38.76	766700	30947508.00
