300557 理工光科 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/11/01	16.04	19.38	16.04	19.38	4039	80400.17
2016/11/02	21.38	21.38	21.38	21.38	2000	44060.00
2016/11/03	23.58	23.58	23.58	23.58	1200	29076.00
2016/11/04	26.00	26.00	26.00	26.00	800	21320.00
2016/11/07	28.67	28.67	28.67	28.67	2800	82096.00
2016/11/08	31.60	31.60	31.60	31.60	736	23736.00
2016/11/09	34.83	34.83	34.83	34.83	5000	177400.00
2016/11/10	38.38	38.38	38.38	38.38	1200	46836.00
2016/11/11	42.28	42.28	42.28	42.28	3900	167427.00
2016/11/14	46.57	46.57	46.57	46.57	2800	132216.00
2016/11/15	51.29	51.29	51.29	51.29	4600	238924.00
2016/11/16	56.48	56.48	56.48	56.48	5000	285650.00
2016/11/17	62.19	62.19	62.19	62.19	21200	1332208.00
2016/11/18	68.47	68.47	68.47	68.47	19200	1327104.00
2016/11/21	75.38	75.38	75.38	75.38	23700	1801911.00
2016/11/22	82.98	82.98	82.98	82.98	55529	4643890.50
2016/11/23	91.34	91.34	91.34	91.34	56680	5213993.00
2016/11/24	100.54	100.54	100.54	100.54	98100	9926739.00
2016/11/25	110.66	110.66	108.15	110.66	3741264	416209888.00
2016/11/28	112.35	112.44	105.77	105.82	7460116	817132224.00
2016/11/29	104.25	104.53	98.73	98.90	5146397	523476608.00
2016/11/30	98.36	101.15	98.05	99.49	2413956	242571376.00
2016/12/01	98.85	101.78	97.12	99.56	2509130	250761104.00
2016/12/02	99.16	100.34	94.05	94.07	2327158	226966144.00
2016/12/05	92.78	97.15	92.08	95.35	1890461	181120048.00
2016/12/06	95.35	101.82	94.85	99.13	2617503	259933648.00
2016/12/07	98.44	100.25	96.03	99.15	1880155	185254272.00
2016/12/08	99.15	104.13	98.66	99.05	3076475	314181216.00
2016/12/09	97.35	97.39	93.65	94.10	2179123	209090976.00
2016/12/12	94.05	94.75	84.63	84.63	2011013	180724544.00
2016/12/13	83.37	86.85	82.42	84.80	1231900	104918816.00
2016/12/14	85.80	86.30	83.16	83.40	977840	83298024.00
2016/12/15	82.75	86.80	82.65	84.96	1146062	98642080.00
2016/12/16	84.97	86.10	84.35	85.37	764717	65633756.00
2016/12/19	84.95	85.85	84.16	84.95	553542	47391988.00
2016/12/20	84.95	85.85	84.00	84.20	731746	62638904.00
2016/12/21	84.32	85.13	82.16	84.12	982162	82704928.00
2016/12/22	83.84	84.20	82.56	83.53	583056	49073260.00
2016/12/23	83.34	84.14	78.35	78.37	1155446	94240168.00
2016/12/26	78.37	79.15	75.35	78.97	823155	64330360.00
2016/12/27	78.35	79.15	77.99	78.55	598100	47384424.00
2016/12/28	78.35	80.02	77.97	78.64	610600	48752280.00
2016/12/29	78.64	79.28	77.63	77.73	631001	49876620.00
2016/12/30	77.73	78.01	75.92	76.21	915001	70809952.00
2017/01/03	76.65	79.33	76.46	79.07	1050601	82919792.00
2017/01/04	78.75	80.15	78.40	79.64	763600	61179364.00
2017/01/05	80.08	80.08	77.50	78.14	625501	49817800.00
2017/01/06	77.54	78.65	74.91	74.95	922400	70898896.00
2017/01/09	74.05	74.65	72.96	74.08	557816	41531240.00
2017/01/10	74.15	75.34	73.85	74.06	425100	32058408.00
2017/01/11	73.66	74.23	72.86	72.95	567400	41992544.00
2017/01/12	73.35	75.34	73.05	73.46	576900	43106792.00
2017/01/13	73.35	73.55	70.02	70.85	779959	56415940.00
2017/01/16	70.05	70.25	63.70	65.10	1054100	71169160.00
2017/01/17	64.51	68.14	61.81	67.10	1116284	73886856.00
2017/01/18	65.86	66.43	64.05	64.05	542500	35682208.00
2017/01/19	63.45	65.95	62.16	63.94	759000	49108080.00
2017/01/20	63.35	67.63	63.20	66.35	948411	63394144.00
2017/01/23	66.35	73.05	66.23	73.05	2242697	162142560.00
2017/01/24	73.33	74.81	71.14	72.71	2524540	185700016.00
2017/01/25	72.64	72.95	70.05	72.28	1975355	141766912.00
2017/01/26	70.46	73.14	70.35	71.06	1307834	93940840.00
2017/02/03	70.37	72.04	69.16	69.25	869466	61767916.00
2017/02/06	69.73	72.15	69.45	71.35	1154600	82674720.00
2017/02/07	71.34	71.34	69.36	69.86	906600	64193560.00
