300560 中富通 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/11/01	5.92	6.46	5.92	6.46	6400	93913.00
2016/11/02	7.12	7.12	7.12	7.12	1200	19500.00
2016/11/03	7.84	7.84	7.84	7.84	1000	17880.00
2016/11/04	8.64	8.64	8.64	8.64	1200	23604.00
2016/11/07	9.52	9.52	9.52	9.52	1200	25968.00
2016/11/08	10.48	10.48	10.48	10.48	1100	26180.00
2016/11/09	11.53	11.53	11.53	11.53	1300	34034.00
2016/11/10	12.70	12.70	12.70	12.70	1900	54720.00
2016/11/11	13.98	13.98	13.98	13.98	4300	136224.00
2016/11/14	15.39	15.39	15.39	15.39	5200	181220.00
2016/11/15	16.94	16.94	16.94	16.94	4000	153360.00
2016/11/16	18.64	18.64	18.64	18.64	7600	320492.00
2016/11/17	20.52	20.52	20.52	20.52	9400	436066.00
2016/11/18	22.58	22.58	22.58	22.58	40700	2076921.00
2016/11/21	24.84	24.84	24.84	24.84	39145	2197208.75
2016/11/22	27.34	27.34	27.34	27.34	28800	1778112.00
2016/11/23	30.08	30.08	30.08	30.08	25060	1701824.63
2016/11/24	33.10	33.10	33.10	33.10	744149	55587932.00
2016/11/25	36.42	36.42	35.55	36.42	4554820	373361824.00
2016/11/28	37.92	38.56	36.00	36.19	10348605	864696512.00
2016/11/29	35.21	35.44	33.97	34.03	6087666	475245760.00
2016/11/30	33.94	35.36	33.94	34.67	4366263	342029376.00
2016/12/01	34.35	35.90	33.75	35.46	4915638	386175712.00
2016/12/02	35.09	35.41	33.37	33.39	3537583	274597568.00
2016/12/05	32.64	33.57	32.51	32.63	2341754	174169952.00
2016/12/06	32.92	33.67	32.80	32.97	2001851	149813344.00
2016/12/07	33.00	33.50	32.05	33.23	2627669	193753584.00
2016/12/08	33.10	34.02	32.92	33.00	2557051	192898096.00
2016/12/09	32.76	32.76	31.81	31.94	2525067	183431248.00
2016/12/12	31.68	32.12	28.74	28.74	2767900	188719408.00
2016/12/13	28.52	29.14	27.90	28.74	1766716	113929944.00
2016/12/14	28.48	29.00	28.12	28.23	1546054	99808256.00
2016/12/15	28.01	29.08	27.99	28.54	1467169	94975456.00
2016/12/16	28.54	29.08	28.36	28.94	1324100	86007616.00
2016/12/19	28.83	29.70	28.62	29.40	1508014	99514648.00
2016/12/20	29.66	29.66	28.85	29.14	999905	65627656.00
2016/12/21	29.23	29.36	28.72	29.25	1156116	75975520.00
2016/12/22	29.21	29.35	28.74	29.10	949803	62355360.00
2016/12/23	29.14	29.23	26.61	27.16	1809400	114275672.00
2016/12/26	26.79	27.42	26.08	27.39	1196305	72143800.00
2016/12/27	27.26	28.07	27.16	27.81	1183800	73821848.00
2016/12/28	27.72	27.96	27.50	27.59	855954	53757776.00
2016/12/29	27.58	27.89	27.28	27.31	874452	54502652.00
2016/12/30	27.12	27.44	26.88	27.10	800254	49086272.00
2017/01/03	27.26	27.86	27.06	27.58	983906	61076260.00
2017/01/04	27.59	27.85	27.41	27.72	936332	58506580.00
2017/01/05	27.60	27.79	27.48	27.49	1083300	67590944.00
2017/01/06	27.51	27.51	26.03	26.03	1483300	88920168.00
2017/01/09	25.63	26.08	25.26	25.76	1003787	58180432.00
2017/01/10	25.76	26.06	25.48	25.56	705805	41163240.00
2017/01/11	25.54	25.76	24.53	24.74	1058047	60144248.00
2017/01/12	24.78	25.12	24.53	24.71	746852	42007372.00
2017/01/13	24.59	24.74	23.28	23.49	1205824	65304588.00
2017/01/16	23.28	23.41	21.16	21.86	1430681	72601680.00
2017/01/17	21.66	22.92	21.02	22.66	1288417	64374312.00
2017/01/18	22.52	22.52	21.72	21.72	776900	38900404.00
2017/01/19	21.62	22.48	20.83	21.85	900564	44676664.00
2017/01/20	21.75	23.96	21.68	23.32	1618764	84905568.00
2017/01/23	23.33	24.42	23.33	24.11	1150500	62459952.00
2017/01/24	24.00	24.29	23.66	23.77	778400	42088048.00
2017/01/25	23.77	24.29	23.73	24.16	444013	24172726.00
