300587 天铁股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/01/05	18.34	20.04	18.34	20.04	8423	169500.36
2017/01/06	22.07	22.07	22.07	22.07	1000	22350.00
2017/01/09	24.31	24.31	24.31	24.31	1623	39909.57
2017/01/10	26.77	26.77	26.77	26.77	1600	43280.00
2017/01/11	29.48	29.48	29.48	29.48	8300	247008.00
2017/01/12	32.46	32.46	32.46	32.46	22807	746701.19
2017/01/13	35.73	35.73	35.73	35.73	123121	4433587.00
2017/01/16	36.72	39.22	33.61	39.18	16516740	608020480.00
2017/01/17	36.22	41.22	35.23	37.90	14339549	535038976.00
2017/01/18	36.63	37.22	34.74	34.87	9509305	345460608.00
2017/01/19	33.12	35.30	32.72	33.65	6085860	208293792.00
2017/01/20	33.25	36.82	33.22	35.39	6732772	237430272.00
2017/01/23	35.32	36.72	34.84	35.55	5339153	192481600.00
2017/01/24	35.67	35.67	33.92	34.08	3472880	120997008.00
2017/01/25	33.82	36.18	33.73	35.78	4525640	160525776.00
2017/01/26	35.72	37.60	35.52	37.02	5484684	201118688.00
2017/02/03	36.73	37.45	36.02	36.81	4126341	151963424.00
2017/02/06	36.97	39.09	36.90	38.71	5321863	204574528.00
2017/02/07	38.21	38.60	37.12	38.15	4728117	180758336.00
2017/02/08	37.53	40.71	37.52	39.49	6960262	275113856.00
2017/02/09	38.97	40.38	38.77	38.91	5322754	210980512.00
2017/02/10	38.74	39.11	37.50	37.59	4399187	168946304.00
2017/02/13	37.30	39.90	37.28	39.12	4765380	186145024.00
2017/02/14	39.10	40.38	38.87	39.72	5062061	201987040.00
2017/02/15	39.38	42.22	39.25	39.92	7744170	317484768.00
2017/02/16	39.28	39.67	38.25	38.81	4462266	174650832.00
2017/02/17	38.74	39.51	37.38	37.40	3984035	153284080.00
2017/02/20	36.95	37.37	35.02	36.14	3840410	139418496.00
2017/02/21	36.00	37.17	35.99	36.87	2517432	93304176.00
2017/02/22	36.99	37.52	36.50	37.24	2505808	93575040.00
2017/02/23	37.35	38.42	36.90	38.32	3584844	136923504.00
2017/02/24	38.13	39.23	38.09	38.71	4327019	168469040.00
2017/02/27	38.45	40.09	38.35	39.28	4113476	162880144.00
2017/02/28	39.13	39.95	38.17	39.82	4112799	161668144.00
2017/03/01	39.78	40.07	38.92	39.02	3624009	143932512.00
2017/03/02	39.22	41.02	39.02	40.22	6025690	243087776.00
2017/03/03	39.74	42.42	39.42	42.23	7099589	294954752.00
2017/03/06	42.22	44.20	41.40	42.14	6917794	295805312.00
2017/03/07	41.77	43.57	41.74	43.44	5498975	235816816.00
2017/03/08	43.22	43.42	42.22	42.92	4459531	191938240.00
2017/03/09	42.71	42.97	40.97	41.34	4861256	203178496.00
2017/03/10	41.42	41.50	40.76	41.12	3028375	125665944.00
2017/03/13	40.95	41.81	40.07	41.81	3692623	153111568.00
2017/03/14	41.81	42.60	41.62	41.97	3893941	165127648.00
2017/03/15	41.84	42.05	41.13	41.67	2703373	113213824.00
2017/03/16	41.92	43.39	41.82	42.95	4548556	195928112.00
2017/03/17	43.31	43.92	41.53	41.58	4772507	205806352.00
2017/03/20	41.50	43.20	41.32	43.20	3724099	159118832.00
2017/03/21	43.22	45.08	42.99	44.30	5373497	238745568.00
2017/03/22	43.52	45.38	43.30	44.92	5018385	225111296.00
2017/03/23	44.72	45.31	42.51	43.88	4981883	220803504.00
2017/03/24	43.62	47.71	43.33	45.36	5775279	264683568.00
2017/03/27	45.81	47.00	45.32	46.29	4674512	217171632.00
2017/03/28	45.73	45.88	44.22	44.38	4149081	188594688.00
2017/03/29	43.92	44.57	41.53	41.53	4237145	182604816.00
2017/03/30	41.45	41.45	39.90	40.29	2806597	114629176.00
2017/03/31	40.40	41.12	39.08	39.70	2365216	95489184.00
2017/04/05	39.57	41.31	38.42	41.20	2229865	90647368.00
2017/04/06	41.12	43.32	40.82	42.65	3057529	130356184.00
2017/04/07	41.10	41.28	39.40	39.69	4718380	191407168.00
2017/04/10	38.78	39.48	35.74	37.19	3226948	121290904.00
2017/04/11	36.99	38.62	36.33	38.51	2046042	77198920.00
2017/04/12	38.42	38.42	36.75	37.32	1234538	46709048.00
2017/04/13	37.22	37.92	36.78	37.12	1091576	41135100.00
2017/04/14	36.87	37.05	35.75	35.88	1563886	57012472.00
2017/04/17	33.23	34.26	32.54	32.82	1668717	56235560.00
2017/04/18	32.94	33.51	32.29	32.32	1276915	42350464.00
2017/04/19	32.04	33.22	31.72	33.17	1300293	42761952.00
2017/04/20	33.11	33.32	31.31	32.11	1465758	48028164.00
2017/04/21	31.79	32.57	31.79	32.20	745078	24296590.00
2017/04/24	31.71	32.07	30.53	30.53	1314546	41230096.00
2017/04/25	30.63	31.57	30.62	31.11	763485	24031904.00
2017/04/26	31.13	32.40	30.93	31.94	919255	29437988.00
2017/04/27	31.72	32.87	30.93	32.62	1820229	58826932.00
2017/04/28	32.45	32.95	32.05	32.31	1192914	38990716.00
2017/05/02	32.38	32.39	31.72	32.20	934085	30197162.00
2017/05/03	32.15	32.46	31.83	32.31	1214185	39418108.00
2017/05/04	32.09	32.29	31.23	31.52	1063118	34220984.00
2017/05/05	31.60	31.60	30.41	30.41	1262340	39357392.00
2017/05/08	30.12	30.20	28.73	28.82	1179638	35211984.00
2017/05/09	29.46	29.71	28.82	29.49	767761	22771084.00
2017/05/10	29.61	29.87	28.85	28.92	862630	25647536.00
2017/05/11	28.57	29.31	28.25	29.29	917541	26632626.00
2017/05/12	29.21	29.60	29.05	29.49	548538	16260859.00
2017/05/15	29.49	29.92	29.21	29.42	607217	18092958.00
2017/05/16	29.63	30.41	29.17	30.35	978232	29317378.00
2017/05/17	30.25	30.91	30.25	30.58	873161	27023166.00
2017/05/18	30.25	30.64	29.85	29.91	1092207	33345528.00
2017/05/19	29.94	30.10	29.32	29.36	705788	21133580.00
2017/05/22	29.42	29.70	27.22	27.62	1056052	30479498.00
2017/05/23	27.48	27.57	25.60	25.71	1225066	32901258.00
2017/05/24	25.73	26.59	25.54	26.32	825917	21763704.00
2017/05/25	26.42	26.67	25.44	26.43	749284	19745230.00
2017/05/26	26.22	27.05	26.22	26.81	553761	14913277.00
2017/05/31	27.73	28.02	26.42	26.67	1009961	27985388.00
2017/06/01	26.61	26.61	24.73	25.02	1135664	29356036.00
2017/06/02	24.82	26.22	24.74	26.00	895000	23115038.00
2017/06/05	26.00	26.62	25.79	26.32	565761	15043198.00
2017/06/06	26.07	26.55	26.02	26.50	406923	10819864.00
2017/06/07	26.51	27.37	26.35	27.28	1016461	27819096.00
2017/06/08	27.31	27.51	26.76	26.97	746180	20424616.00
2017/06/09	26.93	27.22	26.64	27.18	620923	16935440.00
2017/06/12	26.91	26.92	26.42	26.46	912023	24559156.00
2017/06/13	26.45	27.57	26.22	27.56	1181850	32469652.00
2017/06/14	27.52	27.54	27.12	27.32	772300	21302704.00
2017/06/15	27.42	28.22	27.26	27.97	1088397	30568906.00
2017/06/16	27.92	27.97	27.36	27.55	893846	24944424.00
2017/06/19	27.57	27.71	27.42	27.63	591338	16471330.00
2017/06/20	27.77	27.85	26.95	27.36	567456	15797974.00
2017/06/21	27.24	27.67	26.88	27.32	745074	20455620.00
2017/06/22	27.16	28.72	26.65	26.71	1467350	41099580.00
2017/06/23	27.22	27.22	25.87	26.70	962064	25745326.00
2017/06/26	26.70	26.97	26.24	26.81	667375	17979058.00
2017/06/27	26.78	27.17	26.48	26.72	539091	14624635.00
2017/06/28	26.51	26.61	25.87	25.91	622300	16437106.00
2017/06/29	25.98	26.62	25.91	26.18	625976	16528030.00
2017/06/30	26.05	26.71	25.77	26.54	643524	17136282.00
2017/07/03	26.60	26.92	26.24	26.72	645063	17369970.00
2017/07/04	26.85	27.33	26.75	27.10	844771	23064030.00
2017/07/05	27.03	27.34	26.88	27.32	900796	24740486.00
2017/07/06	27.32	27.63	27.12	27.39	1039621	28776760.00
2017/07/07	27.43	28.16	27.42	27.89	1118688	31493210.00
2017/07/10	27.71	27.71	26.56	26.56	1331004	36326280.00
2017/07/11	26.61	26.79	26.39	26.42	565140	15168362.00
2017/07/12	26.37	26.61	25.75	26.57	631301	16707672.00
2017/07/13	26.57	26.66	26.16	26.21	383823	10165218.00
2017/07/14	25.85	26.21	24.85	25.03	1191013	30394656.00
2017/07/17	25.03	25.05	22.75	22.77	1164036	27354858.00
2017/07/18	22.77	23.13	22.31	23.02	662600	15181122.00
2017/07/19	23.15	23.25	22.75	23.03	593205	13723372.00
2017/07/20	23.03	23.75	23.03	23.04	809115	19049588.00
