300600 瑞特股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/01/25	10.89	11.92	10.89	11.92	6338	125138.26
2017/01/26	13.16	13.16	13.16	13.16	4300	93525.00
2017/02/03	14.52	14.52	14.52	14.52	3055	73106.15
2017/02/06	16.01	16.01	16.01	16.01	5738	151024.16
2017/02/07	17.66	17.66	17.66	17.66	7400	214230.00
2017/02/08	19.47	19.47	19.47	19.47	8444	268941.41
2017/02/09	21.46	21.46	21.46	21.46	8786	307861.44
2017/02/10	23.65	23.65	23.65	23.65	8800	339152.00
2017/02/13	26.06	26.06	26.06	26.06	20306	860771.31
2017/02/14	28.71	28.71	28.71	28.71	25488	1188505.50
2017/02/15	31.62	31.62	31.62	31.62	63390	3251273.00
2017/02/16	34.83	34.83	34.83	34.83	63919	3606310.00
2017/02/17	38.35	38.35	38.35	38.35	121357	7531415.50
2017/02/20	38.72	39.22	34.47	34.47	12762769	741045568.00
2017/02/21	34.26	37.81	34.26	36.38	10163642	592605632.00
2017/02/22	37.56	40.06	36.55	40.06	10798387	671735552.00
2017/02/23	39.25	43.35	38.81	41.98	9755302	648769984.00
2017/02/24	42.38	46.22	41.76	45.74	7834041	558849792.00
2017/02/27	45.74	45.75	42.69	43.22	6820991	482174048.00
2017/02/28	42.91	46.91	42.88	45.54	7097478	514228672.00
2017/03/01	44.56	44.88	42.56	42.74	6110568	430815552.00
2017/03/02	42.29	44.13	42.29	42.81	4042266	282569408.00
2017/03/03	42.61	44.88	41.23	44.09	5137932	359323040.00
2017/03/06	44.06	46.75	44.06	44.60	4424660	324188352.00
2017/03/07	44.54	45.74	44.08	45.16	3527663	254873328.00
2017/03/08	44.84	46.30	43.76	44.34	4175098	303574656.00
2017/03/09	43.94	43.94	42.54	43.11	3225688	224469200.00
2017/03/10	42.69	43.52	41.18	41.28	3262795	222992304.00
2017/03/13	41.52	44.05	41.50	43.99	3766349	260346768.00
2017/03/14	43.88	44.76	43.03	43.94	3287303	232982112.00
2017/03/15	43.56	44.56	43.12	43.31	2627798	185685840.00
2017/03/16	43.31	45.38	43.25	45.08	3725103	267816560.00
2017/03/17	44.63	45.74	43.18	43.26	4101946	294008160.00
2017/03/20	43.19	44.00	42.38	44.00	2141689	150236224.00
2017/03/21	44.00	45.38	43.64	44.84	3555444	256049168.00
2017/03/22	44.38	46.43	44.13	46.06	4245351	311655008.00
2017/03/23	45.83	46.73	43.84	44.84	4163013	303757152.00
2017/03/24	44.58	46.06	44.23	45.73	3084360	225330032.00
2017/03/27	46.13	50.34	45.21	50.34	5043228	391608448.00
2017/03/28	50.49	52.69	48.53	49.36	6740063	548859648.00
2017/03/29	48.94	49.22	45.82	46.14	4630968	353074400.00
2017/03/30	45.19	45.64	42.14	42.25	4514157	319805120.00
2017/03/31	42.56	43.93	40.64	42.99	3587664	246950304.00
2017/04/05	41.44	43.06	40.75	42.51	3278336	223269664.00
2017/04/06	42.36	44.06	42.08	42.86	1974100	137605088.00
2017/04/07	42.88	44.44	42.19	42.69	2534466	177498816.00
2017/04/10	43.38	43.63	40.36	40.36	3035550	206063680.00
2017/04/11	39.56	43.00	38.94	42.61	3049312	201352912.00
2017/04/12	42.21	43.28	40.71	40.71	2148347	145373728.00
2017/04/13	40.85	41.63	40.38	40.46	1140558	75758968.00
2017/04/14	40.44	41.34	40.43	40.74	1118554	73917888.00
2017/04/17	38.81	38.81	36.62	36.62	2145117	129018984.00
2017/04/18	36.44	36.87	35.19	35.22	1932158	112350352.00
2017/04/19	34.94	37.29	34.79	36.63	1845334	108981088.00
2017/04/20	36.41	36.96	33.69	34.46	2278243	128953712.00
2017/04/21	34.63	35.50	34.56	34.81	1155200	65599952.00
2017/04/24	34.63	35.56	34.44	35.01	1177634	66947072.00
2017/04/25	34.78	36.69	34.78	36.59	1563927	91205600.00
2017/04/26	36.59	37.05	35.84	36.57	1425771	84143840.00
2017/04/27	36.28	38.20	34.94	37.69	2249215	133040560.00
2017/04/28	37.59	38.55	37.31	38.31	1457104	89936136.00
2017/05/02	38.30	38.38	37.50	37.70	954719	58534584.00
2017/05/03	37.76	38.24	36.82	37.75	1082132	65901492.00
2017/05/04	37.63	37.81	36.77	36.86	831452	49962500.00
2017/05/05	36.94	37.19	36.28	36.28	818376	48540724.00
2017/05/08	36.13	36.19	34.47	34.81	1216946	69593704.00
2017/05/09	35.04	36.43	34.57	36.41	1362921	78531880.00
2017/05/10	36.31	36.84	34.80	34.83	956654	55675104.00
2017/05/11	34.52	36.16	34.47	36.05	1247378	71268696.00
2017/05/12	35.91	36.61	35.75	36.57	857518	50269292.00
2017/05/15	36.45	37.93	36.45	37.23	1079512	65298088.00
2017/05/16	36.44	37.74	36.19	37.70	1014181	60431732.00
2017/05/17	37.69	38.30	37.58	38.18	1334527	82014352.00
2017/05/18	37.64	38.68	37.57	38.68	1164086	72156104.00
2017/05/19	39.42	42.37	38.86	41.63	5986013	400853984.00
2017/05/22	40.19	40.64	37.43	37.43	2794572	173603504.00
2017/05/23	35.28	36.64	33.64	33.64	2685760	152369888.00
2017/05/24	33.26	34.49	31.51	34.48	1696097	90395584.00
2017/05/25	34.13	34.91	32.91	34.01	1152976	63304532.00
2017/05/26	34.26	34.38	33.63	34.13	773253	42705328.00
2017/05/31	35.56	35.62	34.43	34.79	1369762	77938888.00
2017/06/01	34.56	34.94	33.18	33.71	889791	49207060.00
2017/06/02	33.69	34.79	32.80	34.69	661094	36387872.00
2017/06/05	35.60	35.60	34.94	35.17	766920	43813752.00
2017/06/06	34.78	35.47	34.78	35.34	663700	37921128.00
2017/06/07	35.36	36.99	35.35	36.56	1421656	83651464.00
2017/06/08	36.56	36.88	35.85	36.00	887247	51970100.00
2017/06/09	36.00	36.16	35.19	35.77	433438	25035102.00
2017/06/12	35.27	35.37	34.33	34.58	633359	35675524.00
2017/06/13	34.58	35.63	34.49	35.43	814513	46153020.00
2017/06/14	35.28	36.82	35.17	36.34	1435945	83464152.00
2017/06/15	36.41	36.97	36.24	36.70	1694500	99831912.00
2017/06/16	36.59	36.59	35.77	36.13	944737	54818492.00
2017/06/19	36.13	37.09	35.89	37.03	1206912	71081712.00
2017/06/20	37.33	37.55	36.28	36.28	1239838	73651800.00
2017/06/21	36.50	37.77	36.18	36.54	1301065	77339080.00
2017/06/22	36.22	36.22	35.46	35.46	1208425	69386976.00
2017/06/23	35.88	35.88	34.22	34.78	1005387	56283596.00
2017/06/26	34.84	35.13	34.59	35.06	394163	22116794.00
2017/06/27	35.16	35.59	34.86	34.91	471338	26660994.00
2017/06/28	34.72	34.85	33.66	33.73	699708	38402388.00
2017/06/29	34.05	34.43	33.76	33.91	458735	25118686.00
2017/06/30	33.79	34.66	33.61	34.66	794151	43863984.00
2017/07/03	34.66	35.45	34.48	35.26	670988	37854236.00
2017/07/04	35.10	35.38	34.74	34.99	463361	26109616.00
2017/07/05	35.15	35.53	34.86	35.53	662869	37665640.00
2017/07/06	35.74	35.78	33.59	34.59	3747241	206765456.00
2017/07/07	34.16	35.34	34.08	35.31	2463472	138029488.00
2017/07/10	34.96	35.46	34.16	34.38	1679760	93732136.00
2017/07/11	34.38	34.38	33.18	33.29	1450503	78414192.00
2017/07/12	33.11	34.06	32.91	34.03	865914	46508692.00
2017/07/13	34.01	34.02	33.28	33.77	595656	32117632.00
2017/07/14	33.60	33.96	33.29	33.37	504908	27238800.00
2017/07/17	32.91	32.91	30.02	30.02	1173300	58709048.00
2017/07/18	29.22	29.47	27.09	28.94	1757586	79689040.00
2017/07/19	28.47	28.88	27.62	28.58	895338	40806376.00
2017/07/20	28.28	29.17	28.28	28.28	674591	31195314.00
2017/07/21	28.34	28.84	27.98	28.64	672264	30929046.00
2017/07/24	28.64	29.08	27.62	28.93	882736	40439168.00
2017/07/25	28.94	29.09	28.48	28.63	491700	22780490.00
2017/07/26	28.66	28.99	28.04	28.23	659638	30144006.00
2017/07/27	28.23	29.09	27.98	28.89	2150788	99176304.00
2017/07/28	29.13	29.13	28.41	28.48	1157314	53456028.00
2017/07/31	28.60	28.77	28.29	28.47	690740	31652100.00
2017/08/01	28.40	28.47	28.09	28.41	859038	39034392.00
2017/08/02	28.39	28.39	27.69	27.84	944538	42466260.00
2017/08/03	27.54	29.04	27.47	28.69	1433046	65631764.00
2017/08/04	28.61	30.09	28.51	29.75	1918156	90840112.00
2017/08/07	29.69	29.71	28.91	29.09	905436	42479992.00
2017/08/08	28.91	29.33	28.33	28.96	657936	30495580.00
2017/08/09	28.75	28.90	28.49	28.58	390274	17989082.00
2017/08/10	28.53	28.96	28.17	28.41	484304	22192414.00
2017/08/11	28.41	28.81	28.23	28.64	496374	22839858.00
2017/08/14	28.64	29.39	28.47	29.35	747884	34964628.00
2017/08/15	29.23	29.56	29.19	29.32	729476	34475248.00
2017/08/16	29.22	30.71	29.17	30.10	1299676	62884088.00
2017/08/17	30.03	31.08	29.95	30.41	992344	48954156.00
2017/08/18	30.24	30.40	29.91	30.19	602481	29144212.00
2017/08/21	29.98	30.67	29.98	30.61	342682	16762114.00
2017/08/22	30.33	30.71	30.19	30.23	336800	16482006.00
2017/08/23	30.06	30.54	30.01	30.44	377000	18411764.00
2017/08/24	30.88	30.88	30.05	30.27	400138	19538706.00
2017/08/25	30.10	30.83	30.10	30.83	635982	31222592.00
2017/08/28	30.97	31.97	30.97	31.90	1009804	51378912.00
2017/08/29	31.71	32.32	31.64	31.80	799551	41010336.00
2017/08/30	31.64	32.03	31.44	31.79	518024	26404408.00
2017/08/31	31.79	33.11	31.79	32.96	1074328	56203468.00
2017/09/01	32.96	33.22	32.52	32.91	767399	40425376.00
2017/09/04	33.21	33.77	32.84	33.03	811652	43316404.00
2017/09/05	33.03	33.28	32.41	33.13	754113	39719376.00
2017/09/06	32.91	32.97	32.47	32.82	420052	22098414.00
2017/09/07	32.71	33.52	32.71	32.78	668938	35587356.00
2017/09/08	32.84	32.89	31.72	32.49	737062	38433752.00
2017/09/11	32.39	32.92	32.27	32.92	607086	31862696.00
2017/09/12	32.71	33.16	31.84	32.08	625700	32641800.00
2017/09/13	32.16	32.59	31.89	32.52	308900	15988570.00
2017/09/14	32.81	32.84	32.04	32.11	436290	22760946.00
2017/09/15	32.11	32.34	31.75	31.83	370776	19090806.00
2017/09/18	31.89	31.94	31.72	31.89	315838	16154234.00
2017/09/19	31.88	32.34	31.66	31.88	344000	17611508.00
2017/09/20	31.71	32.66	31.71	32.61	627151	32598590.00
2017/09/21	32.74	32.74	31.88	31.97	447347	23305172.00
2017/09/22	31.98	32.56	31.47	32.44	545438	28170744.00
2017/09/25	32.71	34.28	32.66	33.27	2321280	125746592.00
2017/09/26	32.71	35.88	31.79	34.59	4010082	219907792.00
2017/09/27	34.84	36.03	34.21	34.88	2938217	164960624.00
2017/09/28	34.28	35.34	33.98	34.43	1928612	107403000.00
2017/09/29	34.20	34.20	33.33	33.91	2170299	117206712.00
2017/10/09	34.34	34.34	33.60	33.86	792438	43091384.00
2017/10/10	33.66	34.09	33.65	33.98	811690	44191180.00
2017/10/11	34.00	34.43	33.71	33.79	875980	47963564.00
2017/10/12	34.01	34.89	33.28	34.64	1857491	102013936.00
2017/10/13	34.59	35.00	34.28	34.56	1230036	68325656.00
2017/10/16	34.90	35.47	33.16	33.16	1652386	91312248.00
2017/10/17	32.59	33.45	32.59	33.28	828328	44017056.00
2017/10/18	33.01	33.27	31.81	31.81	934000	48826952.00
2017/10/19	31.72	31.99	31.52	31.81	513000	26180190.00
2017/10/20	31.78	32.26	31.72	32.18	381700	19661656.00
2017/10/23	31.95	32.77	31.73	32.61	579900	30098256.00
2017/10/24	32.53	32.58	31.94	32.19	506900	26278468.00
2017/10/25	31.99	32.89	31.99	32.85	705436	36969392.00
2017/10/26	32.86	34.22	32.67	33.71	1043341	56379384.00
2017/10/27	33.40	34.31	33.34	33.56	740900	40237084.00
2017/10/30	33.22	33.23	32.03	32.36	922738	48235768.00
2017/10/31	32.63	32.63	32.03	32.59	470674	24497086.00
2017/11/01	32.44	33.51	32.43	33.41	977098	52066604.00
2017/11/02	33.34	33.90	32.70	33.89	1013177	54511312.00
2017/11/03	33.89	34.08	33.22	33.31	665500	35908784.00
2017/11/06	33.38	34.52	33.38	34.28	1543012	84865720.00
2017/11/07	34.29	34.63	33.74	34.53	1308003	71791632.00
2017/11/08	34.31	35.22	34.31	34.39	1265110	70517440.00
2017/11/09	34.31	34.66	33.91	34.37	849438	46707156.00
2017/11/10	34.37	34.84	34.31	34.45	952040	52871344.00
2017/11/13	34.29	35.38	33.92	35.29	1714324	95750568.00
2017/11/14	35.15	36.36	34.94	34.94	1946324	111757912.00
2017/11/15	34.89	35.09	33.68	34.16	1388800	76343000.00
2017/11/16	34.27	34.44	32.97	32.97	812316	44269496.00
2017/11/17	32.78	33.22	31.09	31.71	1692099	86695128.00
2017/11/20	32.46	34.26	31.74	33.25	1423201	75489760.00
2017/11/21	32.84	32.97	31.84	32.88	1250958	65074588.00
2017/11/22	32.50	33.19	32.38	32.53	696200	36664512.00
2017/11/23	32.35	32.62	29.89	30.16	911938	45843748.00
2017/11/24	29.91	30.46	29.91	29.96	360214	17481476.00
2017/11/27	29.46	29.83	28.28	28.34	491720	22965396.00
2017/11/28	28.38	29.34	28.38	29.16	284600	13236789.00
2017/11/29	29.40	29.40	28.48	28.91	327314	15136720.00
2017/11/30	28.84	29.39	28.66	29.04	240838	11278223.00
2017/12/01	29.21	29.34	28.61	28.98	401559	18673186.00
2017/12/04	28.86	28.86	27.18	27.28	755938	33679976.00
2017/12/05	27.03	27.77	25.97	26.17	347600	15124393.00
2017/12/06	26.18	26.83	26.09	26.56	456494	19353456.00
2017/12/07	26.53	27.03	26.41	26.84	504538	21719256.00
2017/12/08	26.66	27.52	26.59	27.22	312514	13653841.00
2017/12/11	26.84	27.53	26.84	27.29	214338	9383240.00
2017/12/12	27.26	27.31	26.28	26.43	308902	13278605.00
2017/12/13	26.51	26.78	26.29	26.74	257802	11056965.00
2017/12/14	26.66	26.89	26.54	26.66	204476	8776353.00
2017/12/15	26.66	26.73	25.32	26.66	349978	14846515.00
2017/12/18	26.56	26.72	26.25	26.50	176236	7507102.50
2017/12/19	26.57	26.94	26.38	26.74	297514	12807369.00
2017/12/20	26.64	26.91	26.14	26.35	191800	8157600.50
2017/12/21	26.26	26.67	25.79	26.26	251725	10680871.00
2017/12/22	26.49	26.63	26.09	26.23	191046	8070243.50
2017/12/25	26.36	26.38	25.47	25.72	210284	8722406.00
2017/12/26	25.97	26.84	25.58	26.49	281238	11927403.00
2017/12/27	26.49	27.13	26.11	27.07	444408	19080154.00
2017/12/28	27.05	27.31	26.79	27.13	282147	12295315.00
2017/12/29	27.33	27.34	26.81	27.16	320513	13991128.00
2018/01/02	27.17	27.17	26.88	27.14	171036	7438913.00
2018/01/03	26.99	27.22	26.86	27.09	191524	8329686.00
2018/01/04	27.04	27.23	26.76	26.79	243024	10558748.00
2018/01/05	26.97	26.97	26.53	26.59	237038	10171845.00
2018/01/08	26.71	28.81	26.71	27.72	927538	41537048.00
2018/01/09	27.58	28.17	27.44	28.16	509310	22830890.00
2018/01/10	28.16	28.76	27.75	28.61	565197	25622902.00
2018/01/11	28.47	28.78	28.24	28.53	338638	15526870.00
2018/01/12	28.52	28.56	28.13	28.16	298038	13571189.00
2018/01/15	28.16	28.16	27.08	27.22	286638	12630308.00
2018/01/16	27.22	27.64	27.04	27.16	338700	14863587.00
2018/01/17	27.18	27.46	26.61	27.46	352913	15436003.00
2018/01/18	27.44	28.01	26.71	27.89	709238	31255402.00
2018/01/19	27.59	29.14	27.54	27.98	841038	38648344.00
2018/01/22	27.38	27.95	27.10	27.61	497000	21951316.00
2018/01/23	27.41	27.72	27.22	27.22	327738	14417394.00
2018/01/24	27.23	27.34	26.48	27.25	496086	21519228.00
2018/01/25	27.09	28.19	27.09	27.53	687263	30653160.00
2018/01/26	26.92	27.66	26.73	27.32	435338	19150464.00
2018/01/29	27.31	27.76	26.91	27.08	229000	10003718.00
2018/01/30	26.99	27.24	26.66	26.78	187838	8120898.50
2018/01/31	26.66	26.66	25.91	26.15	276500	11647855.00
2018/02/01	26.11	26.15	25.06	25.06	412301	16908328.00
2018/02/02	24.66	25.34	23.73	25.24	293224	11564332.00
2018/02/05	24.33	24.59	23.59	24.00	321238	12474040.00
2018/02/06	23.91	23.91	22.84	22.97	375638	14073103.00
2018/02/07	23.47	23.56	21.74	22.41	486900	17664360.00
2018/02/08	22.24	22.83	22.01	22.34	325300	11757625.00
2018/02/09	21.76	21.81	20.91	21.73	425338	14699345.00
2018/02/12	21.73	22.15	21.73	21.91	552300	19552498.00
2018/02/13	22.13	22.13	21.41	21.68	394400	13791493.00
2018/02/14	21.51	21.51	21.09	21.46	259400	8887904.00
2018/02/22	21.53	21.83	21.52	21.79	174923	6115033.00
2018/02/23	22.26	22.30	21.48	21.98	196500	6952573.00
2018/02/26	22.26	23.20	21.91	23.01	650581	23854942.00
2018/02/27	23.37	23.69	22.89	23.52	1019810	38477348.00
2018/02/28	23.16	24.77	23.04	24.53	1121360	43707984.00
2018/03/01	23.83	24.63	23.83	24.53	626023	24572560.00
2018/03/02	24.51	24.64	24.27	24.61	329838	12995475.00
2018/03/05	26.36	26.36	24.79	24.91	444500	18055726.00
2018/03/06	24.79	25.53	24.79	25.08	915200	37287992.00
2018/03/07	24.89	25.22	24.82	24.83	238700	9592615.00
2018/03/08	24.78	25.13	24.72	24.84	229138	9185201.00
2018/03/09	24.78	25.36	24.65	25.26	612176	24580238.00
2018/03/12	25.21	26.47	25.21	26.23	877314	36489628.00
2018/03/13	26.09	26.47	25.61	25.74	504789	21061848.00
2018/03/14	25.75	25.76	24.97	25.05	513699	20908248.00
2018/03/15	24.86	24.99	24.11	24.77	534900	21169060.00
2018/03/16	24.76	24.89	24.22	24.46	179127	7124767.50
2018/03/19	24.65	25.13	24.49	24.78	203300	8124511.00
2018/03/20	24.01	24.79	23.78	24.78	164500	6505646.00
2018/03/21	24.76	25.98	24.76	25.14	841623	34565092.00
2018/03/22	25.03	25.48	24.88	25.08	334300	13517797.00
2018/03/23	22.56	24.82	22.56	24.25	542575	21116172.00
2018/03/26	24.16	25.09	24.16	24.92	632735	25130666.00
2018/03/27	24.88	26.15	24.84	25.73	1214493	50173904.00
2018/03/28	25.69	26.53	25.47	26.09	1084534	45551264.00
2018/03/29	26.28	26.45	25.35	25.72	794302	32837102.00
2018/03/30	25.84	26.60	25.59	26.59	1084100	45900296.00
2018/04/02	26.63	29.26	26.46	28.09	3418218	154438432.00
2018/04/03	27.36	29.00	27.36	27.94	1773534	80435664.00
2018/04/04	28.43	30.47	28.43	29.16	2212352	103928664.00
2018/04/09	28.10	30.25	27.95	29.57	2232506	103551040.00
2018/04/10	29.32	29.56	26.72	27.97	1839871	83399744.00
2018/04/11	27.91	28.34	27.36	28.29	1020545	45958324.00
2018/04/12	28.52	28.62	27.97	28.28	825041	37618004.00
2018/04/13	29.22	30.21	27.73	27.74	1158800	53481140.00
2018/04/16	26.93	27.78	26.93	27.24	820098	36079968.00
2018/04/17	27.26	27.62	25.83	25.96	895305	38547856.00
2018/04/18	26.48	26.90	24.86	26.53	988911	41233320.00
2018/04/19	26.52	27.46	26.29	27.44	747069	32453506.00
2018/04/20	27.34	28.59	26.73	27.04	1132398	50526512.00
2018/04/23	26.73	28.07	25.81	26.25	1016157	43833980.00
2018/04/24	26.11	26.84	25.89	26.74	698700	29679680.00
2018/04/25	26.72	28.11	26.59	27.58	828654	36508412.00
2018/04/26	27.60	27.73	26.34	26.34	823467	35730120.00
2018/04/27	26.39	26.65	25.35	25.91	689368	28690106.00
