300612 宣亚国际 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/02/15	8.05	9.77	8.05	9.77	4900	111649.00
2017/02/16	10.80	10.80	10.80	10.80	1800	46008.00
2017/02/17	11.94	11.94	11.94	11.94	1112	31269.44
2017/02/20	13.19	13.19	13.19	13.19	3900	120627.00
2017/02/21	14.56	14.56	14.56	14.56	9400	319788.00
2017/02/22	16.08	16.08	16.08	16.08	5100	190842.00
2017/02/23	17.74	17.74	17.74	17.74	12000	493920.00
2017/02/24	19.57	19.57	19.57	19.57	25300	1145584.00
2017/02/27	21.58	21.58	21.58	21.58	19000	946390.00
2017/02/28	23.80	23.80	23.80	23.80	31900	1747801.00
2017/03/01	26.23	26.23	26.23	26.23	76400	4604628.00
2017/03/02	28.91	28.91	28.91	28.91	156900	10402470.00
2017/03/03	29.66	31.86	29.13	31.86	11343904	798841536.00
2017/03/06	32.33	34.60	31.00	32.76	9689653	723297408.00
2017/03/07	34.51	36.09	34.51	36.09	4968574	400036288.00
2017/03/08	37.92	39.76	36.67	37.91	6984542	609587072.00
2017/03/09	37.44	38.90	36.56	37.31	5219957	449093472.00
2017/03/10	37.24	37.80	35.99	37.13	4623682	388240704.00
2017/03/13	37.09	39.88	36.33	38.52	5022786	433165312.00
2017/03/14	37.93	38.38	36.33	36.33	4450018	379589632.00
2017/03/15	36.00	36.84	35.45	36.62	3016016	250546672.00
2017/03/16	36.29	39.24	36.29	38.07	4787823	414294624.00
2017/03/17	37.99	41.93	37.67	39.96	5269913	473156672.00
2017/03/20	39.08	41.66	38.87	39.53	3027213	276766336.00
2017/03/21	39.89	43.53	39.58	43.22	3383320	323616448.00
2017/03/22	42.50	45.08	42.38	44.03	3207153	321399648.00
2017/03/23	43.49	43.64	40.43	42.09	2510784	242456416.00
2017/03/24	42.12	44.78	41.61	44.32	1895071	186266800.00
2017/03/27	44.61	45.48	42.11	42.44	2097340	209461952.00
2017/03/28	43.00	43.26	39.68	40.33	1393913	132788088.00
2017/03/29	39.48	41.49	39.48	41.13	1308716	121555944.00
2017/03/30	41.80	41.84	37.26	39.39	1572307	142150000.00
2017/03/31	39.21	41.00	37.56	40.51	1552208	139266560.00
2017/04/05	39.06	41.93	39.06	41.87	1139061	106339888.00
2017/04/06	41.94	45.15	41.52	44.03	1779403	177250032.00
2017/04/07	43.70	45.76	42.82	43.22	1506199	151811808.00
2017/04/10	42.91	44.56	42.20	43.89	912257	90052368.00
2017/12/18	39.47	39.47	39.47	39.47	1900	113430.00
2017/12/19	35.49	35.49	35.49	35.49	10900	585657.00
2017/12/20	31.91	31.91	31.91	31.91	9600	464256.00
2017/12/21	28.68	28.68	28.68	28.68	60000	2611200.00
2017/12/22	25.78	28.00	25.78	25.79	15757860	623824320.00
2017/12/25	24.41	24.83	23.17	23.17	11159640	403745152.00
2017/12/26	22.56	24.77	22.53	24.20	11181400	404211936.00
2017/12/27	24.99	26.65	24.33	25.51	12342128	478798528.00
2017/12/28	24.31	25.51	23.74	24.07	8802106	327687328.00
2017/12/29	24.33	24.79	23.05	23.49	6216644	223381056.00
2018/01/02	23.35	24.66	23.35	24.56	6949098	255110176.00
2018/01/03	24.55	24.70	23.35	23.59	6627973	239805472.00
2018/01/04	23.35	23.48	22.68	23.14	4891700	171708128.00
2018/01/05	23.00	23.59	22.98	23.10	3289000	116400680.00
2018/01/08	23.09	23.20	21.93	22.61	3746039	127759664.00
2018/01/09	22.45	22.95	22.35	22.60	2478098	85520672.00
2018/01/10	22.41	22.53	20.77	20.88	4573239	149933584.00
2018/01/11	20.75	23.00	20.48	23.00	7768111	263317360.00
2018/01/12	23.47	25.33	23.30	25.33	12139892	451869760.00
2018/01/15	25.39	27.90	24.70	27.90	11453913	472863680.00
2018/01/16	29.33	30.73	26.21	30.73	16330320	710444992.00
2018/01/17	27.62	29.32	27.62	27.63	12960959	555979840.00
2018/01/18	28.27	30.43	28.23	30.43	13320170	602335744.00
2018/01/19	31.67	33.51	30.25	30.26	13391719	656565248.00
2018/01/22	28.38	29.80	27.20	28.31	12196052	516601248.00
2018/01/23	28.39	29.29	27.00	27.34	9611818	409501376.00
2018/01/24	26.34	28.70	25.93	27.76	9380758	392586272.00
2018/01/25	26.73	30.57	26.41	29.53	12159941	527760416.00
2018/01/26	29.17	32.52	28.87	32.52	15665051	748169344.00
2018/01/29	33.17	35.67	30.09	31.07	13485410	661658304.00
2018/01/30	31.00	31.26	29.22	29.60	7894524	359706688.00
2018/01/31	29.41	32.00	29.30	31.71	10401204	486465344.00
2018/02/01	31.00	31.00	28.50	28.50	8544642	384671648.00
2018/02/02	28.05	31.25	26.01	29.60	9753589	419774496.00
