300654 世纪天鸿 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/09/26	6.10	7.33	6.10	7.33	8965	98866.50
2017/09/27	8.07	8.07	8.07	8.07	3165	38644.65
2017/09/28	8.89	8.89	8.89	8.89	4265	57278.95
2017/09/29	9.78	9.78	9.78	9.78	9065	133890.05
2017/10/09	10.77	10.77	10.77	10.77	19785	321506.25
2017/10/10	11.85	11.85	11.85	11.85	16065	287242.19
2017/10/11	13.05	13.05	13.05	13.05	25580	503158.59
2017/10/12	14.36	14.36	14.36	14.36	30837	667312.69
2017/10/13	15.80	15.80	15.80	15.80	82912	1973305.63
2017/10/16	17.39	17.39	17.39	17.39	80147	2098248.50
2017/10/17	19.13	19.13	19.13	19.13	220331	6345533.00
2017/10/18	21.05	21.05	21.05	21.05	170938	5415316.00
2017/10/19	23.17	23.17	23.17	23.17	416830	14526526.00
2017/10/20	25.49	25.49	25.49	25.49	1589182	60929236.00
2017/10/23	25.27	27.58	24.29	26.39	17172864	666430976.00
2017/10/24	24.90	25.59	23.75	23.75	10131445	372022144.00
2017/10/25	22.30	23.60	21.74	23.00	9210857	314535424.00
2017/10/26	22.60	22.75	21.13	21.21	9456649	309127712.00
2017/10/27	21.07	21.51	20.51	20.66	5564595	175346240.00
2017/10/30	20.36	20.38	19.32	19.57	5456852	162605088.00
2017/10/31	19.67	19.93	19.37	19.74	3564596	105635704.00
2017/11/01	19.73	20.17	19.62	19.86	4279787	128209576.00
2017/11/02	19.65	20.19	19.14	20.11	5543537	165078512.00
2017/11/03	19.86	20.25	19.54	19.61	3759807	112284432.00
2017/11/06	19.81	20.07	19.61	19.80	2907071	86857712.00
2017/11/07	19.69	19.80	19.00	19.51	3701542	107641768.00
2017/11/08	19.40	21.47	19.34	21.47	5843721	180561744.00
2017/11/09	21.07	23.17	20.93	22.19	12428110	408614016.00
2017/11/10	21.80	22.13	21.40	21.51	6882193	224481040.00
2017/11/13	21.58	21.89	20.83	21.17	5121604	164090608.00
2017/11/14	20.94	21.48	20.74	21.34	4594736	146312544.00
2017/11/15	21.24	21.24	19.71	19.73	4422798	135898256.00
2017/11/16	19.62	20.02	18.52	18.64	4270392	123268544.00
2017/11/17	18.82	18.83	16.81	16.85	3627787	96583736.00
2017/11/20	16.87	17.72	16.49	17.33	2666998	68592072.00
2017/11/21	17.11	17.36	16.51	17.00	2744116	69969376.00
2017/11/22	17.13	17.40	16.81	17.10	2024356	52226356.00
2017/11/23	17.19	17.19	16.17	16.21	1853175	46617508.00
2017/11/24	16.19	16.55	16.11	16.21	1509132	37089780.00
2017/11/27	16.10	16.50	16.00	16.13	1364374	33464080.00
2017/11/28	16.26	16.93	16.14	16.71	2697927	67401320.00
2017/11/29	16.61	16.80	16.35	16.79	2534925	63059336.00
2017/11/30	16.85	17.60	16.77	17.27	3218499	83562000.00
2017/12/01	17.14	17.53	16.95	17.35	1945187	50609520.00
2017/12/04	17.23	17.23	16.05	16.15	2866677	71823008.00
2017/12/05	16.27	16.45	15.00	15.29	2157187	51539364.00
2017/12/06	15.67	16.26	15.27	16.03	1753168	41415572.00
2017/12/07	16.03	17.63	15.80	16.93	4899476	126472992.00
2017/12/08	16.83	17.35	16.47	16.80	5384773	137407440.00
2017/12/11	16.33	17.33	16.33	17.23	3558754	90619448.00
2017/12/12	17.07	18.12	16.97	17.66	4815727	128016080.00
2017/12/13	17.44	18.85	17.44	18.57	4001019	110452528.00
2017/12/14	18.53	18.92	18.15	18.23	2797665	77440104.00
2017/12/15	18.53	18.60	17.39	17.83	2498300	67545536.00
2017/12/18	17.71	18.59	17.52	18.59	2070960	56398716.00
2017/12/19	18.47	19.57	18.43	19.12	3038055	87688560.00
2017/12/20	18.99	20.87	18.99	20.24	4358034	129786608.00
2017/12/21	20.65	21.18	19.74	20.27	3851981	118262848.00
2017/12/22	20.37	20.37	19.55	19.57	2123947	63442368.00
2017/12/25	19.57	20.37	19.27	20.20	2188773	66122436.00
2017/12/26	20.22	20.73	19.53	20.36	2857581	86951664.00
2017/12/27	20.31	20.31	18.60	19.47	2268195	66857608.00
2017/12/28	19.34	19.84	19.15	19.60	2454152	72351736.00
2017/12/29	19.71	19.89	19.27	19.61	1541997	45499664.00
2018/01/02	19.78	19.79	19.41	19.48	1010057	29835896.00
2018/01/03	19.71	20.60	19.55	20.50	2056192	62632680.00
2018/01/04	20.55	20.88	20.24	20.44	1375588	42401208.00
2018/01/05	20.34	20.59	20.05	20.44	953928	29278864.00
2018/01/08	20.57	20.87	20.07	20.26	1074565	32760922.00
2018/01/09	20.09	20.43	19.67	19.75	1104521	33096188.00
2018/01/10	19.88	20.45	19.15	20.37	1725847	51534476.00
2018/01/11	20.33	21.80	20.33	21.64	4836630	153552912.00
2018/01/12	21.39	21.69	21.07	21.63	3678528	118629680.00
2018/01/15	21.48	21.64	20.60	20.99	1703344	54286100.00
2018/01/16	20.96	21.57	20.68	20.98	1109800	35395048.00
2018/01/17	20.77	21.83	20.00	21.83	2940169	93497960.00
2018/01/18	21.91	22.41	21.09	21.55	2340170	76498264.00
2018/01/19	22.33	22.33	20.74	20.80	1098841	35055816.00
2018/01/22	20.53	20.99	20.12	20.35	704274	21729184.00
2018/01/23	20.39	20.97	20.39	20.65	663048	20675806.00
2018/01/24	20.57	21.00	20.53	20.67	619463	19370722.00
