300686 智动力 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/07/19	-0.05	-0.05	-0.05	-0.05	0	0.00
2017/08/04	6.98	8.39	6.98	8.39	12288	165348.77
2017/08/07	9.23	9.23	9.23	9.23	5216	77561.92
2017/08/08	10.16	10.16	10.16	10.16	5988	97963.68
2017/08/09	11.19	11.19	11.19	11.19	8188	147384.00
2017/08/10	12.31	12.31	12.31	12.31	25852	511869.59
2017/08/11	13.55	13.55	13.55	13.55	331229	7214167.50
2017/08/14	13.55	13.56	12.56	13.08	14670198	306892224.00
2017/08/15	12.79	14.39	12.79	14.39	13718094	298833472.00
2017/08/16	14.88	15.84	14.69	15.84	13953984	342409408.00
2017/08/17	15.81	17.38	15.11	16.56	19026990	502040736.00
2017/08/18	15.89	16.28	15.27	15.63	11701380	296018208.00
2017/08/21	15.42	17.20	15.16	17.20	13602788	359354912.00
2017/08/22	17.25	18.86	16.79	18.33	16848101	487323968.00
2017/08/23	17.34	19.94	17.06	19.10	16569559	493781632.00
2017/08/24	18.44	20.25	18.38	18.63	16663745	518433696.00
2017/08/25	18.49	20.50	17.76	20.50	16701633	523038816.00
2017/08/28	21.13	22.56	20.71	22.56	16946777	592186944.00
2017/08/29	22.91	24.82	21.19	23.00	18802599	710419328.00
2017/08/30	21.73	23.61	21.13	21.69	14252843	505674112.00
2017/08/31	21.19	22.55	21.19	22.26	11126805	393946880.00
2017/09/01	22.33	22.92	21.44	21.48	9930309	351170848.00
2017/09/04	21.13	21.13	19.32	19.32	9993566	317799392.00
2017/09/05	19.24	19.95	18.91	19.63	7183848	225617024.00
2017/09/06	19.31	19.46	18.47	19.13	6774020	205768944.00
2017/09/07	19.08	20.14	18.93	19.56	8258166	259606048.00
2017/09/08	19.29	19.96	19.00	19.81	6674727	209150016.00
2017/09/11	19.83	21.75	19.83	21.34	10622594	357233952.00
2017/09/12	20.97	21.16	19.76	20.05	8707703	285009216.00
2017/09/13	19.88	20.68	19.38	20.58	6923078	224265920.00
2017/09/14	20.25	21.01	20.13	20.86	6714631	222959872.00
2017/09/15	20.58	20.93	19.44	19.75	5833377	188962464.00
2017/09/18	19.34	19.39	18.57	18.76	4672529	141617744.00
2017/09/19	18.79	19.18	18.76	18.87	2688872	81836472.00
2017/09/20	18.70	19.62	18.70	19.41	3947065	121625024.00
2017/09/21	19.31	19.44	18.69	18.69	3212188	98332944.00
2017/09/22	18.63	19.66	18.50	19.18	4341222	134460480.00
2017/09/25	19.03	20.25	18.88	19.94	6408907	203692752.00
2017/09/26	19.63	19.69	18.24	18.49	5900277	177097008.00
2017/09/27	18.48	18.81	18.19	18.54	2456965	72981408.00
2017/09/28	18.26	18.71	18.24	18.25	2259420	66915020.00
2017/09/29	18.13	18.43	16.68	17.49	4202225	118775368.00
2017/10/09	17.75	17.94	17.55	17.67	1672408	47512672.00
2017/10/10	17.67	18.59	17.66	18.46	3534932	103636368.00
2017/10/11	18.25	18.88	18.08	18.23	3223052	95405792.00
2017/10/12	18.20	18.30	17.44	17.68	2801604	79887152.00
2017/10/13	17.61	18.03	17.50	17.83	1835252	52647372.00
2017/10/16	17.44	17.59	16.52	16.76	3231837	88003800.00
2017/10/17	16.76	17.00	16.72	16.82	1341926	36366780.00
2017/10/18	16.86	17.04	16.00	16.05	2139880	56530136.00
2017/10/19	16.08	16.17	15.38	15.63	1931468	48733832.00
2017/10/20	15.55	15.96	15.52	15.93	1306348	33105146.00
2017/10/23	15.88	17.53	15.83	17.16	4872889	133424376.00
2017/10/24	16.76	16.92	16.41	16.70	2818916	75339512.00
2017/10/25	16.57	17.00	16.50	16.87	2171092	58525880.00
2017/10/26	16.88	16.97	16.50	16.75	1638448	44115900.00
2017/10/27	16.75	16.78	16.29	16.39	1697616	44988540.00
2017/10/30	16.21	16.21	15.28	15.46	1821268	45675592.00
2017/10/31	15.56	15.78	15.49	15.74	1029847	25921590.00
2017/11/01	15.62	16.55	15.62	16.29	2413014	62485576.00
2017/11/02	16.21	17.88	15.88	17.47	6571633	179594096.00
2017/11/03	17.29	17.56	16.94	17.13	3910635	107921328.00
2017/11/06	17.19	18.19	16.99	17.94	5578360	159112640.00
2017/11/07	17.94	17.94	17.29	17.70	3866232	109037664.00
2017/11/08	17.68	18.05	17.38	17.84	4228038	120776456.00
2017/11/09	17.69	17.69	17.19	17.40	2762412	77245808.00
2017/11/10	17.22	17.57	17.22	17.31	2124180	59397316.00
2017/11/13	17.29	17.97	17.23	17.84	3671088	104468288.00
2017/11/14	17.94	17.94	16.88	16.96	3212465	89022256.00
2017/11/15	16.81	16.81	16.09	16.13	2496737	65536044.00
2017/11/16	16.09	16.39	15.91	15.91	1618915	41938472.00
2017/11/17	15.94	16.05	14.50	14.61	2390449	58743620.00
2017/11/20	14.61	15.11	14.22	15.05	1517628	35919104.00
2017/11/21	14.89	15.23	14.56	14.73	1499060	35825600.00
2017/11/22	14.73	15.13	14.63	14.87	1057628	25238070.00
2017/11/23	14.69	14.90	14.26	14.31	1169736	27289630.00
2017/11/24	14.30	14.50	14.11	14.31	714968	16515767.00
2017/11/27	14.29	14.47	13.69	13.88	977538	22196090.00
2017/11/28	13.88	14.16	13.73	14.06	829524	18668706.00
2017/11/29	14.06	14.12	13.28	13.53	1415636	30797544.00
2017/11/30	13.53	14.10	13.49	13.69	1282200	28508448.00
2017/12/01	13.62	14.38	13.44	14.19	1734680	38854344.00
2017/12/04	13.94	14.05	13.38	13.42	1386088	30384604.00
2017/12/05	13.38	13.52	12.97	13.15	1124842	23904654.00
2017/12/06	13.18	13.49	13.10	13.44	974414	20894422.00
2017/12/07	13.31	14.11	13.31	13.81	1625938	35690952.00
2017/12/08	13.69	14.43	13.56	14.16	2532415	57333992.00
2017/12/11	14.09	14.24	13.85	14.19	1473968	33265478.00
2017/12/12	14.00	14.23	13.56	13.59	1636190	36444492.00
2017/12/13	13.35	14.00	13.35	13.90	951974	21141874.00
2017/12/14	13.88	14.01	13.83	13.98	834776	18687890.00
2017/12/15	13.98	14.52	13.88	14.01	1692300	38658588.00
2017/12/18	14.03	14.05	13.44	13.73	925516	20309642.00
2017/12/19	13.58	14.04	13.58	13.78	753516	16776171.00
2017/12/20	13.78	13.81	13.38	13.44	866988	18847172.00
2017/12/21	13.47	13.75	13.28	13.55	722028	15724294.00
2017/12/22	13.50	13.66	13.45	13.52	494661	10790483.00
2017/12/25	13.52	13.52	12.99	13.19	1037040	21877982.00
2017/12/26	13.20	13.99	13.11	13.88	2053342	45117144.00
2017/12/27	13.82	14.49	13.63	14.01	2456864	55403652.00
2017/12/28	13.83	14.42	13.73	14.16	1825606	41441720.00
2017/12/29	14.02	14.28	13.99	14.13	938930	21314368.00
2018/01/02	14.19	14.28	13.98	14.18	785288	17815138.00
2018/01/03	14.14	14.18	13.94	14.11	1075876	24304354.00
2018/01/04	13.99	14.13	13.89	13.91	1169864	26285748.00
2018/01/05	13.85	14.05	13.60	13.61	1305178	28897730.00
2018/01/08	13.59	13.72	13.31	13.71	1083878	23499388.00
2018/01/09	13.75	13.83	13.58	13.73	725902	16016465.00
2018/01/10	13.81	13.81	13.27	13.38	905440	19557426.00
2018/01/11	13.38	14.22	13.19	13.98	2785896	62495620.00
2018/01/12	13.79	14.06	13.63	13.96	1792206	39880216.00
2018/01/15	13.93	14.71	13.50	14.01	2973057	67332896.00
2018/01/16	13.69	15.41	13.69	15.41	6842121	164439296.00
2018/01/17	15.74	15.84	14.86	15.18	6583781	162289616.00
2018/01/18	14.95	15.29	14.81	15.11	2917276	70340440.00
2018/01/19	14.96	15.14	14.54	14.56	2971624	70849816.00
2018/01/22	14.32	14.58	14.02	14.49	2053536	47307256.00
2018/01/23	14.28	14.73	14.28	14.66	1792712	41920768.00
2018/01/24	14.70	15.14	14.39	14.91	2510472	59749816.00
2018/01/25	14.83	15.22	14.63	14.63	2103362	50301488.00
2018/01/26	14.59	14.69	14.18	14.18	1345076	31151508.00
2018/01/29	14.24	14.31	13.69	13.73	1399844	31350102.00
2018/01/30	13.73	13.91	13.71	13.79	793476	17566226.00
2018/01/31	13.44	13.61	12.41	12.41	2911688	59258924.00
2018/02/01	12.31	12.44	11.36	11.44	2078144	39158268.00
2018/02/02	11.44	11.49	10.93	11.05	1108620	19953748.00
2018/02/05	10.80	11.30	10.75	11.13	871876	15581939.00
2018/02/06	10.89	11.43	10.79	11.15	1553549	27742324.00
2018/02/07	11.19	11.57	10.91	11.31	1282548	23309144.00
2018/02/08	11.25	11.54	11.16	11.37	857643	15735187.00
2018/02/09	11.06	11.16	10.26	10.51	1157264	20028358.00
2018/02/12	10.49	10.91	10.49	10.90	689964	12000039.00
2018/02/13	11.00	11.10	10.83	10.88	752052	13290353.00
2018/02/14	10.97	11.16	10.88	11.01	434776	7679577.00
2018/02/22	10.96	11.34	10.96	11.14	389200	6982117.00
2018/02/23	11.21	11.30	11.08	11.22	459488	8285153.50
2018/02/26	11.45	11.74	11.31	11.70	961460	17908996.00
2018/02/27	11.58	11.75	11.58	11.68	828088	15561668.00
2018/02/28	11.58	11.67	11.28	11.39	684600	12572445.00
2018/03/01	11.28	11.66	11.26	11.61	928676	17275774.00
2018/03/02	11.65	12.78	11.59	12.78	1553688	31534272.00
2018/03/05	13.38	14.00	12.97	13.26	5600284	120412536.00
2018/03/06	13.10	13.88	13.10	13.27	4481304	96857608.00
2018/03/07	12.75	12.99	12.66	12.89	2586928	53496964.00
2018/03/08	12.93	14.03	12.69	13.73	4960020	108013360.00
2018/03/09	13.42	13.94	13.31	13.86	4577216	100338168.00
2018/03/12	13.80	14.59	13.63	14.03	4262024	95833864.00
2018/03/13	13.79	13.88	13.39	13.41	2512520	54929756.00
2018/03/14	13.44	13.79	13.39	13.49	1766920	38621932.00
2018/03/15	13.13	13.31	12.31	12.79	2438164	49774948.00
2018/03/16	12.78	12.93	12.48	12.52	1185116	24187090.00
2018/03/19	12.61	13.00	12.44	12.93	1371552	28251928.00
2018/03/20	12.62	13.15	12.62	13.13	1541456	31944610.00
2018/03/21	13.09	13.45	12.88	12.97	1965056	41913908.00
2018/03/22	12.96	14.28	12.81	14.28	4643813	105486992.00
2018/03/23	14.38	15.71	14.24	15.03	14256247	344977088.00
2018/03/26	13.53	15.47	13.53	15.00	9670872	220177200.00
2018/03/27	14.63	16.31	14.56	15.47	9997753	247825360.00
2018/03/28	14.94	15.94	14.81	15.69	8837742	218383392.00
2018/03/29	15.68	16.06	14.63	14.84	7929615	195076880.00
2018/03/30	14.86	15.20	14.63	14.98	4767089	114032912.00
2018/04/02	14.84	16.19	14.71	15.80	7849691	194357840.00
2018/04/03	15.31	15.66	14.94	15.07	4874853	119444632.00
2018/04/04	15.14	15.36	14.33	14.40	4060156	96559792.00
2018/04/09	14.38	14.81	14.13	14.81	3267573	76301600.00
2018/04/10	14.53	14.61	13.49	13.91	4227987	95795168.00
2018/04/11	13.88	14.41	13.88	14.17	2964009	67394464.00
2018/04/12	14.33	15.59	14.33	15.59	4548673	112599672.00
2018/04/13	15.94	17.11	15.66	16.31	13657580	360409152.00
2018/04/16	15.65	15.83	15.08	15.18	6718130	166103024.00
2018/04/17	15.54	16.48	15.53	15.66	9231852	236756576.00
2018/04/18	15.36	16.49	14.09	16.08	8664655	208929424.00
2018/04/19	15.63	15.98	15.31	15.32	5532980	138474304.00
2018/04/20	14.38	15.03	14.21	14.30	4076940	95543560.00
2018/04/23	14.25	14.89	14.19	14.81	3069289	71719096.00
2018/04/24	14.69	15.56	14.35	15.44	4951476	121060000.00
2018/04/25	16.68	16.68	14.90	15.87	8450153	218102048.00
