300691 联合光电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/08/11	11.78	14.18	11.78	14.18	7491	169273.19
2017/08/14	15.61	15.61	15.61	15.61	6200	156736.00
2017/08/15	17.19	17.19	17.19	17.19	5000	139050.00
2017/08/16	18.93	18.93	18.93	18.93	8200	250838.00
2017/08/17	20.84	20.84	20.84	20.84	13008	437719.19
2017/08/18	22.95	22.95	22.95	22.95	49016	1814572.38
2017/08/21	25.26	25.26	25.26	25.26	91160	3712035.25
2017/08/22	27.81	27.81	27.81	27.81	48900	2190231.00
2017/08/23	30.61	30.61	30.61	30.61	54162	2668561.75
2017/08/24	33.69	33.69	33.69	33.69	54070	2930594.00
2017/08/25	37.08	37.08	37.08	37.08	393119	23437754.00
2017/08/28	40.80	40.80	40.80	40.80	123433	8094736.00
2017/08/29	44.90	44.90	44.90	44.90	294343	21233904.00
2017/08/30	45.13	49.41	44.19	49.41	13645036	1051943488.00
2017/08/31	52.94	53.29	49.19	51.37	14198767	1176446976.00
2017/09/01	49.76	52.94	48.51	49.56	8717322	698601024.00
2017/09/04	49.56	52.29	47.31	49.53	8608108	691307456.00
2017/09/05	49.19	52.23	47.93	51.06	8019882	650133376.00
2017/09/06	49.19	49.64	46.06	46.69	7249460	558654208.00
2017/09/07	46.13	47.19	44.82	45.39	5725906	420875328.00
2017/09/08	44.93	46.56	44.31	45.25	4244813	310062368.00
2017/09/11	45.75	49.05	45.33	48.53	5649419	429530752.00
2017/09/12	48.05	48.05	44.83	45.00	4908459	365136608.00
2017/09/13	44.69	45.97	43.63	45.28	2764630	200075904.00
2017/09/14	45.22	47.81	45.22	46.76	3739672	281131200.00
2017/09/15	47.88	50.83	47.06	47.44	4855065	381867584.00
2017/09/18	46.98	49.50	46.75	48.56	3783606	292786784.00
2017/09/19	48.61	48.84	45.69	46.11	3843358	289648640.00
2017/09/20	45.94	48.69	45.56	48.31	4352757	333363200.00
2017/09/21	48.56	49.74	46.73	49.01	3769571	292428352.00
2017/09/22	48.35	53.93	47.96	52.17	8603982	726325696.00
2017/09/25	51.13	53.21	50.14	50.79	5454920	448869760.00
2017/09/26	50.56	50.99	45.69	45.69	5130712	381614176.00
2017/09/27	44.76	47.11	44.26	46.73	4263176	311861312.00
2017/09/28	46.18	47.33	45.44	45.76	2598179	193469856.00
2017/09/29	45.50	46.55	44.94	46.43	1660654	122492144.00
2017/10/09	47.08	48.11	46.75	46.94	1417915	107771528.00
2017/10/10	46.75	49.04	46.75	48.95	2596510	200952496.00
2017/10/11	48.38	49.69	47.06	47.93	1973635	152237616.00
2017/10/12	47.31	48.24	46.07	47.23	1627983	123083976.00
2017/10/13	47.18	47.29	45.76	46.80	1466649	109917680.00
2017/10/16	47.04	48.81	46.18	47.36	2248870	172867136.00
2017/10/17	46.73	48.69	45.76	48.32	2091902	158595936.00
2017/10/18	48.19	50.74	48.01	48.61	2819365	223283328.00
2017/10/19	48.36	52.13	47.94	50.59	3980120	322944096.00
2017/10/20	50.37	53.34	49.31	52.69	3360851	277560352.00
2017/10/23	53.88	56.39	52.63	53.50	4609389	405172480.00
2017/10/24	53.13	55.65	52.31	54.81	3595624	312103360.00
2017/10/25	54.99	57.12	53.88	56.00	3623677	322817664.00
2017/10/26	55.19	56.55	54.18	54.89	2676535	236645792.00
2017/10/27	55.51	60.06	55.50	58.41	4568063	420234272.00
2017/10/30	58.64	62.00	58.64	59.32	4593404	443361728.00
2017/10/31	58.68	61.16	57.74	59.42	3504262	332745824.00
2017/11/01	59.13	65.38	58.41	65.38	4734095	474542112.00
2017/11/02	64.50	67.00	63.25	64.75	3734596	391623616.00
2017/11/03	64.47	66.56	62.69	65.50	3682315	382859488.00
2017/11/06	66.07	67.81	65.06	66.19	2788588	295267808.00
2017/11/07	66.68	70.57	65.63	68.14	3352260	365486432.00
2017/11/08	68.14	68.88	64.19	64.37	4089190	437747392.00
2017/11/09	63.88	65.69	62.04	63.07	3867371	395927072.00
2017/11/10	63.25	66.06	62.94	65.06	2957937	306202720.00
2017/11/13	64.69	68.06	63.66	67.50	3621558	378803456.00
2017/11/14	68.18	69.25	61.71	63.44	3905478	417565600.00
2017/11/15	62.49	64.00	61.23	62.61	2508494	251934240.00
2017/11/16	62.36	64.13	61.38	62.88	2394368	241023040.00
2017/11/17	62.92	63.44	56.57	56.57	3590962	337444064.00
2017/11/20	54.23	56.69	53.49	56.38	3035560	268103936.00
2017/11/21	55.96	56.49	51.00	54.75	3776946	326334176.00
2017/11/22	53.90	57.27	53.38	56.24	3166391	280704064.00
2017/11/23	55.38	56.61	54.13	54.31	2515396	222947856.00
2017/11/24	54.22	55.41	50.63	51.13	2433285	209604320.00
2017/11/27	51.00	51.78	48.60	48.64	2158193	173680720.00
2017/11/28	49.16	50.66	48.88	50.06	1907695	152711776.00
2017/11/29	50.25	52.00	49.23	51.74	1926433	156045520.00
2017/11/30	51.38	52.73	50.94	51.38	1598210	132388408.00
2017/12/01	51.31	52.49	51.09	51.79	1374512	114512424.00
2017/12/04	50.93	50.93	46.59	46.61	3568448	271772832.00
2017/12/05	46.68	47.15	43.64	44.44	2211108	161377840.00
2017/12/06	44.19	46.43	43.94	46.27	1577945	114584832.00
2017/12/07	45.81	46.29	45.44	45.75	943795	69521928.00
2017/12/08	45.51	48.39	45.51	47.74	1849729	140805808.00
2017/12/11	48.44	49.05	47.74	48.10	1433468	111366256.00
2017/12/12	47.92	49.15	47.43	47.45	1274793	98633592.00
2017/12/13	47.23	48.54	47.02	48.00	877104	67457688.00
2017/12/14	48.00	49.49	47.80	49.19	1331063	103819280.00
2017/12/15	48.63	49.18	47.13	48.44	1460575	113146472.00
2017/12/18	48.00	48.54	45.85	46.34	1158408	87173248.00
2017/12/19	45.76	46.88	45.76	46.53	706513	52675688.00
2017/12/20	46.68	46.68	45.09	45.14	961623	70284936.00
2017/12/21	44.97	47.06	44.81	46.88	1108140	82179920.00
2017/12/22	46.69	48.42	46.45	47.96	1251985	96125640.00
2017/12/25	47.87	49.10	46.25	48.56	1389315	106160816.00
2017/12/26	48.00	52.47	48.00	51.07	2172800	176922192.00
2017/12/27	50.61	51.93	50.25	50.25	1290048	105790720.00
2017/12/28	50.06	52.94	49.97	51.62	1646805	137348032.00
2017/12/29	51.26	51.98	50.82	51.58	849642	70070272.00
2018/01/02	52.00	52.00	50.32	50.95	1014637	82785792.00
2018/01/03	51.06	51.06	49.92	50.90	775185	63047280.00
2018/01/04	50.81	51.05	50.00	50.09	841408	68178280.00
2018/01/05	49.93	50.65	49.08	49.31	876134	69906632.00
2018/01/08	49.31	50.12	47.94	48.66	1076308	84217176.00
2018/01/09	48.66	49.68	48.47	48.76	760734	59773368.00
2018/01/10	48.18	49.11	46.41	47.09	1265022	95943600.00
2018/01/11	46.80	48.06	45.97	47.21	825662	62735964.00
2018/01/12	46.69	47.21	46.07	46.56	748613	56159836.00
2018/01/15	46.21	46.55	41.91	42.10	1959236	137007232.00
2018/01/16	42.11	43.44	41.94	42.13	973300	66455352.00
2018/01/17	42.19	44.28	42.00	44.01	1071701	74658960.00
2018/01/18	43.58	44.06	43.00	43.32	710716	49498740.00
2018/01/19	43.25	44.49	43.25	43.66	701635	49400764.00
2018/01/22	43.83	44.31	41.93	43.66	783400	54379616.00
2018/01/23	43.65	44.74	42.91	44.04	810097	57183204.00
2018/01/24	44.04	44.92	42.94	44.73	1155286	82084336.00
2018/01/25	44.56	45.11	44.06	44.18	780729	55839140.00
2018/01/26	43.56	44.37	42.37	42.82	1147884	79348464.00
2018/01/29	42.82	43.28	41.05	41.61	876542	58731356.00
2018/01/30	41.37	41.64	40.72	40.80	630520	41534444.00
2018/01/31	36.70	37.43	36.70	36.70	704300	41586284.00
2018/02/01	34.13	35.44	33.10	33.33	1858564	102339504.00
2018/02/02	33.35	34.12	32.33	32.38	1072161	57246044.00
2018/02/05	30.94	31.60	30.51	30.60	1376329	68549160.00
2018/02/06	30.19	31.00	29.07	29.22	1524533	73532904.00
2018/02/07	30.25	30.36	27.54	29.37	2146176	101044960.00
2018/02/08	29.15	30.42	29.15	29.98	1754616	84538600.00
2018/02/09	28.75	29.63	28.25	28.81	1157800	53992696.00
2018/02/12	29.21	30.25	29.07	29.89	1586108	75841360.00
2018/02/13	30.04	30.06	29.23	29.28	1102491	52680088.00
2018/02/14	29.32	29.61	28.75	28.83	812316	37998736.00
2018/02/22	29.31	30.80	29.31	30.50	1491556	72438000.00
2018/02/23	30.10	31.87	30.10	31.72	1616308	80367432.00
2018/02/26	32.73	34.43	32.06	33.44	1993553	106402888.00
