300696 爱乐达 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/08/22	15.63	18.79	15.63	18.79	6600	207619.00
2017/08/23	20.68	20.68	20.68	20.68	1500	53175.00
2017/08/24	22.77	22.77	22.77	22.77	3700	144300.00
2017/08/25	25.06	25.06	25.06	25.06	7400	317460.00
2017/08/28	27.59	27.59	27.59	27.59	9400	443586.00
2017/08/29	30.36	30.36	30.36	30.36	11923	618922.94
2017/08/30	33.42	33.42	33.42	33.42	43300	2472430.00
2017/08/31	36.78	36.78	36.78	36.78	54100	3398021.00
2017/09/01	40.47	40.47	40.47	40.47	64400	4449396.00
2017/09/04	44.54	44.54	44.54	44.54	70021	5321596.00
2017/09/05	49.01	49.01	46.19	46.92	10221289	830134400.00
2017/09/06	46.90	51.56	45.78	47.82	8406428	698260224.00
2017/09/07	46.30	49.56	45.78	47.39	7229212	588590784.00
2017/09/08	46.29	48.98	44.54	44.82	6033595	479773216.00
2017/09/11	45.71	49.32	44.84	49.32	5882259	477824736.00
2017/09/12	49.32	49.77	45.72	45.95	5856098	476317792.00
2017/09/13	45.12	50.56	44.89	50.56	5385849	445242048.00
2017/09/14	52.24	55.63	51.21	53.95	8433988	772209088.00
2017/09/15	52.54	56.01	51.01	54.57	6927297	632479936.00
2017/09/18	54.64	56.76	52.63	53.18	4769389	440553664.00
2017/09/19	52.12	54.77	51.01	54.13	4356343	392933376.00
2017/09/20	53.95	58.48	53.66	54.57	6317081	607390528.00
2017/09/21	54.24	54.24	51.42	51.59	4753041	429706496.00
2017/09/22	51.76	54.24	51.60	52.08	4033016	363038912.00
2017/09/25	53.09	55.12	52.28	54.53	4904514	450833408.00
2017/09/26	53.98	54.18	49.06	49.06	5965010	511245312.00
2017/09/27	48.65	49.24	46.98	47.47	3601316	293321600.00
2017/09/28	47.54	48.95	47.18	47.36	2596707	212414608.00
2017/09/29	47.99	48.41	45.40	46.01	3044927	242389536.00
2017/10/09	46.67	47.10	45.58	46.99	1904999	150829600.00
