300723 一品红 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/11/16	20.31	24.40	20.31	24.40	10217	248144.34
2017/11/17	26.86	26.86	26.86	26.86	6500	175565.00
2017/11/20	29.56	29.56	29.56	29.56	5400	160434.00
2017/11/21	32.53	32.53	32.53	32.53	4861	158857.48
2017/11/22	35.80	35.80	35.80	35.80	16154	580736.31
2017/11/23	39.40	39.40	39.40	39.40	55343	2188815.75
2017/11/24	43.36	43.36	43.36	43.36	1502729	65383740.00
2017/11/27	42.85	42.85	39.01	39.01	12861494	512814848.00
2017/11/28	36.45	38.40	36.40	37.13	12068558	450573376.00
2017/11/29	36.85	37.04	33.87	35.87	10924099	386217344.00
2017/11/30	35.32	38.80	35.05	37.85	13184625	490247648.00
2017/12/01	36.97	41.26	36.86	39.39	14380347	567177472.00
2017/12/04	37.50	37.61	35.44	35.44	7994086	287784864.00
2017/12/05	33.86	35.64	33.37	34.81	8007462	277128288.00
2017/12/06	34.37	35.45	33.63	34.64	6685583	232303840.00
2017/12/07	34.75	35.03	32.88	32.94	6659691	226885456.00
2017/12/08	32.36	34.15	32.17	33.28	5814247	196076000.00
2017/12/11	33.17	35.34	32.98	34.40	6841246	236204336.00
2017/12/12	33.79	34.00	32.95	33.07	4913018	164666144.00
2017/12/13	33.01	34.62	32.75	34.35	5266844	179699712.00
2017/12/14	34.45	35.81	33.75	35.36	7232105	253299264.00
2017/12/15	34.98	35.27	34.19	34.57	4275524	149003520.00
2017/12/18	34.76	35.73	34.37	34.55	5464740	192506496.00
2017/12/19	34.03	34.24	33.20	33.88	4816640	163342144.00
2017/12/20	33.88	34.65	33.46	33.78	4001442	137161024.00
2017/12/21	33.15	35.52	32.85	35.03	6477618	225036112.00
2017/12/22	34.70	35.66	34.65	34.81	5745843	203043744.00
2017/12/25	34.06	36.51	33.60	36.13	8801356	309626176.00
2017/12/26	35.72	38.82	35.56	37.57	12083362	453274272.00
2017/12/27	37.10	38.54	36.35	36.86	10646667	400104960.00
2017/12/28	36.40	38.10	35.96	37.75	9110281	341179008.00
2017/12/29	37.65	37.65	35.66	35.73	7532469	276060640.00
2018/01/02	35.76	36.60	35.35	36.32	4699331	170258368.00
2018/01/03	36.08	36.18	35.30	35.60	4742421	169766208.00
2018/01/04	35.30	35.96	35.20	35.58	3739445	133451640.00
2018/01/05	35.55	35.84	34.55	35.04	5279914	186611360.00
2018/01/08	35.25	36.07	34.43	36.07	5242296	186088992.00
2018/01/09	35.83	39.69	35.70	39.69	16877232	659003392.00
2018/01/10	38.85	43.67	38.23	43.67	20677076	850966400.00
2018/01/11	43.80	45.83	41.51	42.75	20367736	899144768.00
2018/01/12	41.70	42.14	39.56	40.18	13447280	551265920.00
2018/01/15	40.15	44.21	39.65	43.22	14988537	628362240.00
2018/01/16	42.34	45.74	41.58	41.65	14920835	652701824.00
2018/01/17	40.75	42.75	39.95	40.86	10117634	417724032.00
2018/01/18	40.93	42.81	40.70	41.23	8682727	362883424.00
2018/01/19	40.80	41.25	38.65	38.94	9577638	382286944.00
2018/01/22	37.95	38.57	35.61	36.74	7581687	280589792.00
2018/01/23	36.43	37.53	36.38	37.33	4538847	168849456.00
2018/01/24	37.35	38.35	37.33	37.68	5121011	194680720.00
2018/01/25	37.72	38.23	37.15	37.76	4743003	179783360.00
2018/01/26	37.47	37.72	36.16	36.50	5010875	185387504.00
2018/01/29	36.83	37.64	36.46	37.64	4717969	176121824.00
2018/01/30	37.64	38.34	36.95	38.21	5636068	214287168.00
2018/01/31	37.99	38.55	35.35	35.60	5799705	215910416.00
2018/02/01	35.14	36.10	34.06	34.28	4492519	157274064.00
2018/02/02	34.35	34.93	33.40	33.73	2988683	102831576.00
2018/02/05	33.33	34.07	30.73	31.14	4952526	161689312.00
2018/02/06	30.14	30.70	28.45	28.62	4085218	121647376.00
2018/02/07	29.66	30.27	27.76	29.52	4216321	124284872.00
