300740 御家汇 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2018/02/08	14.75	17.75	14.75	17.75	34383	1048291.31
2018/02/09	19.55	19.55	19.55	19.55	18246	613613.00
2018/02/12	21.52	21.52	21.52	21.52	24213	895638.88
2018/02/13	23.70	23.70	23.70	23.70	129293	5260932.00
2018/02/14	25.06	26.09	24.18	26.09	8348087	364836640.00
2018/02/22	28.58	28.58	24.58	25.18	18732847	834450368.00
2018/02/23	25.22	27.72	25.22	27.36	22634563	1033500160.00
2018/02/26	27.65	29.18	26.92	28.06	21049879	1014678208.00
2018/02/27	27.13	28.05	26.78	27.32	13956474	656154688.00
2018/02/28	26.12	26.12	24.56	24.56	12288626	527386336.00
2018/03/01	24.00	25.64	23.95	24.89	9971814	425692576.00
2018/03/02	24.46	25.46	24.18	24.22	7979605	337343712.00
2018/03/05	24.63	26.67	24.61	26.67	9193824	401730784.00
2018/03/06	27.71	29.36	26.67	27.64	19817224	946349440.00
2018/03/07	27.41	28.70	26.61	28.05	14633022	694344704.00
2018/03/08	27.71	30.29	27.71	28.44	16158510	800004800.00
2018/03/09	29.18	30.38	28.79	29.17	13195783	666897600.00
2018/03/12	30.35	30.65	28.30	28.64	12839371	642264960.00
2018/03/13	28.03	28.26	27.22	27.31	9042725	429183360.00
2018/03/14	27.30	28.46	27.22	27.84	7680328	368365152.00
2018/03/15	27.18	30.64	26.24	30.64	14982794	745949504.00
2018/03/16	32.04	32.41	29.31	29.54	15719992	833538816.00
2018/03/19	29.26	30.59	28.89	29.45	9712833	494295776.00
2018/03/20	28.65	30.68	28.65	30.09	9464915	486561888.00
2018/03/21	30.09	32.34	29.37	30.82	11851075	620327040.00
2018/03/22	30.48	32.45	30.21	31.05	13438829	726297344.00
2018/03/23	32.11	34.16	30.94	31.09	16584270	925788288.00
2018/03/26	29.47	33.52	29.24	33.29	12796993	692078784.00
2018/03/27	33.01	35.58	32.71	33.68	14889744	865179904.00
2018/03/28	32.76	34.44	32.47	32.47	9332726	534642080.00
2018/03/29	32.92	33.28	31.54	33.06	8507668	474250176.00
2018/03/30	33.37	33.82	32.59	33.55	7553433	430571776.00
2018/04/02	33.52	34.91	33.01	33.01	9384761	547274432.00
2018/04/03	32.29	32.88	31.83	32.09	6327225	350079520.00
2018/04/04	32.53	33.58	32.05	32.64	6335019	355845504.00
2018/04/09	31.97	33.28	31.25	33.28	6235626	345141952.00
2018/04/10	33.29	34.06	31.25	32.71	6223735	347849568.00
2018/04/11	32.82	34.97	32.13	34.47	9844891	569621568.00
2018/04/12	34.04	34.55	33.22	33.41	6137125	355571360.00
2018/04/13	33.71	34.41	33.18	33.88	5051331	291802144.00
2018/04/16	33.82	34.69	33.42	34.28	5433497	317170912.00
2018/04/17	34.46	35.21	31.64	31.76	6488661	373914592.00
2018/04/18	31.59	31.80	29.18	30.81	6151477	322290176.00
2018/04/19	30.48	31.38	29.76	29.91	4511233	236057184.00
2018/04/20	29.71	29.74	27.18	27.59	6638592	323119008.00
2018/04/23	28.00	28.86	27.56	28.51	4175254	202066576.00
2018/04/24	29.06	30.38	28.14	30.28	5016064	253494864.00
2018/04/25	29.80	31.16	29.59	30.96	5926253	309964064.00
2018/04/26	30.81	31.53	30.06	30.18	3959177	207912560.00
2018/04/27	30.50	31.96	28.88	29.24	7686557	235463840.00
2018/05/02	29.32	32.16	29.32	30.83	9331473	289259456.00
2018/05/03	30.00	32.00	28.89	31.99	10563430	324247456.00
2018/05/04	31.84	32.21	31.00	31.20	7641213	241097328.00
2018/05/07	31.71	32.70	31.23	31.80	8886496	284593952.00
2018/05/08	31.80	32.87	31.40	32.36	9164234	295152000.00
2018/05/09	32.30	32.64	31.50	32.02	6282220	201143584.00
2018/05/10	31.92	33.00	31.67	32.35	7670806	248434256.00
2018/05/11	32.30	33.10	31.51	31.84	7608754	245314352.00
2018/05/14	31.70	32.08	28.66	29.00	11462183	345318240.00
2018/05/15	29.05	29.44	27.77	29.32	8765821	251365216.00
